id	id	chr	start	end	strand	Length	Copies	Annotation/Divergence	0-1uM-PCC-24h	100uM-K99A-24h	10uM-K99A-24h	10uM-PCC-24h	No-Peptide-24h	gene_name	pc1	pc2
NM_133747	NM_133747	chr17	75537086	75551946	-	2807.0	1	Fam98a|2810405J04Rik|AL024114|-|17 E2|17|protein-coding	23.589000000000002	19.435	17.543	23.721999999999998	11.732000000000001	Fam98a	0.0007467622961457711	0.001484498735348851
NM_007837	NM_007837	chr10	127290793	127296288	+	865.0	1	Ddit3|CHOP-10|CHOP10|chop|gadd153|-|10 D3|10|protein-coding	158.378	176.301	163.077	129.15	42.555	Ddit3	0.006854012166648233	-0.036727150067706514
NM_018775	NM_018775	chr1	39371496	39478747	-	4417.0	1	Tbc1d8|AD3|HBLP1|VRP|-|1 B|1|protein-coding	9.298	14.727	11.991	9.529	34.084	Tbc1d8	-0.0015775896311024812	0.001915188366048618
NM_025284	NM_025284	chr6	72957347	72958483	-	560.0	1	Tmsb10|Ptmb10|Tb10|-|6 C1|6|protein-coding	137.77200000000002	209.137	255.109	162.715	324.22900000000004	Tmsb10	-0.010816719593764589	-0.02585727023692502
NM_153795	NM_153795	chr19	6998958	7019469	-	2570.0	1	Fermt3|C79673|Kindlin3|-|19 A|19|protein-coding	50.942	62.854	73.81	57.316	102.031	Fermt3	-0.0030487855203673586	-0.0013366927160997101
NM_008594	NM_008594	chr7	79133768	79149060	-	2114.0	1	Mfge8|AA408458|AI325141|MFG-E8|MP47|Mfgm|P47|SED1|lactadherin|-|7 D3|7 44.9 cM|protein-coding	2.9139999999999997	2.948	5.224	2.495	11.763	Mfge8	-0.0005950131057459267	0.0005586360058115915
NM_181470	NM_181470	chr10	13178638	13193137	-	1755.0	1	Ltv1|2610020N02Rik|-|10 A2|10|protein-coding	84.58	73.634	58.005	75.96600000000001	15.23	Ltv1	0.0041869131342582	-0.0014567171459672183
NM_015759	NM_015759	chr13	49263110	49309208	-	3090.0	1	Fgd3|5830461L01Rik|ZFYVE5|-|13 A5|13 25.18 cM|protein-coding	6.32	7.225	13.222999999999999	4.771	28.945	Fgd3	-0.0015290557623456576	0.0006554023453515994
NM_001289741	NM_001289741	chr6	54681624	54703855	+	3340.0	1	Mturn|2410066E13Rik|AI448550|B230212L03Rik|-|6 B3|6|protein-coding	2.008	3.023	6.135	2.066	12.956	Mturn	-0.000708742712036235	7.850767957247795e-05
NM_001081029	NM_001081029	chr5	9100737	9118983	+	981.0	1	Tmem243|4930420K17Rik|E030031F02Rik|-|5 A1|5|protein-coding	38.832	68.157	83.133	47.032	41.95	Tmem243	0.000330514853171376	-0.023005515102559482
NM_010234	NM_010234	chr12	85473901	85477270	+	2088.0	1	Fos|D12Rfj1|c-fos|cFos|-|12 D2|12 39.7 cM|protein-coding	8.149	14.112	14.142000000000001	6.662000000000001	15.698	Fos	-0.0004906193894638743	-0.00317291435879233
NM_007723	NM_007723	chr5	72603697	72642752	-	2727.0	1	Cnga1|Cncg|-|5 C3.2|5 38.44 cM|protein-coding	0.261	0.289	1.32	0.026000000000000002	13.536	Cnga1	-0.0008813966362902027	0.001909682937903402
NM_023320	NM_023320	chr3	95988836	95995839	-	1354.0	1	Plekho1|2810052M02Rik|CKIP-1|Ckip1|JZA-20|Jza2|-|3|3 F2|protein-coding	7.521	12.177999999999999	11.267000000000001	8.752	40.283	Plekho1	-0.0020772961576154144	0.0034668038462524276
NM_001164195	NM_001164195	chr10	13523842	13553142	-	1367.0	1	Pex3|1700014F15Rik|2810027F19Rik|2900010N04Rik|-|10|10 A|protein-coding	13.857000000000001	12.754000000000001	9.065	15.277000000000001	4.5760000000000005	Pex3	0.0006450555980996673	0.0009495761479084238
NM_008367	NM_008367	chr2	11642792	11693194	+	4418.0	1	Il2ra|CD25|Il2r|Ly-43|-|2 A2-A3|2 8.91 cM|protein-coding	236.118	231.358	153.46	241.63400000000001	29.863000000000003	Il2ra	0.013684948038264082	-0.001771001271645634
NM_011193	NM_011193	chr9	56089976	56128890	+	1834.0	1	Pstpip1|CD2BP1|def-2|-|9|9 C|protein-coding	14.739	20.842	24.709	15.327	52.545	Pstpip1	-0.0024147257490317263	0.0013159433363770076
NM_153408	NM_153408	chr1	36264602	36273425	-	2577.0	1	Neurl3|2010300P06Rik|Lincr|-|1 B|1|protein-coding	8.912	11.770999999999999	22.997	5.272	56.916000000000004	Neurl3	-0.003247703721627448	0.0012332582512650828
NM_013599	NM_013599	chr2	164948219	164955849	+	3159.0	1	Mmp9|AW743869|B/MMP9|Clg4b|MMP-9|pro-MMP-9|RP23-61O3.10-001|2 H1-H2|2 85.27 cM|protein-coding	22.579	46.489	59.43899999999999	9.87	219.35	Mmp9	-0.013146781871626979	0.01038350790120774
NM_145380	NM_145380	chr2	104999657	105017027	-	1216.0	1	Eif3m|Ga17|Pcid1|Tango7|RP24-297H17.12-003|2 E2|2 55.06 cM|protein-coding	71.995	69.35600000000001	51.25899999999999	71.131	26.998	Eif3m	0.0029043938342356323	0.0005319924800286107
NM_007839	NM_007839	chr5	52150203	52190546	-	3026.0	1	Dhx15|DBP1|DEAH9|Ddx15|HRH2|mDEAH9|-|5 C1|5|protein-coding	162.64600000000002	157.33	128.428	161.201	74.081	Dhx15	0.005726824530812607	-0.0014403939573558028
NM_021278	NM_021278	chrX	167207094	167209218	-	665.0	1	Tmsb4x|Ptmb4|Tb4|RP23-139P21.1|X F5|X 78.28 cM|protein-coding	1858.251	2027.0179999999998	1635.1070000000002	1910.23	3388.605	Tmsb4x	-0.09782050832158087	0.3313858171405701
NM_010495	NM_010495	chr2	152736251	152737410	+	930.0	1	Id1|AI323524|D2Wsu140e|Idb1|bHLHb24|RP23-106A3.1|2 H1|2 75.41 cM|protein-coding	9.824	15.948	13.720999999999998	5.167000000000001	27.184	Id1	-0.0012379239983217082	-0.0015569765810367598
NM_023835	NM_023835	chr7	104299897	104315495	-	1515.0	1	Trim12a|2310043C01Rik|Trim12|-|7 E3|7|protein-coding	11.507	11.378	21.462	5.627999999999999	49.891000000000005	Trim12a	-0.00271314634802846	0.001324593379433335
NM_007706	NM_007706	chr10	95411490	95416857	-	2217.0	1	Socs2|8030460M17|AI527257|AW108012|CIS2|Cish2|D130043N08Rik|JAB|SOCS-2|SSI-2|hg|-|10 C2|10 49.35 cM|protein-coding	14.65	19.375999999999998	8.154	19.1	21.826999999999998	Socs2	-0.00029306592412381893	0.0038023379392184355
NM_010256	NM_010256	chr16	91621397	91646972	-	3303.0	1	Gart|Gaps|Prgs|-|16 C3-C4|16 53.18 cM|protein-coding	81.494	62.4	38.348	84.271	19.19	Gart	0.004008459278359281	0.012102846987713141
NM_019553	NM_019553	chr10	62580247	62602298	-	4726.0	1	Ddx21|AI255159|AL022742|D10Ertd645e|D10Wsu42e|-|10 B4-B5.1|10 32.43 cM|protein-coding	161.069	123.90700000000001	83.382	162.12	35.891999999999996	Ddx21	0.007923501339250022	0.01907724429734908
NM_008348	NM_008348	chr9	45253839	45269146	-	3484.0	1	Il10ra|AW553859|CDw210|CDw210a|Il10r|mIL-10R|-|9 A5.2|9 24.84 cM|protein-coding	11.56	14.73	9.873	11.729000000000001	21.947	Il10ra	-0.0006524449540403917	0.001672590230752104
NM_009297	NM_009297	chr11	78206749	78245703	-	6162.0	1	Supt6|5131400N11Rik|AI132449|SPT6|Supt6h|mKIAA0162|-|11 B5|11 46.74 cM|protein-coding	75.015	63.856	58.236000000000004	66.78399999999999	27.67	Supt6	0.002752183275793454	-0.0011546079410120968
NM_019499	NM_019499	chr6	66535468	66540991	+	1718.0	1	Mad2l1|AA673185|MAD2|-|6 C1|6 30.56 cM|protein-coding	11.123	16.187	9.427	15.037	5.808	Mad2l1	0.0005180688297030333	-0.0006094814431250052
NM_001166402	NM_001166402	chr10	19000910	19011963	-	4327.0	1	Tnfaip3|A20|Tnfip3|-|10 A3|10 8.08 cM|protein-coding	129.61700000000002	165.562	147.566	106.25299999999999	71.354	Tnfaip3	0.003410638671623279	-0.035033921661413885
NM_025823	NM_025823	chr6	86386006	86397150	-	4283.0	1	Pcyox1|1200015P13Rik|AI115532|AI448340|PCL1|Pcly|-|6 D1|6|protein-coding	6.125	5.683	7.0089999999999995	4.6819999999999995	13.206	Pcyox1	-0.0005160285932119701	0.0006352184437993291
NM_145964	NM_145964	chr3	127807265	127837492	-	2378.0	1	Ap1ar|AA407621|C78909|Gadkin|-|3 G2|3|protein-coding	27.986	25.296999999999997	21.326999999999998	27.256999999999998	13.044	Ap1ar	0.0009348128779362197	0.0004844944784757661
NM_007451	NM_007451	chrX	36795652	36798806	+	1232.0	1	Slc25a5|Ant2|RP23-286I5.1|X A4|X 21.2 cM|protein-coding	170.25099999999998	143.602	109.02	166.838	79.186	Slc25a5	0.005631862889246653	0.014384433360845406
NM_029291	NM_029291	chr11	4637793	4683386	+	2583.0	1	Ascc2|1700011I11Rik|2610034L15Rik|AI482016|ASC1p100|AW046480|RP23-280J3.3|11 A1|11|protein-coding	34.818000000000005	33.567	27.915	33.668	12.75	Ascc2	0.0014031427057690363	-0.0012542669809366344
NM_009553	NM_009553	chr7	80862108	80876513	+	2281.0	1	Zscan2|Zfp-29|Zfp29|-|7 D3|7 45.71 cM|protein-coding	3.123	3.6660000000000004	5.593999999999999	1.8530000000000002	10.29	Zscan2	-0.0005069180436863534	-0.00021029000154823614
NM_001177603	NM_001177603	chr11	70235204	70237914	-	774.0	1	0610010K14Rik|1110020A23Rik|AL033328|AU045833|Bap18|DN-160I24.7|11 B3|11|protein-coding	76.235	88.678	70.96600000000001	78.422	42.681999999999995	0610010K14Rik	0.0023852677120259715	-0.00698000695132708
NM_026799	NM_026799	chr15	12824815	12935291	+	4530.0	1	Drosha|1110013A17Rik|AI874853|Etohi2|Rn3|Rnasen|-|15 A1|15|protein-coding	18.095	14.037	12.937999999999999	18.249000000000002	7.92	Drosha	0.0006378660735974819	0.0014171602763884761
NM_178397	NM_178397	chr13	54621784	54664063	+	4309.0	1	Faf2|2210404D11Rik|AI462440|Ubxd8|mKIAA0887|-|13 B1|13|protein-coding	33.408	35.565	28.199	31.309	15.729000000000001	Faf2	0.0011138325465198124	-0.0024014487758049754
NM_019563	NM_019563	chr4	120666563	120667820	+	1255.0	1	Cited4|MRG-2|Mrg2|RP23-18M2.2|4 D2.2|4 56.52 cM|protein-coding	10.552	5.406000000000001	2.803	3.2239999999999998	3.213	Cited4	0.0002013466452109726	0.0010499311048509476
NM_001168600	NM_001168600	chrX	150983133	151017293	-	4826.0	1	Gnl3l|BC020354|RP23-139B4.2|X F3|X|protein-coding	19.677	18.039	14.933	21.427	8.517000000000001	Gnl3l	0.0007748108052214416	0.0008440913493548762
NM_144808	NM_144808	chr14	70303467	70351424	-	4915.0	1	Slc39a14|FAD-123|ZIP-14|Zip14|fad123|-|14 D2|14|protein-coding	11.715	9.815	9.395	10.453	3.029	Slc39a14	0.0005144787223565165	-0.0004799495660130046
NM_001146012	NM_001146012	chr14	69697304	69707580	-	1715.0	1	R3hcc1|1700020M16Rik|AA407796|-|14 D2|14 36.08 cM|protein-coding	17.179000000000002	18.539	16.622	17.043	7.325	R3hcc1	0.0006563504228523846	-0.002002346789193673
NM_138592	NM_138592	chr6	72318676	72345175	-	2222.0	1	Usp39|AA408960|AI894154|CGI-21|D6Wsu157e|SAD1|-|6 C1|6 32.27 cM|protein-coding	43.473	35.789	31.144000000000002	39.756	21.545	Usp39	0.0012538608016767513	0.002022567160300667
NM_001080944	NM_001080944	chr2	126320973	126491553	-	5499.0	1	Atp8b4|A530043E15|Im|RP23-460B5.1|2 F1|2|protein-coding	5.297000000000001	9.591000000000001	9.943999999999999	4.435	22.319000000000003	Atp8b4	-0.0011098182772518806	-0.00025464086343713796
NM_009937	NM_009937	chr14	31523084	31577383	-	2816.0	1	Colq|A130034K24Rik|-|14 B|14|protein-coding	2.0540000000000003	11.345999999999998	27.392	3.028	1.2670000000000001	Colq	0.00017519038783785814	-0.01254571446253556
NM_018773	NM_018773	chr6	51859165	52012549	-	1624.0	1	Skap2|2610021A10Rik|AA960083|BB137539|RA70|SKAP-HOM|Saps|Scap2|mSKAP55R|-|6 B3|6|protein-coding	11.87	18.849	22.136999999999997	13.638	60.803999999999995	Skap2	-0.003102512361206247	0.0033095161991927237
NM_175294	NM_175294	chr1	131910458	131936321	+	6087.0	1	Nucks1|2700010L10Rik|8430423A01Rik|AI647518|C78391|Nucks|-|1 E4|1|protein-coding	31.305	27.458000000000002	19.244	32.296	10.252	Nucks1	0.001379828593400927	0.0023537069254258506
NM_007644	NM_007644	chr5	92443873	92505608	-	2096.0	1	Scarb2|9330185J12Rik|Cd36l2|LGP85|LIMP-2|MLGP85|-|5|5 E3|protein-coding	14.095999999999998	14.284	19.045	16.066	34.876999999999995	Scarb2	-0.0013022460238402607	0.0023441065174309027
NM_011203	NM_011203	chr5	20986645	21055797	-	3146.0	1	Ptpn12|P19-PTP|PTP-P19|PTP-PEST|PTPG1|-|5|5 A3-B|protein-coding	11.443	17.391	19.397000000000002	11.197000000000001	23.516	Ptpn12	-0.0007482282779896954	-0.002753564848455422
NM_144877	NM_144877	chr1	162533672	162548345	-	2780.0	1	Mettl13|5630401D24Rik|-|1|1 H1|protein-coding	21.662	15.210999999999999	9.136000000000001	19.794	5.3	Mettl13	0.0009567469566277844	0.0032976049631907116
NM_008131	NM_008131	chr1	153899929	153909723	+	2798.0	1	Glul|GS|Glns|-|1 G2|1|protein-coding	19.082	20.682	23.971999999999998	16.903	34.128	Glul	-0.0010448079232640566	-0.0003138327081105226
NM_025537	NM_025537	chr10	127022332	127030814	-	1172.0	1	Tsfm|2310050B20Rik|9430024O13Rik|EF-TS|EF-Tsmt|-|10 D3|10|protein-coding	31.324	27.498	17.483	35.236	9.484	Tsfm	0.001524334805807724	0.003772849671284598
NM_013677	NM_013677	chr2	26913378	26916530	-	1167.0	1	Surf1|0610010F23Rik|Surf-1|-|2 A3|2 19.1 cM|protein-coding	14.652000000000001	12.202	15.806	13.808	24.941999999999997	Surf1	-0.0007254960680078056	0.0018730834901359338
NM_008245	NM_008245	chr19	37434841	37440731	+	1765.0	1	Hhex|Hex|Hex1|Hhex-rs2|Prh|Prhx|-|19 D1|19 32.28 cM|protein-coding	3.965	3.554	5.2829999999999995	2.354	17.956	Hhex	-0.0009761935281087711	0.0016571193938139572
NM_029662	NM_029662	chr4	122946851	122961188	-	2134.0	1	Mfsd2a|1700018O18Rik|Mfsd2|NLS1|RP23-121J14.3|4|4 D1|protein-coding	16.987000000000002	10.832	6.401	19.317999999999998	2.011	Mfsd2a	0.0010030662165954507	0.003943562571565095
NM_001159519	NM_001159519	chr11	68985701	69008460	-	6339.0	1	Pfas|4432409B16Rik|FGAMS|FGARAT|Gm18|PURL|Sofa|RP23-153N12.1|11 B3|11|protein-coding	19.787	13.161	8.084	20.73	4.217	Pfas	0.0009932618884220695	0.004001634578367672
NM_001033236	NM_001033236	chr12	69577628	69583028	-	1019.0	1	Vcpkmt|Gm71|Mettl21d|Mettl221d|VCP-KMT|-|12 C2|12|protein-coding	27.185	22.569000000000003	15.332	22.869	8.828	Vcpkmt	0.0010261141908149687	0.0014100422966626407
NM_008173	NM_008173	chr18	39410545	39487245	-	6319.0	1	Nr3c1|GR|Grl-1|Grl1|-|18 B3|18 21.09 cM|protein-coding	14.935	20.137999999999998	23.579	13.614	27.924	Nr3c1	-0.0008490164361022066	-0.0029612509984033434
NM_207131	NM_207131	chr14	54710363	54712174	-	1234.0	1	Cebpe|C/EBPe|CRP1|Gm294|-|14 C1|14 27.9 cM|protein-coding	3.43	6.712999999999999	9.744	2.6639999999999997	29.537	Cebpe	-0.0017132408556635756	0.0010574446268841122
NM_172947	NM_172947	chr11	102163489	102185256	-	1217.0	1	Lsm12|1110032E16Rik|1110059P07|2600001B17Rik|RP23-167N11.2|11 D|11|protein-coding	35.4	29.658	21.676	36.071	12.872	Lsm12	0.0014496576452207417	0.0031991579814122386
NM_027740	NM_027740	chr10	99107171	99197988	+	2713.0	1	Poc1b|4933430F16Rik|Wdr51b|-|10|10 C3|protein-coding	6.766	7.197	9.136000000000001	7.351	13.949000000000002	Poc1b	-0.0004497190441628644	0.00041530193326248533
NM_013820	NM_013820	chr6	82725027	82774454	-	5491.0	1	Hk2|AI642394|HKII|-|6 C3|6 35.94 cM|protein-coding	22.82	14.942	6.733	25.708000000000002	7.692	Hk2	0.001013392555386118	0.006750972768584943
NM_028759	NM_028759	chr1	165329501	165460463	-	3284.0	1	Dcaf6|1200006M05Rik|Iqwd1|PC326|-|1|1 H2|protein-coding	6.444	6.763	10.275	6.216	15.129000000000001	Dcaf6	-0.0005749206883814839	-9.679648209342033e-05
NM_008823	NM_008823	chrX	20925535	20931524	-	1513.0	1	Cfp|BCFG|Pfc|RP23-275N2.1|X A3|X 16.44 cM|protein-coding	8.642000000000001	17.102999999999998	19.084	6.901	49.957	Cfp	-0.0026997817764673753	0.0003875224471623152
NM_001081188	NM_001081188	chr9	123113231	123136129	+	1027.0	1	Exosc7|2610002K22Rik|AV212732|mKIAA0116|-|9 F4|9|protein-coding	48.273999999999994	36.988	28.554000000000002	50.062	24.666999999999998	Exosc7	0.001505782903095652	0.007313450177636672
NM_011968	NM_011968	chr12	55398825	55418459	+	988.0	1	Psma6|IOTA|-|12 C1|12|protein-coding	252.762	239.035	223.207	259.567	84.71799999999999	Psma6	0.011156705636316717	-0.012777066435614685
NM_007636	NM_007636	chr10	117050998	117063814	-	1944.0	1	Cct2|Cctb|-|10 D2|10|protein-coding	412.39599999999996	358.48900000000003	258.145	413.751	102.229	Cct2	0.0199404834206268	0.02070434956525412
NM_025480	NM_025480	chr5	38260375	38269618	+	1078.0	1	Tmem128|2810021O14Rik|-|5 B3|5|protein-coding	44.04600000000001	43.911	42.265	50.978	23.930999999999997	Tmem128	0.0015447567241317964	-0.000846557823669288
NM_026229	NM_026229	chr3	96871066	96905298	-	1749.0	1	Gpr89|4933412D19Rik|Gpr89a|SH120|-|3|3 F2|protein-coding	11.142000000000001	8.773	6.711	12.519	6.001	Gpr89	0.0003601751741009578	0.0019135408621848001
NM_133818	NM_133818	chr1	43098710	43115946	+	3451.0	1	AI597479|-|-|1 B|1|protein-coding	18.859	19.935	14.056	17.317	6.2170000000000005	AI597479	0.0007906382510981053	-0.0011686594347107948
NM_008355	NM_008355	chr11	53631323	53634702	-	1200.0	1	Il13|Il-13|RP23-239O19.1|11 B1.3|11 31.98 cM|protein-coding	29.72	6.343999999999999	1.909	43.266000000000005	2.499	Il13	0.0020114852369401033	0.01685834351300009
NM_009419	NM_009419	chr5	112276707	112315356	+	1805.0	1	Tpst2|AI448750|D5Ucla3|Tango13b|grm|grt|-|5 F|5 54.65 cM|protein-coding	27.49	27.624000000000002	26.783	29.325	55.537	Tpst2	-0.0017884609367140195	0.005864685027134545
NM_026756	NM_026756	chr10	81396191	81427173	-	6207.0	1	Nfic|1110019L22Rik|1500041O16Rik|AA589446|AI746521|NF1-C|-|10 C1|10 39.72 cM|protein-coding	2.35	3.114	4.006	2.072	11.569	Nfic	-0.0006089075028441907	0.0007124188770442218
NM_026934	NM_026934	chr2	83644578	83664616	+	1950.0	1	Zc3h15|1700006A17Rik|1810012H02Rik|2610312B22Rik|FM22|Ierepo4|RP23-111F12.2|2|2 E1|protein-coding	74.66	65.866	48.995	68.907	25.028000000000002	Zc3h15	0.002998164285941482	0.0019781762248355567
NM_001198977	NM_001198977	chr13	52583437	52648792	+	5083.0	1	Syk|Sykb|-|13 B-C2|13 27.41 cM|protein-coding	9.951	15.878	16.479	8.7	47.438	Syk	-0.002455628918023527	0.002120184448193925
NM_008251	NM_008251	chr16	96121588	96127725	-	1192.0	1	Hmgn1|HMG-14|Hmg14|-|16 C4|16 56.83 cM|protein-coding	55.583999999999996	53.345	37.983000000000004	52.831	19.214000000000002	Hmgn1	0.0022805907774573245	0.00018261690417989
NM_173869	NM_173869	chr16	36156811	36161948	+	409.0	1	Stfa2l1|-|-|16 B3|16|protein-coding	9.427	12.827	24.9	3.534	56.629	Stfa2l1	-0.0032615185757816	-0.00028492838152758567
NM_025606	NM_025606	chr19	11770415	11774946	+	1118.0	1	Mrpl16|2310039D06Rik|-|19|19 B|protein-coding	46.706	47.208999999999996	32.083	55.358999999999995	16.230999999999998	Mrpl16	0.002281670583448739	0.0026613301077813034
NM_001253847	NM_001253847	chr12	31484829	31499616	-	3999.0	1	Cbll1|AI467391|Hakai|c-Cbl-like|-|12 A3|12|protein-coding	15.877	14.017000000000001	14.318	14.690999999999999	6.49	Cbll1	0.0005638021724576692	-0.0008959075640371833
NM_198304	NM_198304	chr2	30286433	30344262	+	5624.0	1	Nup188|BC025526|U89435|mKIAA0169|RP23-395P6.3|2 B|2|protein-coding	32.802	26.33	22.041999999999998	30.612	13.200999999999999	Nup188	0.0011605286251488679	0.0019255986563910701
NM_145991	NM_145991	chr1	143607499	143702684	-	2659.0	1	Cdc73|8430414L16Rik|BC027756|C130030P16Rik|C81219|Hrpt2|AC175246.2|1 F|1 62.52 cM|protein-coding	30.135	31.643	26.133000000000003	31.334	14.388	Cdc73	0.0010868955571781294	-0.0013595988635709036
NM_011804	NM_011804	chr1	165763780	165775304	+	2119.0	1	Creg1|AA755314|Creg|-|1 H2.3|1|protein-coding	21.32	22.840999999999998	24.686	14.8	73.487	Creg1	-0.003630667454330338	0.005746645577950883
NM_194444	NM_194444	chr8	123224841	123232256	+	1596.0	1	Cdk10|BC017131|-|8 E1|8|protein-coding	11.317	10.603	9.482000000000001	12.495999999999999	4.827	Cdk10	0.00045823653282425926	0.0001051759899810078
NM_176933	NM_176933	chr8	34807610	34819894	+	2421.0	1	Dusp4|2700078F24Rik|AI844617|BB104621|E130306H24Rik|MKP2|-|8 A4|8|protein-coding	45.058	26.982	10.270999999999999	51.412	6.15	Dusp4	0.0025940511190049556	0.013811820915608007
NM_133749	NM_133749	chr2	112455025	112467436	+	1065.0	1	Emc7|2900064A13Rik|AI451465|ORF3|c11orf3|RP23-52C15.1|2|2 E4|protein-coding	67.997	66.115	52.996	68.325	29.66	Emc7	0.0025129477971874334	-0.0003883086938285158
NM_009614	NM_009614	chr3	89339640	89350010	-	2819.0	1	Adam15|MDC15|metargidin|-|3 F1|3 39.07 cM|protein-coding	4.698	3.764	7.196000000000001	3.9219999999999997	19.11	Adam15	-0.0009811960193552352	0.001668553673638498
NM_001033201	NM_001033201	chr4	46138511	46172402	+	3086.0	1	Ncbp1|AU014645|AW538051|CBP80|RP23-13L18.1|4 B1|4 24.49 cM|protein-coding	44.81399999999999	41.056999999999995	32.788000000000004	50.835	24.895	Ncbp1	0.0014666136907626613	0.004011176609416778
NM_001159482	NM_001159482	chr11	78188427	78192193	+	1363.0	1	Rab34|AI326479|Narr|Rah|Rah1|RP23-185A18.5|11 B5|11 46.74 cM|protein-coding	38.28	69.69	61.663999999999994	36.104	5.69	Rab34	0.002359615478437984	-0.024917868819442177
NM_001164090	NM_001164090	chr12	31595354	31634658	-	1781.0	1	Bcap29|AW208404|Bap29|-|12 A3|12 13.63 cM|protein-coding	35.861	34.064	24.801	34.426	9.115	Bcap29	0.0016955553165142099	-0.0003891433527556202
NM_001038231	NM_001038231	chr19	5364633	5366363	-	761.0	1	Banf1|Baf|Bcrp1|L2bp1/Baf|-|19 A|19|protein-coding	283.938	283.435	208.204	276.033	82.542	Banf1	0.012976015594866988	-0.00884085044721672
NM_024193	NM_024193	chr2	130274412	130279313	+	1881.0	1	Nop56|2310044F10Rik|Nol5a|RP23-20A6.6|2|2 F3|protein-coding	205.57299999999998	158.101	126.568	157.045	43.152	Nop56	0.00870383154473009	0.0011478138606849937
NM_010370	NM_010370	chr13	113093827	113100981	-	871.0	1	Gzma|AW494114|Ctla-3|Ctla3|Hf|SE1|TSP-1|TSP1|-|13 D|13 63.93 cM|protein-coding	10.874	2.491	1.268	14.933	2.137	Gzma	0.0006284792803038673	0.005849585552598493
NM_007681	NM_007681	chr5	30666902	30674826	+	1330.0	1	Cenpa|Cenp-A|-|5 B1|5 16.76 cM|protein-coding	7.688	7.355	9.81	8.177	29.698	Cenpa	-0.0014363816931506849	0.0033931952905077306
NM_175552	NM_175552	chr3	100138180	100162403	-	3399.0	1	Wdr3|AW546279|D030020G18Rik|-|3 F2.2|3|protein-coding	53.424	37.659	27.362	48.652	15.970999999999998	Wdr3	0.002166809771374435	0.0066636251765313835
NM_011703	NM_011703	chr9	121642716	121672954	+	4887.0	1	Vipr1|AV071699|VIP-R1|VPAC1|-|9 F4|9 72.5 cM|protein-coding	2.95	2.9139999999999997	9.047	1.5230000000000001	27.906999999999996	Vipr1	-0.0016873002965727807	0.001705890085591755
NM_009087	NM_009087	chr5	147077346	147079086	+	896.0	1	Polr1d|1110003G10Rik|AC19|RPA16|Rpo1-3|AL513345.2|5 G3|5|protein-coding	123.15100000000001	107.421	92.891	121.698	49.103	Polr1d	0.004682241275820388	0.002662721630215505
NM_001290484	NM_001290484	chr2	28566245	28583279	-	2809.0	1	Gtf3c5|2700084A09Rik|TFIIIC63|TFiiiC2-63|RP23-430H1.8|2 A3|2|protein-coding	13.502	12.414000000000001	9.857000000000001	17.03	6.699	Gtf3c5	0.0005498187251396456	0.0015674581640972903
NM_010235	NM_010235	chr19	5447698	5455938	+	1699.0	1	Fosl1|AW538199|Fra1|fra-1|-|19 A|19 4.33 cM|protein-coding	10.335	1.9969999999999999	1.3719999999999999	6.55	1.004	Fosl1	0.00041769725663985804	0.0031487181054973374
NM_016797	NM_016797	chr10	24149317	24188959	+	2488.0	1	Stx7|AI315064|AI317144|AW107239|Syn7|-|10|10 A3|protein-coding	11.184000000000001	18.835	20.039	14.856	35.45	Stx7	-0.0014112880563029616	-0.00023390871548802265
NM_001081475	NM_001081475	chr4	116601052	116627497	-	2102.0	1	Nasp|5033430J04Rik|AI131596|AI317140|D4Ertd767e|Epcs32|Nasp-T|RP23-233B9.9|4 D1|4 53.24 cM|protein-coding	61.187	63.129	48.896	66.76	28.26	Nasp	0.0023583368819818764	-3.47659849273447e-05
NM_001285902	NM_001285902	chr4	117550324	117674297	+	1029.0	1	Eri3|PINT1|Prnpip1|RP23-99G21.1|4|4 D1|protein-coding	30.301	25.301	20.152	24.473000000000003	9.998	Eri3	0.00110352670313435	4.9504267108202695e-05
NM_008522	NM_008522	chr9	111019292	111042766	+	2723.0	1	Ltf|Csp82|Lf|MMS10R|Ms10r|-|9 F|9 60.79 cM|protein-coding	88.633	197.812	239.102	38.625	649.955	Ltf	-0.03756797416524771	-0.004257708973029091
NM_146008	NM_146008	chr10	84576947	84614355	+	2388.0	1	Tcp11l2|E430026E19Rik|-|10 C1|10|protein-coding	10.021	12.488	27.112	7.535	59.515	Tcp11l2	-0.00331094291677019	0.0007752986785930217
NM_144536	NM_144536	chr13	29325306	29855588	-	2521.0	1	Cdkal1|1190005B03Rik|6620401C13Rik|RP23-202F3.2|13|13 A3.3|protein-coding	9.16	10.296	8.095	9.316	3.22	Cdkal1	0.0004056280200556136	-0.0009412391767403561
NM_029546	NM_029546	chr10	78170910	78185149	-	3848.0	1	Pwp2|6530411D08Rik|Pwp2h|wdp103|-|10 C1|10 39.72 cM|protein-coding	53.245	37.263000000000005	24.478	42.148999999999994	10.062999999999999	Pwp2	0.0023390547512656657	0.0048789743525328635
NM_001163396	NM_001163396	chr12	108635753	108688515	+	1940.0	1	Evl|AI528774|-|12|12 F2|protein-coding	21.796	16.795	31.706999999999997	21.529	93.85799999999999	Evl	-0.004794765121030573	0.010527532017027648
