id	chr	start	end	strand	Length	Copies	Annotation/Divergence	0-1uM-PCC-24h	100uM-K99A-24h	10uM-K99A-24h	10uM-PCC-24h	No-Peptide-24h	gene_name
NM_009923	chr11	100574939	100581739	+	2327.0	1	Cnp|CNPase|Cnp-1|Cnp1|RP24-319D9.2|11 D|11 63.47 cM|protein-coding	15.65	18.698	32.234	11.893	56.01	Cnp
NM_007695	chr1	134182404	134190031	+	1677.0	1	Chil1|AW208766|Brp39|Chi3l1|Gp39|-|1 E4|1 58.15 cM|protein-coding	26.689	30.249	31.973000000000006	18.851	87.306	Chil1
NM_019456	chr2	22774327	22875653	+	2524.0	1	Apbb1ip|9930118P07Rik|Prp48|RP23-114M13.1|2 A3|2|protein-coding	23.212	33.773	51.756	19.425	89.819	Apbb1ip
NM_175445	chr2	131992850	132029988	-	4772.0	1	Rassf2|3830431H01Rik|9030412M04Rik|AI852669|AW495050|RP23-401J24.8|2 F2|2|protein-coding	12.611	21.922	28.952	12.319	56.92100000000001	Rassf2
NM_008677	chr15	78244811	78262580	+	1442.0	1	Ncf4|AI451400|p40phox|RP23-385C21.1|15 E1|15 37.1 cM|protein-coding	20.082	28.477	29.894	16.160999999999998	74.43	Ncf4
NM_152839	chr5	88519809	88527897	-	2096.0	1	Igj|9530090F24Rik|AI323815|Jch|-|5 E1|5|protein-coding	50.006	63.724	77.07600000000002	30.683000000000003	138.819	Igj
NM_001162423	chrX	73894352	73911298	-	3264.0	1	Arhgap4|A130009C12Rik|A530015A20Rik|Rgc1|c1|mKIAA0131|RP23-252M19.2|X A7.3|X|protein-coding	13.558	18.563	31.927	13.505	59.857	Arhgap4
NM_013758	chr19	53143997	53247326	+	4243.0	1	Add3|AI463285|R75380|-|19 D2|19 47.18 cM|protein-coding	17.275	27.463	41.786	15.43	67.649	Add3
NM_194342	chr15	79724068	79742536	-	3694.0	1	Sun2|B230369L08Rik|C030011B15|Unc84b|-|15 E1|15|protein-coding	49.418	72.764	106.61	45.979	199.46400000000003	Sun2
NM_011407	chr11	83116845	83122659	+	1853.0	1	Slfn1|AV316259|RP23-308N3.1|11 C|11 50.3 cM|protein-coding	85.21799999999998	98.435	153.797	57.91	248.341	Slfn1
NM_016811	chr10	128720136	128744056	-	2787.0	1	Dgka|80kDa|AW146112|Dagk1|-|10 D3|10 77.14 cM|protein-coding	50.825	55.37	120.306	50.24800000000001	215.368	Dgka
NM_029575	chr9	116087695	116175363	-	4704.0	1	Tgfbr2|1110020H15Rik|AU042018|DNIIR|RIIDN|TBR-II|TbetaR-II|TbetaRII|-|9 F3|9 68.39 cM|protein-coding	24.215	34.901	50.394	17.435	74.681	Tgfbr2
NM_001301305	chr6	136923661	136941503	-	1139.0	1	Arhgdib|D4|Gdid4|Ly-GDI|-|6 G1|6|protein-coding	176.903	253.511	343.675	174.46599999999995	745.2610000000002	Arhgdib
NM_172261	chr11	94991212	95006898	+	4318.0	1	Ppp1r9b|SPL|Spn|RP23-112C19.3|11 D|11|protein-coding	26.544	27.772	40.625	22.458	94.671	Ppp1r9b
NM_007570	chr1	134074865	134079155	-	3079.0	1	Btg2|AA959598|APRO1|Pc3|TIS21|-|1 E4|1 58.1 cM|protein-coding	37.933	39.331	55.511	27.212	112.869	Btg2
NM_153137	chr1	193175504	193201546	-	2103.0	1	Traf3ip3|6030423D04Rik|AI115021|T3jam|RP23-282D4.1|1 H6|1|protein-coding	21.781	27.104	52.938	19.156	77.955	Traf3ip3
NM_001289619	chr6	42349828	42358562	+	2501.0	1	Zyx|9530098H06Rik|R75157|-|6 B2.1|6|protein-coding	31.15	35.74	46.557	30.048	121.342	Zyx
NM_013610	chr13	49187547	49196251	+	1126.0	1	Ninj1|AU024536|-|13 A5|13|protein-coding	17.009	18.953	23.501	14.343	57.806	Ninj1
NM_009983	chr7	142375916	142387870	-	1943.0	1	Ctsd|CD|CatD|-|7 F5|7|protein-coding	98.482	122.847	137.70600000000002	88.196	352.61	Ctsd
NM_011609	chr6	125349723	125362483	+	2143.0	1	Tnfrsf1a|CD120a|FPF|TNF-R|TNF-R-I|TNF-R1|TNF-R55|TNF-alphaR1|TNFAR|TNFR60|TNFRI|TNFRp55|TNFalpha-R1|Tnfr-2|Tnfr1|p55|p55-R|-|6 F3|6 59.32 cM|protein-coding	14.843	18.315	23.036	14.061	55.897	Tnfrsf1a
NM_008453	chr5	64803523	64830129	+	2306.0	1	Klf3|9930027G08Rik|AL024007|Bklf|Tef-2|-|5 C3.1|5|protein-coding	21.554	25.231	42.088	18.676	74.209	Klf3
NM_001164040	chr15	74955106	74959905	+	1858.0	1	Ly6e|9804|Ly67|RIG-E|Sca-2|TSA-1|Tsa1|-|15 D3|15 34.29 cM|protein-coding	218.381	286.55	431.159	181.273	713.107	Ly6e
NM_011952	chr7	126759626	126765816	+	1761.0	1	Mapk3|Erk-1|Erk1|Ert2|Esrk1|Mnk1|Mtap2k|Prkm3|p44|p44erk1|p44mapk|-|7 F3|7 69.25 cM|protein-coding	20.633000000000006	29.479	37.624	19.963	77.446	Mapk3
NM_027898	chr7	31130127	31151050	-	2660.0	1	Gramd1a|1300003M23Rik|AI415002|AW547240|D7Bwg0611e|-|7 B1|7 19.3 cM|protein-coding	37.355	39.372	66.76100000000001	33.088	126.683	Gramd1a
NM_011116	chr7	27532018	27553112	-	2148.0	1	Pld3|Sam-9|-|7 A3|7|protein-coding	21.793000000000006	26.096	43.774	19.68	75.28699999999998	Pld3
NM_030694	chr7	140954839	140955961	-	623.0	1	Ifitm2|DSPA2c|Ifitm3l|fragilis3|mil-3|-|7|7 F5|protein-coding	29.8	34.191	39.98	25.285	96.677	Ifitm2
NM_011528	chr7	141392160	141402976	+	1266.0	1	Taldo1|-|-|7|7 F3-F4|protein-coding	65.709	96.061	106.965	64.41199999999999	246.042	Taldo1
NM_010239	chr19	9982646	9985111	+	936.0	1	Fth1|FHC|Fth|HFt|MFH|-|19 A-C|19 6.23 cM|protein-coding	502.939	735.535	735.705	427.889	1616.38	Fth1
NM_026169	chr19	5850974	5875208	-	3154.0	1	Frmd8|1200004M23Rik|2310035N23Rik|4931429L16Rik|AU018809|-|19 A|19|protein-coding	30.933000000000003	36.182	61.219	28.742	107.939	Frmd8
NM_007635	chr5	93267573	93276231	+	2484.0	1	Ccng2|-|-|5|5 E3.3-F1.3|protein-coding	16.804000000000002	18.58	30.279	15.331	57.215	Ccng2
NM_028752	chr5	122210287	122242297	+	2643.0	1	Hvcn1|0610039P13Rik|AI450555|BTS|HV1|Vsop.|mVSOP|-|5 F|5|protein-coding	17.109	20.059	20.334	16.185	60.228	Hvcn1
NM_001081274	chr4	149149985	149166707	-	2209.0	1	Pgd|0610042A05Rik|AU019875|C78335|RP23-249G3.4|4 E2|4 78.96 cM|protein-coding	58.053	68.536	84.057	55.74100000000001	202.468	Pgd
NM_009151	chr5	113817798	113830501	-	2600.0	1	Selplg|CD162|Psgl-1|Psgl1|Selp1|Selpl|-|5 F|5 55.59 cM|protein-coding	84.428	124.211	143.38299999999995	72.691	262.534	Selplg
NM_029999	chr17	72918305	72941946	+	3063.0	1	Lbh|1810009F10Rik|6720416L16Rik|-|17 E2|17|protein-coding	21.754	29.234	42.194	20.725	74.334	Lbh
NM_010344	chr8	33653238	33698162	+	2657.0	1	Gsr|AI325518|D8Ertd238e|Gr-1|Gr1|-|8 A4|8 20.69 cM|protein-coding	47.665	67.506	69.869	42.032	150.175	Gsr
NM_177262	chr8	83669762	83699179	-	3412.0	1	Pkn1|DBK|F730027O18Rik|PAK1|PRK1|Pkn|Prkcl1|Stk3|-|8 C2|8 40.22 cM|protein-coding	20.082	24.429	29.224	17.684	62.958	Pkn1
NM_010686	chr4	130913334	130936148	+	2388.0	1	Laptm5|E3|RP23-412B2.5|4 D2.3|4|protein-coding	86.30799999999998	104.976	140.784	82.655	294.003	Laptm5
NM_144551	chr12	15791727	15816785	-	4193.0	1	Trib2|AW319517|TRB-2|TRB2|-|12 A1.1|12|protein-coding	25.876	28.223000000000006	49.151	21.378	74.744	Trib2
NM_009875	chr6	134920401	134925525	+	2400.0	1	Cdkn1b|AA408329|AI843786|Kip1|p27|p27Kip1|-|6 G1|6 65.77 cM|protein-coding	38.416	50.705	69.852	35.859	124.079	Cdkn1b
NM_028121	chr9	59291572	59316200	+	2462.0	1	Adpgk|2610017G09Rik|Adp-gk|C77577|-|9 B|9|protein-coding	44.036	49.749	56.49800000000001	34.236999999999995	118.287	Adpgk
NM_011206	chr1	34459746	34473779	+	1556.0	1	Ptpn18|FLP1|HSCF|PTP-HSCF|PTP-K1|Ptpk1|-|1 B|1 13.25 cM|protein-coding	21.6	23.425	28.913	17.647000000000006	60.637	Ptpn18
NM_008359	chr6	120463197	120483727	+	3955.0	1	Il17ra|AW538159|Cdw217|Il17r|VDw217|-|6 F1|6 56.95 cM|protein-coding	29.574	33.353	47.393	23.615	80.954	Il17ra
NM_021366	chr7	63886351	63938915	-	6392.0	1	Klf13|0610043C13Rik|9430029L20Rik|Bteb3|FKLF-2|FKLF2|NSLP1|RFLAT-1|RFLAT1|-|7 C|7|protein-coding	24.376	26.635	42.825	22.779	77.97800000000002	Klf13
NM_001199186	chr9	21320719	21355028	+	3433.0	1	Slc44a2|1110028E10Rik|CTL2|-|9 A3|9|protein-coding	23.768	24.268	38.111	22.522	76.262	Slc44a2
NM_010751	chr6	86647045	86669159	-	4653.0	1	Mxd1|AW122478|Mad|Mad1|-|6 D1|6 37.75 cM|protein-coding	34.063	48.467	56.413	26.859	89.899	Mxd1
NM_027410	chr5	144195347	144223578	-	4137.0	1	Tecpr1|2210010N04Rik|mKIAA1358|-|5 G2|5|protein-coding	23.897	28.567	45.565	23.196	77.63	Tecpr1
NM_001103178	chr19	57033264	57119024	-	5903.0	1	Ablim1|2210411C18Rik|2610209L21Rik|4833406P10Rik|9330196J19Rik|AV079770|AW060987|AW215784|Limab1|mKIAA0059|-|19 D2|19 52.09 cM|protein-coding	33.9	37.301	58.636	30.56	100.509	Ablim1
NM_001290749	chr11	50025331	50104759	+	1421.0	1	Rnf130|G1RZFP|G1rp|GOLIATH|GP|RP23-319B15.1|11|11 B1.2|protein-coding	31.055	38.78	44.411	27.892	89.68299999999998	Rnf130
NM_008518	chr17	35194507	35196305	+	1090.0	1	Ltb|AI662801|LTbeta|Tnfc|Tnfsf3|p33|-|17 B1|17 18.59 cM|protein-coding	156.635	163.215	237.253	120.324	384.852	Ltb
NM_146145	chr4	101151974	101265282	-	5272.0	1	Jak1|AA960307|C130039L05Rik|RP23-336G7.2|4 C6|4 46.19 cM|protein-coding	63.529	83.353	112.566	60.12300000000001	189.793	Jak1
NM_010286	chrX	140539529	140543187	-	1968.0	1	Tsc22d3|DIP|Dsip1|Gilz|TSC-22R|Tilz3|RP23-440B21.1|X F1|X|protein-coding	89.97	98.276	147.615	63.21	199.048	Tsc22d3
NM_001033142	chr8	122466147	122476064	-	1775.0	1	Rnf166|1110031E24Rik|AW555115|Zfp313l|-|8 E1|8|protein-coding	27.128	32.913000000000004	40.738	21.129	65.068	Rnf166
NM_023402	chr17	70973963	70990516	-	933.0	1	Myl12b|1500001M02Rik|C77744|Mylc2b|RLC-B|-|17 E1.3|17|protein-coding	84.669	103.5	132.561	81.012	239.823	Myl12b
NM_013477	chr8	105524470	105566040	-	1607.0	1	Atp6v0d1|AI267038|Ac39|Atp6d|P39|VATX|Vma6|-|8 D3|8|protein-coding	27.408	32.549	39.016	24.934	71.26	Atp6v0d1
NM_026432	chr8	34154563	34170847	+	1891.0	1	Saraf|1810045K07Rik|Tmem66|-|8 A4|8|protein-coding	84.104	91.931	112.013	75.298	215.136	Saraf
NM_009331	chr11	52252604	52282571	-	2226.0	1	Tcf7|AI465550|TCF-1|Tcf1|RP23-223A11.3|11 B1.3|11 31.86 cM|protein-coding	266.113	347.665	579.755	217.593	601.604	Tcf7
NM_009008	chr15	78559169	78572783	-	3027.0	1	Rac2|AI323801|AI452260|-|15 E1|15|protein-coding	91.583	134.186	182.297	90.224	238.941	Rac2
NM_011671	chr7	100493345	100502173	+	4123.0	1	Ucp2|Slc25a8|-|7 E3|7 54.36 cM|protein-coding	56.534	60.083	70.153	54.664	144.126	Ucp2
NM_028608	chr10	111985448	111997264	-	1073.0	1	Glipr1|2410114O14Rik|RTVP-1|RTVP1|mRTVP-1|-|10|10 D1|protein-coding	39.486	44.152	47.722	36.467	95.063	Glipr1
NM_010688	chr11	97799672	97838764	+	3424.0	1	Lasp1|AA408629|Def-4|SH3P6|Tg(Col1a1-lacZ)1Ngma|RP23-386E10.6|11 C-D|11 61.1 cM|protein-coding	34.43	51.221	58.87600000000001	32.564	84.676	Lasp1
NM_001168492	chr19	53903351	53929861	+	1791.0	1	Pdcd4|D19Ucla1|Ma3|Tis|-|19 D2|19 48.73 cM|protein-coding	64.862	92.637	103.63	47.165	122.537	Pdcd4
NM_172397	chr11	106156256	106160142	-	2943.0	1	Limd2|0610025L06Rik|AI413966|RP23-81G14.8|11 E1|11|protein-coding	95.45	139.892	190.655	82.585	213.86	Limd2
NM_008494	chr5	140607341	140615545	+	2274.0	1	Lfng|AW061165|-|5 G2|5 79.15 cM|protein-coding	76.112	118.669	143.975	67.843	173.695	Lfng
NM_134002	chr10	80622780	80640771	+	2423.0	1	Csnk1g2|2810429I12Rik|AI463719|-|10 C1|10|protein-coding	39.556	42.003	49.66	36.056	92.048	Csnk1g2
NM_133810	chr1	53755512	53785215	-	3268.0	1	Stk17b|3110009A03Rik|AI120141|Drak2|-|1 C1.1|1|protein-coding	52.346	90.505	118.155	49.983	125.831	Stk17b
NM_007657	chr6	125460266	125494755	-	1182.0	1	Cd9|Tspan29|-|6 F3|6 59.32 cM|protein-coding	42.581	45.554	48.062	42.213	106.154	Cd9
NM_133978	chr9	114756836	114781993	-	1130.0	1	Cmtm7|AI481279|Cklfsf7|LNV|-|9 F3|9|protein-coding	33.6	39.761	39.777	29.16	73.203	Cmtm7
NM_001252201	chr1	39900913	40026310	+	5548.0	1	Map4k4|9430080K19Rik|AU043147|AU045934|AW046177|HGK|Nik|-|1 B|1|protein-coding	32.617	50.823	53.218	31.604	78.248	Map4k4
NM_007502	chr9	96332675	96364299	-	1822.0	1	Atp1b3|AA409958|AI664000|AW212096|-|9 E3.3|9 50.31 cM|protein-coding	114.591	117.907	166.06599999999997	113.824	276.005	Atp1b3
NM_026880	chr4	138313410	138326296	-	2356.0	1	Pink1|1190006F07Rik|AU042772|AW557854|BRPK|mFLJ00387|-|4 D3|4|protein-coding	49.005	50.011	66.435	45.51600000000001	107.831	Pink1
NM_011103	chr14	30595354	30626208	-	2755.0	1	Prkcd|AI385711|D14Ertd420e|PKC[d]|PKCdelta|Pkcd|-|14 B|14 18.82 cM|protein-coding	45.604	54.896	59.129	41.717	98.482	Prkcd
NM_001139520	chr2	157097529	157135222	-	3991.0	1	Samhd1|E330031J07Rik|Mg11|RP23-163J20.2|2|2 H2|protein-coding	84.624	85.891	94.864	69.554	163.18200000000004	Samhd1
NM_146014	chr11	6546887	6596761	+	1863.0	1	Ccm2|BC029157|RP23-169J19.3|11 A1|11|protein-coding	43.213	57.127	60.877	38.865	89.10700000000001	Ccm2
NM_001112711	chr13	55445331	55460927	+	2981.0	1	Grk6|Gprk6|-|13 B1-3|13 30.06 cM|protein-coding	41.964	46.57899999999999	58.145	40.372	90.097	Grk6
NM_023910	chr5	137745969	137759747	+	2342.0	1	Tsc22d4|0610009M14Rik|1700023B23Rik|AI415410|Thg-1pit|Tilz2|-|5 G2|5|protein-coding	51.66	52.146	66.32600000000001	51.588	114.48	Tsc22d4
NM_012032	chr2	163623273	163645143	-	3682.0	1	Serinc3|AA959945|AA960047|AIGP1|DIFF33|TMS-1|Tde1|RP23-144O20.3|2 H3|2|protein-coding	128.05700000000002	161.536	202.052	115.593	256.18	Serinc3
NM_020255	chr2	156311846	156312704	-	756.0	1	Scand1|2310003H23Rik|Leap1|PGC-2|Ppargc2|-|2|2 H2|protein-coding	82.818	85.154	86.613	77.756	170.622	Scand1
NM_013487	chr9	44981786	44987052	+	1323.0	1	Cd3d|T3d|-|9 A5.2|9 24.84 cM|protein-coding	61.135	67.295	100.749	59.644	129.659	Cd3d
NM_008517	chr10	93453396	93484896	+	2045.0	1	Lta4h|-|-|10|10 C3|protein-coding	41.109	50.48	58.999	39.028	81.86	Lta4h
