id	id	chr	start	end	strand	Length	Copies	Annotation/Divergence	../../rep1/tag-dirs/0-1uM-PCC-24h-KAA-15-01-22 reads	../../rep1/tag-dirs/100uM-K99A-24h-KAA-15-01-22 reads	../../rep1/tag-dirs/10uM-K99A-24h-KAA-15-01-22 reads	../../rep1/tag-dirs/10uM-PCC-24h-KAA-15-01-22 reads	../../rep1/tag-dirs/No-Peptide-24h-KAA-15-01-22 reads	0-1uM-PCC-24h-0-5uM-MEKi	0-1uM-PCC-24h	100uM-K99A-24h-0-5uM-MEKi	100uM-K99A-24h	10uM-K99A-24h-0-5uM-MEKi	10uM-K99A-24h	10uM-PCC-24h-0-5uM-MEKi	10uM-PCC-24h	No-Peptide-24h-0-5uM-MEKi	No-Peptide-24h	gene_name
NM_001282737	NM_001282737	chr4	107879755	107887424	+	685.0	1	Magoh|Mago-m|Mos2|RP23-40G2.2|4 C7|4 50.18 cM|protein-coding	160.47299999999998	161.76	123.295	164.195	42.643	77.908	75.579	55.169	75.112	35.461	34.09	82.71	89.277	25.105999999999998	22.728	Magoh
NM_019402	NM_019402	chr14	54894143	54898927	+	1784.0	1	Pabpn1|PAB2|Pabp3|mPABII|-|14 C3|14 27.98 cM|protein-coding	140.946	126.764	126.274	150.009	90.387	114.03200000000001	121.721	108.48	120.44	72.643	84.678	121.744	135.049	64.721	65.437	Pabpn1
NM_013542	NM_013542	chr14	56258858	56262260	-	1409.0	1	Gzmb|AI553453|CCP-1/C11|CCP1|Ctla-1|Ctla1|GZB|-|14 D3|14 28.19 cM|protein-coding	67.42699999999999	78.165	25.021	53.028999999999996	9.1	72.541	61.138999999999996	42.70399999999999	65.098	9.198	13.23	57.277	64.88600000000001	4.334	6.314	Gzmb
NM_016891	NM_016891	chr17	20945454	20965905	+	2239.0	1	Ppp2r1a|6330556D22Rik|PP2A|PR65|-|17 A3.2|17|protein-coding	130.908	136.592	119.59200000000001	135.145	67.332	110.031	110.594	95.236	110.59899999999999	55.321000000000005	73.07300000000001	120.774	122.22399999999999	54.714	53.706	Ppp2r1a
NM_008379	NM_008379	chr11	97159710	97187892	-	5885.0	1	Kpnb1|AA409963|IPOB|Impnb|RP23-81D2.3|11|11 D|protein-coding	119.493	103.446	78.574	123.18700000000001	46.165	88.929	78.064	61.848	77.789	31.372	42.501999999999995	93.79	103.87899999999999	29.656999999999996	30.351	Kpnb1
NM_011874	NM_011874	chr7	28041702	28050092	-	1423.0	1	Psmc4|CIP21|MIP224|-|7 A3|7 16.11 cM|protein-coding	140.243	134.528	110.25299999999999	146.933	54.897	89.23299999999999	82.64399999999999	71.957	82.97200000000001	37.024	40.416	91.916	101.169	27.193	33.482	Psmc4
NM_153547	NM_153547	chr14	31012433	31019131	-	1909.0	1	Gnl3|Ns|-|14 B|14 19.09 cM|protein-coding	121.816	86.787	63.952	116.64299999999999	20.067999999999998	76.24	63.92	37.565	68.194	18.285	20.985	82.375	78.54899999999999	10.052999999999999	13.981	Gnl3
NM_197979	NM_197979	chr11	4701968	4704344	-	437.0	1	Uqcr10|1110020P15Rik|AA960494|Ucrc|RP23-280J3.4|11 A1|11|protein-coding	200.333	176.201	139.076	165.769	92.87	86.149	88.88	79.392	87.06	33.977	49.57899999999999	97.383	124.45	52.045	49.65	Uqcr10
NM_008681	NM_008681	chr15	66929318	66969641	-	2872.0	1	Ndrg1|CAP43|CMT4D|DRG1|HMSNL|NMSL|Ndr1|Ndrl|PROXY1|RTP|TDD5|-|15 D2|15|protein-coding	88.55799999999999	109.65899999999999	62.417	95.421	23.798000000000002	73.358	75.183	57.853	74.219	24.444000000000003	30.503	74.535	93.68799999999999	20.503	26.776999999999997	Ndrg1
NM_011188	NM_011188	chr5	21785283	21803784	+	1767.0	1	Psmc2|-|-|5 A3|5 9.97 cM|protein-coding	129.376	124.97	99.92200000000001	138.469	47.34	85.223	80.819	65.117	86.973	39.951	43.93899999999999	87.979	99.934	19.959	31.299	Psmc2
NM_016871	NM_016871	chr7	19701313	19715429	-	1556.0	1	Tomm40|AW539759|Mom35|Tom40|-|7 A3|7|protein-coding	116.135	83.98899999999999	58.589	112.756	31.266	69.34100000000001	62.828	43.464	61.641999999999996	15.444	22.017	70.418	86.229	11.013	14.421	Tomm40
NM_020027	NM_020027	chr17	35149086	35164877	-	6825.0	1	Prrc2a|3110039B05Rik|Bat-2|Bat2|D17H6S51E|G2|Wbp12|mKIAA4178|-|17 B1|17 18.59 cM|protein-coding	123.51899999999999	106.94200000000001	97.751	115.866	88.20299999999999	115.14	112.675	96.09	114.916	71.555	74.931	119.178	138.079	69.862	64.762	Prrc2a
NM_010818	NM_010818	chr16	45382135	45409053	-	2339.0	1	Cd200|Mox2|OX2|-|16 A1|16 29.53 cM|protein-coding	110.42200000000001	88.82600000000001	82.865	140.474	19.980999999999998	83.279	75.771	52.893	72.1	32.436	34.042	107.083	98.1	12.814	24.554000000000002	Cd200
NM_010552	NM_010552	chr1	20730905	20734496	+	1166.0	1	Il17a|Ctla-8|Ctla8|IL-17|IL-17A|Il17|-|1|1 A|protein-coding	89.315	11.536	4.455	194.78099999999998	11.350999999999999	52.983000000000004	36.255	2.656	33.739000000000004	0.055999999999999994	0.85	91.15700000000001	85.223	0.802	1.484	Il17a
NM_008948	NM_008948	chr2	91054016	91059438	+	1621.0	1	Psmc3|TBP-1|RP23-263H8.1|2 E1|2 50.44 cM|protein-coding	145.579	155.036	128.67700000000002	159.12	69.911	87.03	85.429	75.193	79.92699999999999	38.769	47.193000000000005	95.619	111.523	25.985	33.935	Psmc3
NM_138606	NM_138606	chrX	7878306	7883432	+	2033.0	1	Pim2|DXCch3|Pim-2|RP23-443E19.2|X A1.1|X 3.55 cM|protein-coding	76.354	54.581	66.911	90.15700000000001	58.235	80.891	73.113	51.405	74.321	32.738	42.97	91.852	108.105	24.52	24.991999999999997	Pim2
NM_013716	NM_013716	chr11	55469752	55500887	+	2671.0	1	G3bp1|AI849976|B430204O07|C87777|G3bp|mKIAA4115|RP23-336J1.4|11 B1.3|11|protein-coding	126.539	116.95100000000001	81.95200000000001	136.08	37.725	79.465	71.0	60.52	74.94	23.845	35.472	85.807	103.81700000000001	19.27	25.424	G3bp1
NM_001003913	NM_001003913	chr10	127296221	127311786	-	2916.0	1	Mars|Metrs|Mtrns|-|10 D3|10|protein-coding	120.133	120.40899999999999	98.08200000000001	116.779	30.584	71.436	68.55	54.277	69.531	23.584	30.4	81.077	90.125	14.338	14.729000000000001	Mars
NM_133953	NM_133953	chr8	110810492	110846803	-	4271.0	1	Sf3b3|1810061H24Rik|5730409A01Rik|AA409318|D8Ertd633e|RSE1|SAP130|mKIAA0017|-|8 E1|8 57.73 cM|protein-coding	131.974	102.971	82.459	118.46600000000001	43.275	94.149	81.219	59.96	81.479	28.269000000000002	38.47	88.068	100.04700000000001	19.273	27.159000000000002	Sf3b3
NM_010123	NM_010123	chr19	60761116	60790693	-	5152.0	1	Eif3a|A830012B05Rik|Csma|Eif3|Eif3s10|mKIAA0139|-|19|19 D|protein-coding	156.414	136.363	112.52799999999999	153.154	57.028	112.78399999999999	99.859	86.042	96.421	48.893	53.659	113.78200000000001	115.194	36.719	42.536	Eif3a
NM_007720	NM_007720	chr9	120092133	120094906	+	1152.0	1	Ccr8|C-C|C-C CKR-8|CC-CKR-8|CCR-8|CKR-8|Cmkbr8|mCCR8|-|9 F4|9|protein-coding	51.583999999999996	159.156	99.195	85.935	9.065	61.684	76.167	87.54	79.845	22.217	31.589000000000002	83.585	72.611	4.706	6.435	Ccr8
NM_028659	NM_028659	chr7	28971372	28981888	-	838.0	1	Eif3k|1200009C21Rik|Eif3s12|-|7 A3-B1|7|protein-coding	234.294	201.375	188.43900000000002	222.429	112.406	124.738	122.43799999999999	119.75299999999999	125.947	75.071	74.84100000000001	145.865	150.29399999999998	71.60600000000001	77.498	Eif3k
NM_025380	NM_025380	chr13	38645691	38659028	-	1033.0	1	Eef1e1|1110003A02Rik|-|13|13 A5|protein-coding	136.921	120.516	67.268	147.35399999999998	23.823	77.381	65.413	42.851000000000006	62.536	14.122	20.11	81.252	84.38799999999999	8.626	9.713	Eef1e1
NM_197982	NM_197982	chr8	83715177	83723351	+	1646.0	1	Ddx39|2610307C23Rik|BAT1|DDXL|Ddx39a|URH49|-|8 C2|8|protein-coding	124.094	111.581	84.30799999999999	141.184	40.989	82.46600000000001	72.16199999999999	52.332	68.021	21.563000000000002	29.91	84.074	99.19	15.482999999999999	19.968	Ddx39
NM_008433	NM_008433	chr7	24370263	24385212	+	1941.0	1	Kcnn4|IK1|IKCA1|KCA4|KCa3.1|SK4|SKCas|mIKCa1|-|7 A3|7|protein-coding	90.228	75.17399999999999	67.09100000000001	98.711	54.203	65.718	60.492	42.275	58.163000000000004	19.660999999999998	24.980999999999998	78.719	103.024	22.247	16.424	Kcnn4
NM_008950	NM_008950	chr11	106256185	106263112	+	1264.0	1	Psmc5|mSUG1|RP23-418O11.3|11 E1|11|protein-coding	162.227	145.678	117.1	162.929	45.931999999999995	87.74600000000001	70.273	70.096	74.081	23.855	32.83	90.78200000000001	107.521	20.705	25.924	Psmc5
NM_008946	NM_008946	chr11	70525357	70527858	+	1028.0	1	Psmb6|Lmp19|Mpnd|RP23-122P1.4|11 B3|11 42.99 cM|protein-coding	172.768	188.94400000000002	146.609	174.395	64.876	84.64200000000001	85.62799999999999	74.27600000000001	79.557	31.041	45.865	89.428	119.36	28.186	35.77	Psmb6
NM_025899	NM_025899	chr7	120635189	120659523	+	1866.0	1	Uqcrc2|1500004O06Rik|-|7 F2|7|protein-coding	147.351	147.808	131.18	146.225	59.623000000000005	105.975	99.009	85.573	105.161	39.681	59.967	105.51299999999999	109.264	28.584	35.969	Uqcrc2
NM_007527	NM_007527	chr7	45461695	45466898	-	861.0	1	Bax|-|-|7 B5|7 29.32 cM|protein-coding	187.928	145.279	116.19	176.16099999999997	91.51	112.84899999999999	96.175	86.803	103.164	47.803000000000004	48.196999999999996	122.316	140.561	56.883	63.028	Bax
NM_009831	NM_009831	chr11	40748552	40755286	-	3480.0	1	Ccng1|AI314029|RP23-382C18.1|11|11 B1.1|protein-coding	100.54299999999999	92.473	64.792	101.736	31.421	106.348	82.51899999999999	55.976000000000006	86.27	33.161	33.394	104.166	93.478	21.218000000000004	23.816999999999997	Ccng1
NM_015751	NM_015751	chr8	79683442	79711740	-	3793.0	1	Abce1|C79080|Oabp|RLI|RNS41|Rnaseli|-|8 C|8|protein-coding	124.49700000000001	109.271	75.738	114.63	25.039	96.945	86.40799999999999	58.685	84.446	25.531	37.671	96.557	89.71700000000001	15.294	19.324	Abce1
NM_026438	NM_026438	chr10	61648621	61674165	+	1279.0	1	Ppa1|2010317E03Rik|Pyp|-|10 B4|10 32.25 cM|protein-coding	118.089	93.48100000000001	56.343999999999994	124.40799999999999	17.988	81.683	63.493	41.652	68.234	11.812999999999999	17.986	82.78200000000001	80.843	5.992000000000001	7.497000000000001	Ppa1
NM_138659	NM_138659	chr11	75486777	75509447	+	7437.0	1	Prpf8|AU019467|D11Bwg0410e|DBF3/PRP8|Prp8|Sfprp8l|RP23-384C18.4|11 B5|11 45.92 cM|protein-coding	118.61200000000001	105.73700000000001	93.584	114.221	52.165	111.897	106.57	89.432	106.65700000000001	55.806000000000004	61.018	112.24600000000001	119.065	39.832	44.732	Prpf8
NM_011192	NM_011192	chr11	101316251	101323530	+	2606.0	1	Psme3|AA410043|AU020960|Ki|PA28gamma|REGgamma|pa28g|RP23-281C18.14-001|11 D|11 64.67 cM|protein-coding	120.851	99.04	66.59100000000001	137.783	50.528999999999996	99.43299999999999	89.76799999999999	61.544	85.529	32.762	44.937	108.212	112.26799999999999	35.077	33.019	Psme3
NM_001110145	NM_001110145	chr2	69861562	69871846	+	2047.0	1	Ssb|SS-B|RP23-273G23.1|2 C2|2 40.95 cM|protein-coding	160.732	155.493	128.012	179.66299999999998	67.535	119.728	107.943	75.97800000000001	109.06200000000001	50.68	61.979	115.921	112.723	36.894	40.684	Ssb
NM_007648	NM_007648	chr9	44998743	45009590	-	1426.0	1	Cd3e|AI504783|CD3|CD3epsilon|T3e|-|9 A5.2|9 24.84 cM|protein-coding	97.305	100.47	116.21600000000001	115.257	150.458	155.881	155.543	139.268	161.349	122.711	138.688	179.13099999999997	189.748	122.91799999999999	94.758	Cd3e
NM_011638	NM_011638	chr16	32608896	32632794	+	4893.0	1	Tfrc|2610028K12Rik|AI195355|AI426448|AU015758|CD71|E430033M20Rik|Mtvr-1|Mtvr1|TFR|TFR1|TR|Trfr|p90|-|16 B3|16 23.06 cM|protein-coding	84.449	73.524	39.269	100.40899999999999	15.574000000000002	88.559	74.161	43.306000000000004	75.998	17.941	26.395	95.829	89.73	14.034	15.535	Tfrc
NM_025437	NM_025437	chrX	159372195	159385699	+	917.0	1	Eif1ax|1500010B24Rik|AI426898|Eif1ay|RP23-52L10.2|X F4|X|protein-coding	163.29	164.325	128.89700000000002	159.651	54.293	98.11399999999999	90.866	77.281	98.95200000000001	42.824	50.498000000000005	97.625	100.92	18.551	26.248	Eif1ax
NM_001277113	NM_001277113	chr4	152324436	152334082	+	2147.0	1	Rpl22|2700038K18Rik|RP23-421E12.9|4 E2|4|protein-coding	178.679	183.269	150.91	169.174	81.992	93.07700000000001	87.255	78.929	83.65899999999999	35.671	43.113	94.49799999999999	116.307	28.935	32.596	Rpl22
NM_009852	NM_009852	chr19	10789339	10830058	-	3019.0	1	Cd6|-|-|19 A|19 7.16 cM|protein-coding	92.505	56.132	53.864	109.791	27.862	72.457	64.187	39.977	63.044	19.328	23.287	87.838	102.117	11.703	15.11	Cd6
NM_001136085	NM_001136085	chrX	20662896	20683179	+	4045.0	1	Uba1|A1S9|Sbx|Ube-1|Ube1x|RP23-394F6.2|X A2-A3|X 16.15 cM|protein-coding	169.00900000000001	161.472	133.203	175.095	85.62	131.059	125.60600000000001	104.874	128.056	72.561	83.37100000000001	136.504	146.58	57.567	66.11399999999999	Uba1
NM_007839	NM_007839	chr5	52150203	52190546	-	3026.0	1	Dhx15|DBP1|DEAH9|Ddx15|HRH2|mDEAH9|-|5 C1|5|protein-coding	162.64600000000002	157.33	128.428	161.201	74.081	136.336	126.584	102.74700000000001	127.02799999999999	58.946999999999996	77.203	134.113	129.506	46.95	56.92100000000001	Dhx15
NM_025327	NM_025327	chr3	89246438	89249722	+	509.0	1	Krtcap2|0610010I12Rik|Kcp2|-|3|3 F2|protein-coding	185.00400000000002	194.055	176.614	171.423	95.375	101.428	94.507	88.071	108.81299999999999	41.966	56.3	103.553	119.37799999999999	37.338	40.005	Krtcap2
NM_029219	NM_029219	chr4	129058271	129084526	+	2521.0	1	Rnf19b|4930534K13Rik|4930555L03Rik|Ibrdc3|RP23-284L6.1|4|4 D2.3|protein-coding	92.925	86.62299999999999	66.808	105.811	48.376999999999995	112.219	94.23100000000001	72.328	96.15299999999999	41.797	44.229	130.145	126.351	41.228	45.621	Rnf19b
NM_053086	NM_053086	chr19	46075847	46085543	+	3647.0	1	Nolc1|NOPP130|NOPP140|P130|-|19 C3|19|protein-coding	147.97	105.771	68.722	131.602	24.311999999999998	80.355	69.521	42.047	66.85	15.607000000000001	21.357	81.218	95.15	10.542	12.969000000000001	Nolc1
NM_025624	NM_025624	chr5	147860628	147875778	+	726.0	1	Pomp|2510048O06Rik|Ump1|-|5 G3|5|protein-coding	171.845	141.703	107.262	181.895	79.472	112.34	100.198	82.39399999999999	100.53	40.186	42.135	133.691	127.70200000000001	38.88	51.875	Pomp
NM_001113391	NM_001113391	chr1	165788681	165862112	+	1676.0	1	Cd247|4930549J05Rik|A430104F18Rik|AW552088|Cd3|Cd3-eta|Cd3-zeta|Cd3h|Cd3z|Cd3zeta|T3z|Tcrk|Tcrz|RP23-132G24.1|1 G-H|1 73.14 cM|protein-coding	114.146	142.111	154.153	163.815	104.87899999999999	98.26	99.853	91.74700000000001	101.73299999999999	63.802	79.545	127.815	145.58700000000002	50.303000000000004	42.553000000000004	Cd247
NM_008248	NM_008248	chr11	54866438	54870496	+	571.0	1	Hint1|AA673479|Hint|Ipk1|PKCI-1|PRKCNH1|RP24-84L18.1|11 B1.3|11|protein-coding	249.68599999999998	226.386	206.43	215.2	123.137	146.594	126.573	135.325	140.05700000000002	67.062	79.62100000000001	141.966	136.89	51.288999999999994	62.84	Hint1
NM_001025245	NM_001025245	chr18	82475123	82558703	+	4814.0	1	Mbp|C76307|Hmbpr|R75289|golli-mbp|mld|shi|-|18 E2-E4|18 55.84 cM|protein-coding	191.859	200.895	178.618	138.892	51.184	101.85700000000001	113.32700000000001	115.765	116.01899999999999	54.43600000000001	70.012	94.11	111.264	34.184	33.644	Mbp
NM_016876	NM_016876	chr9	20894349	20898590	-	1055.0	1	Eif3g|44kDa|D0Jmb4|Eif3s4|TU-189B2|eIF3-p44|p44|-|9 A3|9|protein-coding	205.09	166.423	134.134	190.446	87.12899999999999	94.95700000000001	87.404	72.775	87.726	36.79	38.535	100.65	118.53200000000001	33.134	34.058	Eif3g
NM_015735	NM_015735	chr19	10605625	10629821	+	4134.0	1	Ddb1|127kDa|AA408517|p127-Ddb1|-|19 centromere|19 6.66 cM|protein-coding	126.92	118.15799999999999	95.916	133.86700000000002	53.513000000000005	112.28299999999999	99.425	78.664	97.62700000000001	44.975	53.5	114.527	124.273	33.628	38.688	Ddb1
NM_018807	NM_018807	chr2	153227769	153241358	-	5402.0	1	Plagl2|AU018672|AW552839|mKIAA0198|RP23-192G18.4|2|2 H2|protein-coding	78.075	85.115	73.34899999999999	89.34200000000001	20.557	87.087	88.073	73.175	88.23200000000001	30.79	39.327	95.51299999999999	96.95700000000001	17.105999999999998	18.042	Plagl2
NM_026631	NM_026631	chr11	51619773	51623714	+	998.0	1	Nhp2|2410130M07Rik|D11Ertd175e|Nola2|RP23-79E13.8|11 B1.3|11 31.14 cM|protein-coding	183.798	143.399	99.912	181.375	37.454	77.305	70.439	50.63	71.523	22.839000000000002	18.977	86.876	98.728	10.739	16.194000000000003	Nhp2
NM_011588	NM_011588	chr7	13024152	13031032	+	3223.0	1	Trim28|AA408787|KAP-1|KRIP-1|MommeD9|Tif1b|Tif1beta|-|7|7 A2|protein-coding	150.026	126.28299999999999	106.759	141.909	67.163	104.389	95.052	78.21300000000001	99.22	40.149	53.04	111.486	124.906	32.209	37.586	Trim28
NM_010219	NM_010219	chr6	128430107	128438631	-	2155.0	1	Fkbp4|59kDa|AL022792|AW208983|FKBP-4|FKBP-52|FKBP52|FKPB52|p59|-|6 F3|6|protein-coding	184.142	152.33100000000002	103.225	184.87599999999998	56.809	86.272	81.411	58.585	77.51100000000001	21.214000000000002	33.681	93.695	110.709	20.009	23.21	Fkbp4
NM_001033238	NM_001033238	chr16	52031549	52208046	+	6302.0	1	Cblb|AI429560|AI851073|Cbl-b|-|16 B5|16|protein-coding	88.09200000000001	77.435	58.402	95.176	40.895	109.167	99.111	67.627	97.685	43.701	48.155	112.309	121.145	35.585	37.958	Cblb
NM_029735	NM_029735	chr1	185363095	185428355	+	4816.0	1	Eprs|2410081F06Rik|3010002K18Rik|C79379|Qprs|-|1|1 H4-H6|protein-coding	139.77700000000002	136.589	102.34100000000001	132.112	27.428	97.431	86.70200000000001	70.476	84.984	28.680999999999997	37.297	97.978	100.25	18.683	17.149	Eprs
NM_177643	NM_177643	chr1	136624901	136630391	+	5267.0	1	Zfp281|Znf281|-|1 E4|1|protein-coding	60.748999999999995	72.437	79.244	61.937	28.721	115.3	110.499	99.58200000000001	111.573	48.295	61.317	119.56200000000001	102.682	23.660999999999998	26.226999999999997	Zfp281
NM_017480	NM_017480	chr1	60977914	61000321	+	3248.0	1	Icos|AILIM|CCLP|CRP-1|H4|Ly115|CH29-120A16.4|1 C2|1 30.6 cM|protein-coding	79.235	72.286	26.758000000000003	75.575	25.77	103.728	82.492	42.38	80.369	15.88	19.05	108.48100000000001	89.45700000000001	12.758	15.856	Icos
NM_019913	NM_019913	chr15	77915051	77928994	-	1277.0	1	Txn2|2510006J11Rik|AI788873|Trx2|AL583886.2|15 E1|15|protein-coding	161.06799999999998	128.657	93.87299999999999	137.136	58.784	102.57	94.339	72.744	92.094	33.25	44.532	110.375	119.833	30.155	33.361999999999995	Txn2
NM_001077529	NM_001077529	chr11	93949814	93955783	-	731.0	1	Nme2|NM23-H2|NM23B|nm23-M2|RP23-378I13.2|11|11 C|protein-coding	138.737	132.316	89.79899999999999	164.34099999999998	49.718999999999994	72.292	75.133	47.269	67.695	15.501	22.991999999999997	78.487	110.219	14.405999999999999	19.743	Nme2
NM_001077184	NM_001077184	chr10	79704358	79711979	+	1395.0	1	Bsg|AI115436|AI325119|CD147|EMMPRIN|HT-7|-|10 C1|10 39.72 cM|protein-coding	163.726	148.879	120.264	185.572	82.941	112.523	100.584	80.01	104.86	43.321999999999996	60.667	121.40100000000001	145.153	53.467	50.062	Bsg
NM_009382	NM_009382	chr9	44043384	44048579	+	1729.0	1	Thy1|CD90|T25|Thy-1|Thy-1.2|Thy1.1|Thy1.2|-|9 A5.1|9 24.52 cM|protein-coding	128.196	162.21200000000002	112.95200000000001	138.942	121.041	133.66299999999998	140.088	99.31299999999999	141.216	69.116	84.906	123.304	135.138	65.086	60.401	Thy1
NM_010735	NM_010735	chr17	35203165	35205351	-	1377.0	1	Lta|LT|LT-[a]|LT-alpha|LT[a]|LTalpha|Ltx|TNF-beta|TNFSF1|Tnfb|Tnfsf1b|hlb382|-|17 B1|17 18.59 cM|protein-coding	108.01100000000001	59.098	27.029	134.629	9.461	64.874	54.911	22.230999999999998	59.016999999999996	4.115	8.533	72.497	94.91799999999999	2.9410000000000003	4.199	Lta
NM_001110500	NM_001110500	chr11	50293957	50325673	-	4236.0	1	Canx|1110069N15Rik|AI988026|Cnx|D11Ertd153e|RP23-237P10.2|11 B1.3|11 30.46 cM|protein-coding	145.332	145.475	108.71700000000001	154.33	64.087	147.389	133.65200000000002	109.54799999999999	132.351	66.2	74.719	148.142	139.826	47.18899999999999	62.211999999999996	Canx
NM_021303	NM_021303	chr4	156236010	156247616	+	2764.0	1	Noc2l|AA410003|AF155546|NIR|-|4 E2|4|protein-coding	157.488	119.93799999999999	89.818	148.939	50.951	94.819	81.762	63.576	81.314	31.454	29.453000000000003	94.99600000000001	107.915	21.686999999999998	21.421999999999997	Noc2l
NM_001271431	NM_001271431	chr2	93419102	93462950	-	1614.0	1	Cd82|AA682076|AL023070|C33|IA4|Kai1|Tspan27|RP23-70K10.2|2 E1|2 51.62 cM|protein-coding	214.265	376.6	498.798	245.25599999999997	127.583	134.705	201.608	256.33799999999997	212.50099999999998	138.80100000000002	195.98	152.19799999999998	184.668	86.82700000000001	87.089	Cd82
NM_013652	NM_013652	chr11	83662584	83664683	+	655.0	1	Ccl4|AT744.1|Act-2|MIP-1B|Mip1b|Scya4|RP23-320E6.8|11 C|11 51.09 cM|protein-coding	203.013	13.189	2.997	154.395	6.393	92.90100000000001	62.385	11.819	60.455	15.908	10.446	103.56299999999999	110.28	21.024	16.525	Ccl4
NM_013559	NM_013559	chr5	149616845	149636315	-	3458.0	1	Hsph1|105kDa|AI790491|Hsp105|Hsp110|hsp-E7I|-|5 G3|5 89.18 cM|protein-coding	153.61	126.074	87.913	145.754	18.793	92.48	77.197	53.727	78.242	18.889	25.921999999999997	93.486	99.37899999999999	8.793	12.749	Hsph1
NM_009403	NM_009403	chr4	63832824	63861284	-	2222.0	1	Tnfsf8|CD153|CD30LG|Cd30l|-|4 C1|4 34.06 cM|protein-coding	102.469	193.292	193.636	119.675	33.691	93.538	122.381	128.428	121.25200000000001	52.11	81.553	100.26100000000001	99.18700000000001	15.984000000000002	17.327	Tnfsf8
NM_011149	NM_011149	chr9	66060169	66066629	+	953.0	1	Ppib|AA408962|AA553318|AI844835|Cphn-2|Cphn2|CyP-20b|-|9 C|9|protein-coding	213.18900000000002	224.63400000000001	194.96900000000002	221.824	162.476	134.702	140.13	133.142	137.852	77.014	82.042	151.075	171.612	76.5	82.875	Ppib
NM_007451	NM_007451	chrX	36795652	36798806	+	1232.0	1	Slc25a5|Ant2|RP23-286I5.1|X A4|X 21.2 cM|protein-coding	170.25099999999998	143.602	109.02	166.838	79.186	118.55799999999999	100.72399999999999	82.598	106.00299999999999	42.129	59.519	130.013	139.334	38.54	42.042	Slc25a5
NM_007650	NM_007650	chr19	10718143	10738974	-	2056.0	1	Cd5|Ly-1|Ly-12|Ly-A|Lyt-1|-|19 A|19 7.16 cM|protein-coding	114.594	43.802	52.397	109.63799999999999	42.949	92.852	74.582	39.329	73.565	26.67	33.639	102.546	116.012	15.972000000000001	14.952	Cd5
NM_025587	NM_025587	chr2	180257379	180258444	+	383.0	1	Rps21|1810049N11Rik|2410030A14Rik|RP23-16P3.4|2 H4|2|protein-coding	308.236	305.994	281.703	311.777	304.527	130.707	117.863	129.172	118.796	65.123	92.167	148.59799999999998	214.456	86.715	89.428	Rps21
NM_001081005	NM_001081005	chr2	167062934	167065862	+	731.0	1	1500012F01Rik|Zfas1|-|2 H3|2|protein-coding	216.304	206.24400000000003	160.911	177.19099999999997	61.318000000000005	97.12899999999999	83.367	64.116	80.51100000000001	26.281	34.385999999999996	95.742	123.154	19.605	24.746	1500012F01Rik
NM_133916	NM_133916	chr5	140419305	140443358	+	2945.0	1	Eif3b|AL033316|AL033334|AL033369|AW208965|D5Wsu45e|EIF3-ETA|EIF3-P110|EIF3-P116|Eif3s9|PRT1|-|5 G2|5 78.97 cM|protein-coding	170.975	141.55200000000002	105.921	175.62099999999998	56.387	101.755	94.859	71.76	91.555	34.784	41.262	112.156	122.561	27.4	29.721999999999998	Eif3b
NM_019553	NM_019553	chr10	62580247	62602298	-	4726.0	1	Ddx21|AI255159|AL022742|D10Ertd645e|D10Wsu42e|-|10 B4-B5.1|10 32.43 cM|protein-coding	161.069	123.90700000000001	83.382	162.12	35.891999999999996	104.87100000000001	85.329	58.312	87.49	25.906	33.99	111.65899999999999	113.762	16.27	21.522	Ddx21
NM_017472	NM_017472	chr10	42502054	42535369	+	1371.0	1	Snx3|SDP3|-|10 B2|10 22.89 cM|protein-coding	200.55200000000002	228.479	166.10299999999998	190.05900000000003	88.428	137.34	131.773	124.78399999999999	134.484	64.078	71.421	144.43200000000002	145.531	59.402	62.18600000000001	Snx3
NM_013683	NM_013683	chr17	34187556	34197225	+	2937.0	1	Tap1|ABC17|APT1|Abcb2|Ham-1|Ham1|MTP1|PSF1|RING4|TAP|Tap-1|Y3|-|17 B1|17 17.98 cM|protein-coding	119.245	106.131	86.12899999999999	147.855	80.973	112.40100000000001	95.726	62.994	95.523	42.64	42.117	134.004	147.566	45.763000000000005	48.111000000000004	Tap1
NM_033561	NM_033561	chr5	134619876	134639328	-	2400.0	1	Eif4h|AU018978|D5Ertd355e|E430026L18Rik|Ef4h|Wbscr1|Wscr1|mKIAA0038|-|5 G2|5 74.71 cM|protein-coding	202.642	195.523	162.489	193.643	99.28399999999999	135.763	130.037	115.795	133.547	65.476	77.529	138.779	160.884	54.833999999999996	67.464	Eif4h
NM_145941	NM_145941	chr16	20672749	20692883	+	5382.0	1	Eif4g1|E030015G23Rik|eIF4GI|-|16 B1|16|protein-coding	162.173	134.31799999999998	109.86200000000001	158.256	73.313	133.088	120.396	93.061	120.69200000000001	60.816	65.267	131.202	144.827	45.917	52.776	Eif4g1
NM_001136081	NM_001136081	chr2	85037451	85047114	+	2710.0	1	Ssrp1|C81323|Hmg1-rs1|Hmgi-rs3|Hmgox|T160|RP23-232L15.5|2 D|2 49.45 cM|protein-coding	178.688	158.907	116.374	169.799	54.79	103.708	97.272	74.503	95.521	39.483000000000004	47.731	113.34899999999999	126.81	28.58	29.107	Ssrp1
