"ID"	"adj.P.Val"	"P.Value"	"t"	"B"	"logFC"	"Gene.symbol"	"Gene.title"
"A_24_P586523"	"0.979"	"0.101398"	"-2.00"	"-4.34"	"-2.50e-01"	"ALG1"	"ALG1, chitobiosyldiphosphodolichol beta-mannosyltransferase"
"A_23_P92899"	"0.979"	"0.101419"	"2.00"	"-4.34"	"2.19e-01"	"C1QTNF2"	"C1q and tumor necrosis factor related protein 2"
"A_24_P178175"	"0.979"	"0.101462"	"2.00"	"-4.34"	"2.69e-01"	""	""
"A_24_P267748"	"0.979"	"0.101547"	"-2.00"	"-4.34"	"-3.71e-01"	"NDOR1"	"NADPH dependent diflavin oxidoreductase 1"
"A_23_P70148"	"0.979"	"0.101555"	"-2.00"	"-4.34"	"-3.68e-01"	"NNT"	"nicotinamide nucleotide transhydrogenase"
"A_24_P257336"	"0.979"	"0.101635"	"2.00"	"-4.34"	"2.99e-01"	"POPDC2"	"popeye domain containing 2"
"A_24_P925586"	"0.979"	"0.101662"	"2.00"	"-4.34"	"4.29e-01"	"SSSCA1-AS1"	"SSSCA1 antisense RNA 1 (head to head)"
"A_24_P7085"	"0.979"	"0.10167"	"-2.00"	"-4.34"	"-4.46e-01"	"RPL29P2"	"ribosomal protein L29 pseudogene 2"
"A_23_P17134"	"0.979"	"0.101695"	"2.00"	"-4.34"	"9.62e-01"	"MAL"	"mal, T-cell differentiation protein"
"A_23_P359173"	"0.979"	"0.101833"	"1.99"	"-4.34"	"2.77e-01"	"VPS13B"	"vacuolar protein sorting 13 homolog B (yeast)"
"A_24_P287043"	"0.979"	"0.101847"	"-1.99"	"-4.34"	"-7.06e-01"	"IFITM2"	"interferon induced transmembrane protein 2"
"A_23_P137470"	"0.979"	"0.101882"	"1.99"	"-4.34"	"3.45e-01"	"SIPA1L2"	"signal-induced proliferation-associated 1 like 2"
"A_23_P401380"	"0.979"	"0.101912"	"1.99"	"-4.34"	"4.19e-01"	"DIP2B"	"DIP2 disco-interacting protein 2 homolog B (Drosophila)"
"A_23_P60296"	"0.979"	"0.101919"	"-1.99"	"-4.34"	"-3.68e-01"	"OSTF1"	"osteoclast stimulating factor 1"
"A_24_P681016"	"0.979"	"0.101933"	"1.99"	"-4.34"	"2.74e-01"	""	""
"A_23_P54540"	"0.979"	"0.101973"	"-1.99"	"-4.34"	"-5.71e-01"	"EIF2AK4"	"eukaryotic translation initiation factor 2 alpha kinase 4"
"A_24_P229848"	"0.979"	"0.102017"	"-1.99"	"-4.34"	"-4.42e-01"	""	""
"A_23_P25525"	"0.979"	"0.102039"	"-1.99"	"-4.34"	"-4.20e-01"	"GTF3A"	"general transcription factor IIIA"
"A_32_P186027"	"0.979"	"0.102048"	"1.99"	"-4.34"	"2.18e-01"	"ANP32A"	"acidic (leucine-rich) nuclear phosphoprotein 32 family, member A"
"A_32_P24965"	"0.979"	"0.102148"	"1.99"	"-4.34"	"4.40e-01"	"ZFYVE26"	"zinc finger, FYVE domain containing 26"
"A_23_P363316"	"0.979"	"0.102191"	"1.99"	"-4.34"	"6.06e-01"	"HOXB5"	"homeobox B5"
"A_24_P629900"	"0.979"	"0.10221"	"1.99"	"-4.34"	"3.51e-01"	""	""
"A_24_P270033"	"0.979"	"0.102226"	"1.99"	"-4.34"	"7.51e-01"	"MPZL3"	"myelin protein zero-like 3"
"A_23_P256413"	"0.979"	"0.102265"	"-1.99"	"-4.34"	"-5.67e-01"	"CMTM7"	"CKLF-like MARVEL transmembrane domain containing 7"
"A_23_P56938"	"0.979"	"0.102279"	"1.99"	"-4.34"	"5.06e-01"	"REL"	"v-rel avian reticuloendotheliosis viral oncogene homolog"
"A_32_P29954"	"0.979"	"0.102289"	"-1.99"	"-4.34"	"-2.34e-01"	"ADARB2-AS1"	"ADARB2 antisense RNA 1"
"A_23_P18798"	"0.979"	"0.10229"	"-1.99"	"-4.34"	"-2.53e-01"	"PCDHB9"	"protocadherin beta 9"
"A_24_P186779"	"0.979"	"0.102292"	"-1.99"	"-4.34"	"-4.76e-01"	""	""
"A_24_P161068"	"0.979"	"0.102383"	"-1.99"	"-4.34"	"-3.23e-01"	""	""
"A_24_P734406"	"0.979"	"0.102407"	"1.99"	"-4.34"	"4.14e-01"	""	""
"A_23_P134384"	"0.979"	"0.102413"	"1.99"	"-4.34"	"2.67e-01"	"PHF14"	"PHD finger protein 14"
"A_23_P128166"	"0.979"	"0.102438"	"1.99"	"-4.34"	"2.61e-01"	"RAB21"	"RAB21, member RAS oncogene family"
"A_24_P884376"	"0.979"	"0.102452"	"1.99"	"-4.34"	"2.70e-01"	""	""
"A_24_P254437"	"0.979"	"0.102457"	"1.99"	"-4.34"	"4.71e-01"	""	""
"A_23_P327361"	"0.979"	"0.102524"	"-1.99"	"-4.34"	"-3.50e-01"	"DMXL2"	"Dmx-like 2"
"A_24_P324449"	"0.979"	"0.102544"	"-1.99"	"-4.34"	"-3.99e-01"	"ABCB10"	"ATP-binding cassette, sub-family B (MDR/TAP), member 10"
"A_24_P565556"	"0.979"	"0.102563"	"-1.99"	"-4.34"	"-3.19e-01"	"ALG1"	"ALG1, chitobiosyldiphosphodolichol beta-mannosyltransferase"
"A_24_P97526"	"0.979"	"0.102607"	"1.99"	"-4.34"	"2.59e-01"	"CMTM6"	"CKLF-like MARVEL transmembrane domain containing 6"
"A_24_P178663"	"0.979"	"0.102768"	"-1.99"	"-4.34"	"-5.53e-01"	""	""
"A_23_P99540"	"0.979"	"0.102831"	"1.99"	"-4.34"	"8.53e-01"	"ZFP36L1"	"ZFP36 ring finger protein-like 1"
"A_24_P307854"	"0.979"	"0.102875"	"-1.99"	"-4.34"	"-3.59e-01"	"FBXL18"	"F-box and leucine-rich repeat protein 18"
"A_32_P97547"	"0.979"	"0.102893"	"1.99"	"-4.34"	"3.18e-01"	""	""
"A_24_P19410"	"0.979"	"0.102896"	"1.99"	"-4.34"	"6.48e-01"	"CBX7"	"chromobox homolog 7"
"A_24_P25252"	"0.979"	"0.102979"	"1.99"	"-4.34"	"7.56e-01"	"ANKRD12"	"ankyrin repeat domain 12"
"A_23_P210176"	"0.979"	"0.10298"	"-1.99"	"-4.34"	"-5.04e-01"	"ITGA6"	"integrin, alpha 6"
"A_24_P755505"	"0.979"	"0.102983"	"-1.99"	"-4.34"	"-2.87e-01"	""	""
"A_32_P18630"	"0.979"	"0.102989"	"1.99"	"-4.34"	"2.74e-01"	""	""
"A_23_P154986"	"0.979"	"0.103005"	"1.99"	"-4.34"	"3.55e-01"	""	""
"A_23_P100292"	"0.979"	"0.103167"	"1.98"	"-4.34"	"3.92e-01"	"ZNF598"	"zinc finger protein 598"
"A_23_P206661"	"0.979"	"0.103171"	"-1.98"	"-4.34"	"-3.96e-01"	"NQO1"	"NAD(P)H dehydrogenase, quinone 1"
"A_24_P941459"	"0.979"	"0.103197"	"1.98"	"-4.34"	"4.00e-01"	""	""
"A_24_P55092"	"0.979"	"0.103211"	"-1.98"	"-4.34"	"-2.39e-01"	"CD109"	"CD109 molecule"
"A_23_P14340"	"0.979"	"0.103235"	"-1.98"	"-4.34"	"-3.65e-01"	"KIAA0391"	"KIAA0391"
"A_23_P315571"	"0.979"	"0.103237"	"1.98"	"-4.34"	"2.32e-01"	"RFTN1"	"raftlin, lipid raft linker 1"
"A_24_P355568"	"0.979"	"0.103309"	"-1.98"	"-4.34"	"-2.94e-01"	"HBE1"	"hemoglobin, epsilon 1"
"A_24_P402836"	"0.979"	"0.103354"	"1.98"	"-4.34"	"2.11e-01"	"ZNF141"	"zinc finger protein 141"
"A_23_P145895"	"0.979"	"0.103361"	"-1.98"	"-4.34"	"-3.13e-01"	"TP53TG1"	"TP53 target 1 (non-protein coding)"
"A_23_P361085"	"0.979"	"0.103374"	"-1.98"	"-4.34"	"-6.02e-01"	"SNHG5"	"small nucleolar RNA host gene 5 (non-protein coding)"
"A_32_P6778"	"0.979"	"0.103397"	"-1.98"	"-4.34"	"-2.00e-01"	""	""
"A_23_P104282"	"0.979"	"0.103397"	"-1.98"	"-4.34"	"-2.91e-01"	"FAM178A"	"family with sequence similarity 178, member A"
"A_24_P335221"	"0.979"	"0.1034"	"-1.98"	"-4.34"	"-4.82e-01"	"RTN3"	"reticulon 3"
"A_24_P781846"	"0.979"	"0.10345"	"1.98"	"-4.34"	"5.39e-01"	"LOC100507217"	"uncharacterized LOC100507217"
"A_24_P177763"	"0.979"	"0.103481"	"1.98"	"-4.34"	"2.35e-01"	"CDADC1"	"cytidine and dCMP deaminase domain containing 1"
"A_23_P371787"	"0.979"	"0.103551"	"1.98"	"-4.34"	"7.89e-01"	"KIAA0247"	"KIAA0247"
"A_32_P54305"	"0.979"	"0.103566"	"1.98"	"-4.34"	"1.94e-01"	"LINC00998"	"long intergenic non-protein coding RNA 998"
"A_23_P132856"	"0.979"	"0.103627"	"-1.98"	"-4.34"	"-1.17"	"NRROS"	"negative regulator of reactive oxygen species"
"A_24_P229616"	"0.979"	"0.10366"	"-1.98"	"-4.34"	"-5.00e-01"	""	""
"A_23_P159544"	"0.979"	"0.103725"	"1.98"	"-4.35"	"3.37e-01"	"ASMTL"	"acetylserotonin O-methyltransferase-like"
"A_23_P202637"	"0.979"	"0.103838"	"-1.98"	"-4.35"	"-3.06e-01"	"PPP6R3"	"protein phosphatase 6, regulatory subunit 3"
"A_24_P917254"	"0.979"	"0.103853"	"1.98"	"-4.35"	"4.60e-01"	""	""
"A_23_P205944"	"0.979"	"0.103868"	"1.98"	"-4.35"	"4.04e-01"	"LINS"	"lines homolog (Drosophila)"
"A_32_P58668"	"0.979"	"0.103923"	"1.98"	"-4.35"	"3.59e-01"	""	""
"A_32_P223616"	"0.979"	"0.10394"	"1.98"	"-4.35"	"2.39e-01"	""	""
"A_24_P58242"	"0.979"	"0.103944"	"-1.98"	"-4.35"	"-2.74e-01"	""	""
"A_23_P300112"	"0.979"	"0.10407"	"1.98"	"-4.35"	"5.06e-01"	""	""
"A_24_P861685"	"0.979"	"0.10408"	"1.98"	"-4.35"	"2.06e-01"	""	""
"A_23_P101253"	"0.979"	"0.104083"	"1.98"	"-4.35"	"2.27e-01"	"ZNF614"	"zinc finger protein 614"
"A_32_P162716"	"0.979"	"0.104096"	"1.98"	"-4.35"	"3.67e-01"	""	""
"A_23_P120902"	"0.979"	"0.104099"	"-1.98"	"-4.35"	"-2.51e-01"	"LGALS2"	"lectin, galactoside-binding, soluble, 2"
"A_24_P80181"	"0.979"	"0.104105"	"1.98"	"-4.35"	"4.33e-01"	"TMEM127"	"transmembrane protein 127"
"A_24_P57047"	"0.979"	"0.104112"	"-1.98"	"-4.35"	"-8.36e-01"	"DLL3"	"delta-like 3 (Drosophila)"
"A_24_P194154"	"0.979"	"0.10417"	"1.98"	"-4.35"	"4.14e-01"	"UPF1"	"UPF1 regulator of nonsense transcripts homolog (yeast)"
"A_23_P87323"	"0.979"	"0.104204"	"-1.98"	"-4.35"	"-2.15e-01"	"COMMD9"	"COMM domain containing 9"
"A_23_P408353"	"0.979"	"0.104215"	"1.98"	"-4.35"	"3.44e-01"	"HLA-A"	"major histocompatibility complex, class I, A"
"A_23_P36345"	"0.979"	"0.104258"	"1.98"	"-4.35"	"5.62e-01"	"STARD10"	"StAR-related lipid transfer (START) domain containing 10"
"A_24_P321369"	"0.979"	"0.1043"	"1.98"	"-4.35"	"2.16e-01"	"SRPR"	"signal recognition particle receptor (docking protein)"
"A_32_P133244"	"0.979"	"0.104302"	"-1.98"	"-4.35"	"-3.22e-01"	"PARN"	"poly(A)-specific ribonuclease"
"A_23_P203743"	"0.979"	"0.104305"	"1.98"	"-4.35"	"5.18e-01"	"GAB2"	"GRB2-associated binding protein 2"
"A_24_P829156"	"0.979"	"0.104334"	"1.98"	"-4.35"	"5.87e-01"	"C5orf56"	"chromosome 5 open reading frame 56"
"A_24_P97931"	"0.979"	"0.104362"	"-1.98"	"-4.35"	"-3.48e-01"	"CSNK2B"	"casein kinase 2, beta polypeptide"
"A_23_P80362"	"0.979"	"0.104373"	"-1.98"	"-4.35"	"-3.57e-01"	"NHP2L1"	"NHP2 non-histone chromosome protein 2-like 1 (S. cerevisiae)"
"A_24_P714750"	"0.979"	"0.104385"	"-1.98"	"-4.35"	"-2.91e-01"	""	""
"A_23_P145153"	"0.979"	"0.104392"	"-1.98"	"-4.35"	"-3.02e-01"	"PDCD2"	"programmed cell death 2"
"A_24_P936393"	"0.979"	"0.104396"	"1.98"	"-4.35"	"4.04e-01"	""	""
"A_24_P79617"	"0.979"	"0.104418"	"-1.98"	"-4.35"	"-2.01e-01"	"KIAA0040"	"KIAA0040"
"A_24_P106166"	"0.979"	"0.10442"	"1.98"	"-4.35"	"3.75e-01"	""	""
"A_23_P166068"	"0.979"	"0.1045"	"-1.97"	"-4.35"	"-2.03e-01"	""	""
"A_24_P194017"	"0.979"	"0.104516"	"-1.97"	"-4.35"	"-2.25e-01"	"NOSIP"	"nitric oxide synthase interacting protein"
"A_24_P225907"	"0.979"	"0.104519"	"1.97"	"-4.35"	"4.07e-01"	"DPH3"	"diphthamide biosynthesis 3"
"A_32_P58425"	"0.979"	"0.104584"	"1.97"	"-4.35"	"3.19e-01"	"PHF13"	"PHD finger protein 13"
"A_23_P201918"	"0.979"	"0.104627"	"-1.97"	"-4.35"	"-2.72e-01"	"ABCB10"	"ATP-binding cassette, sub-family B (MDR/TAP), member 10"
"A_24_P122921"	"0.979"	"0.104628"	"1.97"	"-4.35"	"1.73"	"BCL2L11"	"BCL2-like 11 (apoptosis facilitator)"
"A_24_P153763"	"0.979"	"0.104649"	"-1.97"	"-4.35"	"-2.60e-01"	"LOC101927588"	"uncharacterized LOC101927588"
"A_32_P307211"	"0.979"	"0.104653"	"1.97"	"-4.35"	"2.42e-01"	"GAS5-AS1"	"GAS5 antisense RNA 1"
"A_24_P698141"	"0.979"	"0.104668"	"-1.97"	"-4.35"	"-4.87e-01"	"LOC344967"	"acyl-CoA thioesterase 7 pseudogene"
"A_32_P156006"	"0.979"	"0.104675"	"-1.97"	"-4.35"	"-2.10e-01"	""	""
"A_23_P426279"	"0.979"	"0.104729"	"-1.97"	"-4.35"	"-2.36e-01"	""	""
"A_24_P203814"	"0.979"	"0.104732"	"-1.97"	"-4.35"	"-3.45e-01"	""	""
"A_23_P145569"	"0.979"	"0.104779"	"1.97"	"-4.35"	"2.34e-01"	"SLC22A1"	"solute carrier family 22 (organic cation transporter), member 1"
"A_32_P9931"	"0.979"	"0.104791"	"1.97"	"-4.35"	"5.04e-01"	""	""
"A_32_P52046"	"0.979"	"0.104843"	"1.97"	"-4.35"	"2.35e-01"	""	""
"A_24_P374572"	"0.979"	"0.104847"	"-1.97"	"-4.35"	"-1.98e-01"	"AGBL3"	"ATP/GTP binding protein-like 3"
"A_32_P131797"	"0.979"	"0.104892"	"1.97"	"-4.35"	"2.66e-01"	""	""
"A_23_P215735"	"0.979"	"0.104933"	"-1.97"	"-4.35"	"-6.37e-01"	"ST7"	"suppression of tumorigenicity 7"
"A_23_P127522"	"0.979"	"0.104974"	"-1.97"	"-4.35"	"-3.76e-01"	"HYLS1"	"hydrolethalus syndrome 1"
"A_32_P34941"	"0.979"	"0.105014"	"1.97"	"-4.35"	"4.37e-01"	""	""
"A_23_P410965"	"0.979"	"0.105028"	"1.97"	"-4.35"	"1.40"	"KIAA1522"	"KIAA1522"
"A_23_P26697"	"0.979"	"0.105079"	"-1.97"	"-4.35"	"-3.78e-01"	"TRIM47"	"tripartite motif containing 47"
"A_24_P375911"	"0.979"	"0.105153"	"1.97"	"-4.35"	"2.11e-01"	"SPANXA2-OT1"	"SPANXA2 overlapping transcript 1"
"A_24_P202555"	"0.979"	"0.105189"	"-1.97"	"-4.35"	"-5.53e-01"	"SIPA1L3"	"signal-induced proliferation-associated 1 like 3"
"A_23_P206041"	"0.979"	"0.105206"	"1.97"	"-4.35"	"3.81e-01"	"MAN2A2"	"mannosidase, alpha, class 2A, member 2"
"A_32_P175991"	"0.979"	"0.10521"	"1.97"	"-4.35"	"6.06e-01"	""	""
"A_32_P465742"	"0.979"	"0.105211"	"-1.97"	"-4.35"	"-6.84e-01"	"PIP5K1B"	"phosphatidylinositol-4-phosphate 5-kinase, type I, beta"
"A_24_P489976"	"0.979"	"0.10522"	"1.97"	"-4.35"	"4.14e-01"	""	""
"A_32_P41496"	"0.979"	"0.105235"	"1.97"	"-4.35"	"4.35e-01"	"LOC100132831"	"A20-binding inhibitor of NF-kappaB activation 2 pseudogene"
"A_24_P338757"	"0.979"	"0.10526"	"1.97"	"-4.35"	"2.35e-01"	"USPL1"	"ubiquitin specific peptidase like 1"
"A_24_P405850"	"0.979"	"0.105311"	"1.97"	"-4.35"	"2.73e-01"	"PGRMC2"	"progesterone receptor membrane component 2"
"A_24_P71468"	"0.979"	"0.105322"	"1.97"	"-4.35"	"1.14"	"QPCT"	"glutaminyl-peptide cyclotransferase"
"A_23_P96209"	"0.979"	"0.105325"	"-1.97"	"-4.35"	"-5.13e-01"	"REEP4"	"receptor accessory protein 4"
"A_23_P103824"	"0.979"	"0.105334"	"1.97"	"-4.35"	"2.43e-01"	"PI4KB"	"phosphatidylinositol 4-kinase, catalytic, beta"
"A_24_P15823"	"0.979"	"0.105407"	"-1.97"	"-4.35"	"-4.67e-01"	""	""
"A_32_P191503"	"0.979"	"0.105478"	"1.97"	"-4.35"	"3.70e-01"	"LINC00265"	"long intergenic non-protein coding RNA 265"
"A_24_P350307"	"0.979"	"0.105506"	"-1.97"	"-4.35"	"-3.75e-01"	""	""
"A_24_P394361"	"0.979"	"0.105521"	"-1.97"	"-4.35"	"-2.33e-01"	"WDR19"	"WD repeat domain 19"
"A_23_P158449"	"0.979"	"0.105566"	"1.97"	"-4.35"	"2.79e-01"	"SLC37A3"	"solute carrier family 37, member 3"
"A_24_P843921"	"0.979"	"0.105593"	"-1.97"	"-4.35"	"-4.88e-01"	""	""
"A_24_P99639"	"0.979"	"0.105629"	"1.97"	"-4.35"	"4.16e-01"	"NEK8"	"NIMA-related kinase 8"
"A_24_P409760"	"0.979"	"0.105653"	"-1.97"	"-4.35"	"-2.69e-01"	""	""
"A_23_P254061"	"0.979"	"0.105677"	"-1.97"	"-4.35"	"-2.49e-01"	""	""
"A_23_P32217"	"0.979"	"0.105684"	"1.97"	"-4.35"	"2.13e-01"	"TOPORS"	"topoisomerase I binding, arginine/serine-rich, E3 ubiquitin protein ligase"
"A_24_P126294"	"0.979"	"0.105798"	"-1.97"	"-4.35"	"-2.22e-01"	""	""
"A_24_P418028"	"0.979"	"0.105814"	"1.97"	"-4.35"	"4.96e-01"	""	""
"A_24_P579862"	"0.979"	"0.105825"	"-1.97"	"-4.35"	"-2.66e-01"	""	""
"A_32_P149111"	"0.979"	"0.10585"	"1.96"	"-4.35"	"3.34e-01"	"MTHFSD"	"methenyltetrahydrofolate synthetase domain containing"
"A_23_P77590"	"0.979"	"0.10587"	"-1.96"	"-4.35"	"-3.75e-01"	"VAC14"	"Vac14 homolog (S. cerevisiae)"
"A_32_P101441"	"0.979"	"0.105951"	"1.96"	"-4.35"	"2.89e-01"	""	""
"A_23_P108082"	"0.979"	"0.105954"	"-1.96"	"-4.35"	"-4.95e-01"	"CREB3L3"	"cAMP responsive element binding protein 3-like 3"
"A_32_P199725"	"0.979"	"0.106119"	"-1.96"	"-4.35"	"-2.92e-01"	""	""
"A_24_P221778"	"0.979"	"0.106127"	"-1.96"	"-4.35"	"-2.49e-01"	""	""
"A_23_P103328"	"0.979"	"0.106164"	"-1.96"	"-4.35"	"-5.67e-01"	"PTGER3"	"prostaglandin E receptor 3 (subtype EP3)"
"A_23_P55136"	"0.979"	"0.106168"	"-1.96"	"-4.35"	"-4.43e-01"	"RANGRF"	"RAN guanine nucleotide release factor"
"A_32_P61061"	"0.979"	"0.106217"	"-1.96"	"-4.35"	"-4.32e-01"	""	""
"A_23_P46149"	"0.979"	"0.10622"	"1.96"	"-4.35"	"4.43e-01"	"GPR137B"	"G protein-coupled receptor 137B"
"A_23_P92552"	"0.979"	"0.106224"	"-1.96"	"-4.35"	"-3.45e-01"	"GATB"	"glutamyl-tRNA(Gln) amidotransferase, subunit B"
"A_24_P196568"	"0.979"	"0.106228"	"1.96"	"-4.35"	"2.26e-01"	"LRPAP1"	"low density lipoprotein receptor-related protein associated protein 1"
"A_24_P170869"	"0.979"	"0.106231"	"-1.96"	"-4.35"	"-3.03e-01"	"TGFBRAP1"	"transforming growth factor, beta receptor associated protein 1"
"A_32_P168670"	"0.979"	"0.106277"	"1.96"	"-4.35"	"2.56e-01"	""	""
"A_24_P913760"	"0.979"	"0.106358"	"1.96"	"-4.35"	"3.61e-01"	"INTS6"	"integrator complex subunit 6"
"A_32_P61729"	"0.979"	"0.106358"	"-1.96"	"-4.35"	"-4.84e-01"	"RTN3"	"reticulon 3"
"A_24_P915269"	"0.979"	"0.1064"	"1.96"	"-4.35"	"5.64e-01"	"SRGN"	"serglycin"
"A_24_P244447"	"0.979"	"0.106433"	"-1.96"	"-4.35"	"-2.34e-01"	"SHANK2-AS3"	"SHANK2 antisense RNA 3"
"A_24_P724106"	"0.979"	"0.106446"	"-1.96"	"-4.35"	"-3.69e-01"	""	""
"A_23_P343837"	"0.979"	"0.106478"	"1.96"	"-4.35"	"2.70e-01"	"PARP11"	"poly (ADP-ribose) polymerase family, member 11"
"A_32_P233769"	"0.979"	"0.10648"	"1.96"	"-4.35"	"3.64e-01"	""	""
"A_24_P82880"	"0.979"	"0.106489"	"-1.96"	"-4.35"	"-4.41e-01"	"TPM4"	"tropomyosin 4"
"A_23_P169576"	"0.979"	"0.10653"	"1.96"	"-4.35"	"3.31e-01"	"EXOC6"	"exocyst complex component 6"
"A_23_P124078"	"0.979"	"0.10659"	"1.96"	"-4.35"	"2.58e-01"	""	""
"A_23_P143089"	"0.979"	"0.106614"	"-1.96"	"-4.35"	"-2.51e-01"	"MPV17"	"MpV17 mitochondrial inner membrane protein"
"A_23_P133445"	"0.979"	"0.106626"	"1.96"	"-4.35"	"2.05e-01"	"GZMA"	"granzyme A (granzyme 1, cytotoxic T-lymphocyte-associated serine esterase 3)"
"A_24_P923353"	"0.979"	"0.106653"	"-1.96"	"-4.35"	"-6.12e-01"	"ALDH5A1"	"aldehyde dehydrogenase 5 family, member A1"
"A_23_P6344"	"0.979"	"0.106654"	"-1.96"	"-4.35"	"-4.01e-01"	"SDF2L1"	"stromal cell-derived factor 2-like 1"
"A_23_P365719"	"0.979"	"0.106662"	"1.96"	"-4.35"	"5.36e-01"	"TAPBP"	"TAP binding protein (tapasin)"
"A_24_P944472"	"0.979"	"0.106675"	"1.96"	"-4.35"	"2.64e-01"	""	""
"A_32_P218332"	"0.979"	"0.106697"	"-1.96"	"-4.35"	"-2.87e-01"	"ACSF3"	"acyl-CoA synthetase family member 3"
"A_24_P304969"	"0.979"	"0.106853"	"-1.96"	"-4.35"	"-2.40e-01"	"NPRL3"	"nitrogen permease regulator-like 3 (S. cerevisiae)"
"A_23_P27040"	"0.979"	"0.106857"	"-1.96"	"-4.35"	"-1.03"	"TMEM98"	"transmembrane protein 98"
"A_32_P74357"	"0.979"	"0.106876"	"-1.96"	"-4.35"	"-3.49e-01"	""	""
"A_23_P335190"	"0.979"	"0.106951"	"1.96"	"-4.35"	"5.13e-01"	"CYP2R1"	"cytochrome P450, family 2, subfamily R, polypeptide 1"
"A_23_P26281"	"0.979"	"0.106975"	"1.96"	"-4.35"	"3.52e-01"	""	""
"A_23_P147238"	"0.979"	"0.106979"	"1.96"	"-4.35"	"2.43e-01"	"WSB2"	"WD repeat and SOCS box containing 2"
"A_24_P305938"	"0.979"	"0.106988"	"1.96"	"-4.35"	"2.56e-01"	"RAB9BP1"	"RAB9B, member RAS oncogene family pseudogene 1"
"A_23_P44105"	"0.979"	"0.106995"	"1.96"	"-4.35"	"3.19e-01"	"LAT"	"linker for activation of T cells"
"A_24_P400970"	"0.979"	"0.107002"	"-1.96"	"-4.35"	"-6.12e-01"	""	""
"A_23_P17695"	"0.979"	"0.107011"	"1.96"	"-4.35"	"8.69e-01"	"SLC37A1"	"solute carrier family 37 (glucose-6-phosphate transporter), member 1"
"A_23_P411851"	"0.979"	"0.107017"	"1.96"	"-4.35"	"2.54e-01"	"SYNE3"	"spectrin repeat containing, nuclear envelope family member 3"
"A_24_P24142"	"0.979"	"0.107031"	"-1.96"	"-4.35"	"-3.84e-01"	""	""
"A_23_P57304"	"0.979"	"0.107147"	"-1.96"	"-4.35"	"-2.90e-01"	"TMEM50B"	"transmembrane protein 50B"
"A_32_P230529"	"0.979"	"0.107192"	"1.96"	"-4.35"	"2.18e-01"	"LOC100505915"	"uncharacterized LOC100505915"
"A_24_P307626"	"0.979"	"0.107193"	"1.96"	"-4.35"	"2.20e-01"	"ATP1A4"	"ATPase, Na+/K+ transporting, alpha 4 polypeptide"
"A_24_P145107"	"0.979"	"0.107229"	"1.95"	"-4.35"	"3.26e-01"	""	""
"A_23_P428468"	"0.979"	"0.107259"	"1.95"	"-4.35"	"6.15e-01"	"ZNF292"	"zinc finger protein 292"
"A_24_P67988"	"0.979"	"0.107321"	"1.95"	"-4.35"	"3.22e-01"	"FRMD8"	"FERM domain containing 8"
"A_23_P3552"	"0.979"	"0.107333"	"1.95"	"-4.35"	"2.26e-01"	"RRN3P1"	"RNA polymerase I transcription factor homolog (S. cerevisiae) pseudogene 1"
"A_23_P29046"	"0.979"	"0.107343"	"-1.95"	"-4.35"	"-2.98e-01"	"CBR1"	"carbonyl reductase 1"
"A_23_P143580"	"0.979"	"0.10737"	"1.95"	"-4.35"	"2.97e-01"	"KLHL22"	"kelch-like family member 22"
"A_32_P211188"	"0.979"	"0.107416"	"1.95"	"-4.35"	"1.91e-01"	"PPARGC1B"	"peroxisome proliferator-activated receptor gamma, coactivator 1 beta"
"A_23_P46063"	"0.979"	"0.107537"	"-1.95"	"-4.35"	"-2.00e-01"	"NME7"	"NME/NM23 family member 7"
"A_32_P163814"	"0.979"	"0.10757"	"-1.95"	"-4.35"	"-1.93e-01"	""	""
"A_23_P147605"	"0.979"	"0.107574"	"-1.95"	"-4.35"	"-3.48e-01"	"C11orf49"	"chromosome 11 open reading frame 49"
"A_23_P19036"	"0.979"	"0.10762"	"1.95"	"-4.35"	"3.20e-01"	"TNIP1"	"TNFAIP3 interacting protein 1"
"A_32_P58074"	"0.979"	"0.107633"	"-1.95"	"-4.35"	"-3.05e-01"	"RPS3A"	"ribosomal protein S3A"
"A_23_P169423"	"0.979"	"0.107647"	"-1.95"	"-4.35"	"-2.59e-01"	"UBE2R2"	"ubiquitin-conjugating enzyme E2R 2"
"A_23_P301360"	"0.979"	"0.107727"	"1.95"	"-4.35"	"2.04e-01"	"ZNF572"	"zinc finger protein 572"
"A_23_P123732"	"0.979"	"0.107746"	"1.95"	"-4.35"	"2.72e-01"	"IDNK"	"idnK, gluconokinase homolog (E. coli)"
"A_32_P18012"	"0.979"	"0.107748"	"1.95"	"-4.35"	"1.95e-01"	""	""
"A_24_P152845"	"0.979"	"0.107784"	"-1.95"	"-4.35"	"-2.71e-01"	""	""
"A_23_P12423"	"0.979"	"0.107795"	"-1.95"	"-4.35"	"-3.54e-01"	"ATP13A2"	"ATPase type 13A2"
"A_32_P223551"	"0.979"	"0.107803"	"1.95"	"-4.35"	"5.31e-01"	"PSMG1"	"proteasome (prosome, macropain) assembly chaperone 1"
"A_24_P868905"	"0.979"	"0.107855"	"-1.95"	"-4.35"	"-6.67e-01"	""	""
"A_23_P118105"	"0.979"	"0.107861"	"-1.95"	"-4.35"	"-4.53e-01"	"NDUFB10"	"NADH dehydrogenase (ubiquinone) 1 beta subcomplex, 10, 22kDa"
