PeakID (cmd=annotatePeaks.pl no_peptide_1um_pcc_superenhancers_merged.txt mm10)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
Merged-chr4-145260204-2	chr4	145177371	145361594	+	1879.400024	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt|AND-CD4TCell-H3K27Ac-1uM-PCC-24h-MNase-Combined_superenhancers.txt	intron (NM_009401, intron 12 of 12)	intron (NM_009401, intron 12 of 12)	-22612	NM_011610	21938	Mm.235328	NM_011610		Tnfrsf1b	CD120b|TNF-R-II|TNF-R2|TNF-R75|TNF-alphaR2|TNFBR|TNFR80|TNFRII|TNFalpha-R2|Tnfr-1|Tnfr2|p75	tumor necrosis factor receptor superfamily, member 1b	protein-coding
Merged-chr7-117482846-2	chr7	117375990	117644674	+	1878.449951	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt|AND-CD4TCell-H3K27Ac-1uM-PCC-24h-MNase-Combined_superenhancers.txt	intron (NM_175645, intron 2 of 11)	intron (NM_175645, intron 2 of 11)	129353	NM_175645	233781	Mm.461427	NM_175645	ENSMUSG00000030657	Xylt1	8030490L12	xylosyltransferase 1	protein-coding
Merged-chr12-102663846-2	chr12	102577025	102783428	+	1855.649902	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt|AND-CD4TCell-H3K27Ac-1uM-PCC-24h-MNase-Combined_superenhancers.txt	intron (NM_172584, intron 1 of 9)	intron (NM_172584, intron 1 of 9)	4794	NR_035457	100316812		NR_035457		Mir1936	mmu-mir-1936	microRNA 1936	ncRNA
Merged-chr15-59585008-1	chr15	59507039	59662978	+	1851.900024	AND-CD4TCell-H3K27Ac-1uM-PCC-24h-MNase-Combined_superenhancers.txt	intron (NM_026746, intron 4 of 6)	intron (NM_026746, intron 4 of 6)	-63646	NM_144549	211770	Mm.40298	NM_144549	ENSMUSG00000032501	Trib1	A530090O15Rik|TRB-1|Trb1	tribbles homolog 1 (Drosophila)	protein-coding
Merged-chr8-72325809-2	chr8	72239065	72422116	+	1835.199951	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt|AND-CD4TCell-H3K27Ac-1uM-PCC-24h-MNase-Combined_superenhancers.txt	Intergenic	Intergenic	11528	NM_008452	16598	Mm.26938	NM_008452	ENSMUSG00000055148	Klf2	Lklf	Kruppel-like factor 2 (lung)	protein-coding
Merged-chr5-96942245-2	chr5	96848097	97039610	+	1833.800049	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt|AND-CD4TCell-H3K27Ac-1uM-PCC-24h-MNase-Combined_superenhancers.txt	Intergenic	L2b|LINE|L2	-53836	NM_080708	140780	Mm.281490	NM_080708	ENSMUSG00000034663	Bmp2k	4933417M22Rik|AA673486|AV128808|BIKE	BMP2 inducible kinase	protein-coding
Merged-chr14-66236863-2	chr14	66178871	66306894	+	1832.050049	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt|AND-CD4TCell-H3K27Ac-1uM-PCC-24h-MNase-Combined_superenhancers.txt	intron (NM_001162365, intron 1 of 30)	intron (NM_001162365, intron 1 of 30)	-29330	NM_001162366	19229	Mm.21613	NM_172498	ENSMUSG00000059456	Ptk2b	CADTK|CAKB|CAKbeta|E430023O05Rik|FADK2|FAK2|PYK2|Raftk	PTK2 protein tyrosine kinase 2 beta	protein-coding
Merged-chr2-153271323-2	chr2	153161174	153364832	+	1830.250000	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt|AND-CD4TCell-H3K27Ac-1uM-PCC-24h-MNase-Combined_superenhancers.txt	intron (NM_080463, intron 6 of 6)	intron (NM_080463, intron 6 of 6)	21471	NM_080463	140484	Mm.293761	NM_080463	ENSMUSG00000046020	Pofut1	O-FucT-1|mKIAA0180	protein O-fucosyltransferase 1	protein-coding
Merged-chr5-134270395-2	chr5	134165186	134374693	+	1830.149902	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt|AND-CD4TCell-H3K27Ac-1uM-PCC-24h-MNase-Combined_superenhancers.txt	intron (NM_001080749, intron 10 of 32)	intron (NM_001080749, intron 10 of 32)	-40314	NM_001286037	17969	Mm.425296	NM_010876	ENSMUSG00000015950	Ncf1	NCF-47K|NOXO2|Ncf-1|p47-phox|p47<phox>|p47phox	neutrophil cytosolic factor 1	protein-coding
Merged-chr11-55048348-3	chr11	54917136	55159002	+	1828.466675	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt|AND-CD4TCell-H3K27Ac-1uM-PCC-24h-MNase-Combined_superenhancers.txt	Intergenic	ID_B1|SINE|B4	-4598	NM_013472	11749	Mm.265347	NM_013472	ENSMUSG00000018340	Anxa6	AW107198|Anx6|AnxVI|Cabm|Camb	annexin A6	protein-coding
Merged-chr13-41424358-2	chr13	41317390	41532695	+	1828.250000	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt|AND-CD4TCell-H3K27Ac-1uM-PCC-24h-MNase-Combined_superenhancers.txt	intron (NM_001111324, intron 2 of 7)	(TG)n|Simple_repeat|Simple_repeat	62318	NM_001111324	18003	Mm.288980	NM_017464	ENSMUSG00000021365	Nedd9	Cas-L|CasL|HEF1|MEF1|Nedd-9|p105	neural precursor cell expressed, developmentally down-regulated gene 9	protein-coding
Merged-chr11-107410237-2	chr11	107328517	107493696	+	1826.300049	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt|AND-CD4TCell-H3K27Ac-1uM-PCC-24h-MNase-Combined_superenhancers.txt	intron (NM_145823, intron 1 of 9)	intron (NM_145823, intron 1 of 9)	59614	NM_145823	71795	Mm.397413	NM_145823	ENSMUSG00000040430	Pitpnc1	1110020B03Rik|5830436L09Rik|AI662802|AI851387|C330017I21Rik|Dnr411|RDGBB|RDGBB1|rdgB-beta	phosphatidylinositol transfer protein, cytoplasmic 1	protein-coding
Merged-chr1-52078013-2	chr1	51995188	52169854	+	1823.699951	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt|AND-CD4TCell-H3K27Ac-1uM-PCC-24h-MNase-Combined_superenhancers.txt	exon (NM_011487, exon 11 of 24)	exon (NM_011487, exon 11 of 24)	-36917	NM_001205314	20846	Mm.277406	NM_009283	ENSMUSG00000026104	Stat1	2010005J02Rik|AA408197	signal transducer and activator of transcription 1	protein-coding
Merged-chr13-52864299-1	chr13	52777419	52951179	+	1819.699951	AND-CD4TCell-H3K27Ac-1uM-PCC-24h-MNase-Combined_superenhancers.txt	intron (NM_016709, intron 6 of 9)	intron (NM_016709, intron 6 of 9)	65378	NM_016709	11992	Mm.252034	NM_016709	ENSMUSG00000021460	Auh	C77140|W91705	AU RNA binding protein/enoyl-coenzyme A hydratase	protein-coding
Merged-chr1-128662298-3	chr1	128527298	128837737	+	1818.733276	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt|AND-CD4TCell-H3K27Ac-1uM-PCC-24h-MNase-Combined_superenhancers.txt	Intergenic	ID_B1|SINE|B4	-90218	NM_009911	12767	Mm.1401	NM_009911	ENSMUSG00000045382	Cxcr4	CD184|Cmkar4|LESTR|PB-CKR|PBSF/SDF-1|Sdf1r|b2b220Clo	chemokine (C-X-C motif) receptor 4	protein-coding
Merged-chr7-102299076-2	chr7	102198852	102402047	+	1814.050049	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt|AND-CD4TCell-H3K27Ac-1uM-PCC-24h-MNase-Combined_superenhancers.txt	intron (NM_009287, intron 1 of 11)	intron (NM_009287, intron 1 of 11)	32625	NM_009287	20866	Mm.645	NM_009287	ENSMUSG00000030987	Stim1	SIM	stromal interaction molecule 1	protein-coding
Merged-chr11-22831969-2	chr11	22754739	22909666	+	1812.800049	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt|AND-CD4TCell-H3K27Ac-1uM-PCC-24h-MNase-Combined_superenhancers.txt	Intergenic	Intergenic	27533	NM_016888	53625	Mm.395495	NM_016888	ENSMUSG00000051650	B3gnt2	AA408337|AA409404|AW260308|B3Galt6|B3gnt1|BGnT-1|BGnT-2|BGnT1|BGnT2|Beta3gnt	UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 2	protein-coding
Merged-chr18-82518917-2	chr18	82450380	82589296	+	1812.500000	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt|AND-CD4TCell-H3K27Ac-1uM-PCC-24h-MNase-Combined_superenhancers.txt	intron (NM_001025245, intron 2 of 3)	intron (NM_001025245, intron 2 of 3)	-34625	NM_001025251	17196	Mm.252063	NM_010777	ENSMUSG00000041607	Mbp	C76307|Hmbpr|R75289|golli-mbp|mld|shi	myelin basic protein	protein-coding
Merged-chr19-29427666-2	chr19	29342356	29505922	+	1807.600098	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt|AND-CD4TCell-H3K27Ac-1uM-PCC-24h-MNase-Combined_superenhancers.txt	intron (NM_021396, intron 2 of 5)	L1_Mus4|LINE|L1	13220	NM_021396	58205	Mm.116737	NM_021396		Pdcd1lg2	B7-DC|Btdc|F730015O22Rik|PD-L2	programmed cell death 1 ligand 2	protein-coding
Merged-chr2-173416416-2	chr2	173300043	173549178	+	1796.349976	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt|AND-CD4TCell-H3K27Ac-1uM-PCC-24h-MNase-Combined_superenhancers.txt	Intergenic	Intergenic	-97982	NM_028158	72221	Mm.46132	NM_028158	ENSMUSG00000027518	1700021F07Rik	-	RIKEN cDNA 1700021F07 gene	protein-coding
Merged-chr17-5112419-2	chr17	4979809	5338971	+	1792.350098	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt|AND-CD4TCell-H3K27Ac-1uM-PCC-24h-MNase-Combined_superenhancers.txt	intron (NM_001085355, intron 4 of 19)	MT2A|LTR|ERVL	164316	NM_001085355	239985	Mm.133401	NM_001085355	ENSMUSG00000069729	Arid1b	8030481M12|9330189K18Rik|AI836955|Ardi1b|B230217J03Rik|mKIAA1235	AT rich interactive domain 1B (SWI-like)	protein-coding
Merged-chr6-120108192-2	chr6	120006511	120209161	+	1780.550049	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt|AND-CD4TCell-H3K27Ac-1uM-PCC-24h-MNase-Combined_superenhancers.txt	intron (NM_016718, intron 1 of 3)	intron (NM_016718, intron 1 of 3)	14456	NM_016718	29862	Mm.103668	NM_016718	ENSMUSG00000041377	Ninj2	-	ninjurin 2	protein-coding
Merged-chr11-98501696-2	chr11	98437845	98565521	+	1778.599976	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt|AND-CD4TCell-H3K27Ac-1uM-PCC-24h-MNase-Combined_superenhancers.txt	intron (NM_011771, intron 3 of 7)	(TGGGGG)n|Simple_repeat|Simple_repeat	44348	NM_011771	22780	Mm.133367	NM_011771	ENSMUSG00000018168	Ikzf3	5830411O07Rik|Aiolos|Zfpn1a3|Znfn1a3	IKAROS family zinc finger 3	protein-coding
Merged-chr8-94403987-2	chr8	94337818	94471061	+	1776.800049	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt|AND-CD4TCell-H3K27Ac-1uM-PCC-24h-MNase-Combined_superenhancers.txt	Intergenic	Intergenic	17939	NM_022331	64209	Mm.29151	NM_022331	ENSMUSG00000031770	Herpud1	Herp|Mifl|SUP	homocysteine-inducible, endoplasmic reticulum stress-inducible, ubiquitin-like domain member 1	protein-coding
Merged-chr1-165819557-2	chr1	165763440	165882784	+	1769.350098	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt|AND-CD4TCell-H3K27Ac-1uM-PCC-24h-MNase-Combined_superenhancers.txt	intron (NM_031162, intron 1 of 7)	intron (NM_031162, intron 1 of 7)	34431	NR_103716	12503	Mm.217308	NM_031162	ENSMUSG00000005763	Cd247	4930549J05Rik|A430104F18Rik|AW552088|Cd3|Cd3-eta|Cd3-zeta|Cd3h|Cd3z|Cd3zeta|T3z|Tcrk|Tcrz	CD247 antigen	protein-coding
Merged-chr1-155101701-2	chr1	155027892	155175494	+	1757.199951	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt|AND-CD4TCell-H3K27Ac-1uM-PCC-24h-MNase-Combined_superenhancers.txt	Intergenic	Intergenic	-2057	NM_010500	15939	Mm.12246	NM_010500	ENSMUSG00000056708	Ier5	-	immediate early response 5	protein-coding
Merged-chrX-167133688-2	chrX	167019841	167234023	+	1753.699951	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt|AND-CD4TCell-H3K27Ac-1uM-PCC-24h-MNase-Combined_superenhancers.txt	Intergenic	Intergenic	-56562	NM_001101606	667794	Mm.302232	NM_001101606		Gm8817	EG667794	predicted gene 8817	protein-coding
Merged-chr10-40436031-1	chr10	40341993	40530069	+	1753.400024	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt	intron (NM_198164, intron 3 of 11)	intron (NM_198164, intron 3 of 11)	86723	NM_001291817	78334	Mm.200924	NM_198164	ENSMUSG00000038481	Cdk19	2700084L06Rik|AI845279|AW228747|CDK11|Cdc2l6|mKIAA1028	cyclin-dependent kinase 19	protein-coding
Merged-chr5-100596147-2	chr5	100471415	100675196	+	1748.550049	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt|AND-CD4TCell-H3K27Ac-1uM-PCC-24h-MNase-Combined_superenhancers.txt	Intergenic	B3|SINE|B2	-1100	NM_139198	231507	Mm.34609	NM_139198	ENSMUSG00000029322	Plac8	C15|D5Wsu111e	placenta-specific 8	protein-coding
Merged-chr15-6578503-2	chr15	6519254	6648025	+	1745.949951	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt|AND-CD4TCell-H3K27Ac-1uM-PCC-24h-MNase-Combined_superenhancers.txt	intron (NM_011815, intron 1 of 17)	intron (NM_011815, intron 1 of 17)	3792	NM_011815	23880	Mm.170905	NM_011815		Fyb	ADAP|B630013F22Rik|FYB-120/130|Slap130|p120/130|p120/p130	FYN binding protein	protein-coding
Merged-chr11-86596576-2	chr11	86512599	86658167	+	1744.949951	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt|AND-CD4TCell-H3K27Ac-1uM-PCC-24h-MNase-Combined_superenhancers.txt	exon (NM_029478, exon 12 of 12)	exon (NM_029478, exon 12 of 12)	-1225	NR_029738	387140		NR_029738	miRBase:MI0000569	Mir21a	Mir21|Mirn21|mmu-mir-21|mmu-mir-21a	microRNA 21a	ncRNA
Merged-chr11-53801223-2	chr11	53735309	53872525	+	1742.900024	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt|AND-CD4TCell-H3K27Ac-1uM-PCC-24h-MNase-Combined_superenhancers.txt	intron (NR_033332, intron 3 of 3)	L1M5|LINE|L1	33444	NM_001159396	16362	Mm.105218	NM_008390	ENSMUSG00000018899	Irf1	AU020929|Irf-1	interferon regulatory factor 1	protein-coding
Merged-chr17-35199028-2	chr17	35105764	35264665	+	1736.250000	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt|AND-CD4TCell-H3K27Ac-1uM-PCC-24h-MNase-Combined_superenhancers.txt	exon (NM_010734, exon 4 of 4)	exon (NM_010734, exon 4 of 4)	3226	NM_010734	16988	Mm.19379	NM_010734	ENSMUSG00000073412	Lst1	B144	leukocyte specific transcript 1	protein-coding
Merged-chr15-86053301-2	chr15	85956063	86131141	+	1734.250000	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt|AND-CD4TCell-H3K27Ac-1uM-PCC-24h-MNase-Combined_superenhancers.txt	Intergenic	Intergenic	-9825	NM_009886	12614	Mm.22680	NM_009886	ENSMUSG00000016028	Celsr1	Crsh|Scy|crash	cadherin, EGF LAG seven-pass G-type receptor 1 (flamingo homolog, Drosophila)	protein-coding
Merged-chr1-161741036-2	chr1	161653759	161832209	+	1731.349976	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt|AND-CD4TCell-H3K27Ac-1uM-PCC-24h-MNase-Combined_superenhancers.txt	Intergenic	Intergenic	45511	NM_001205243	14103	Mm.3355	NM_010177	ENSMUSG00000000817	Fasl	APT1LG1|CD178|CD95-L|CD95L|Fas-L|Faslg|Tnfsf6|gld	Fas ligand (TNF superfamily, member 6)	protein-coding
Merged-chr4-6886538-2	chr4	6724298	6991840	+	1728.900024	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt|AND-CD4TCell-H3K27Ac-1uM-PCC-24h-MNase-Combined_superenhancers.txt	intron (NM_145711, intron 1 of 8)	intron (NM_145711, intron 1 of 8)	132654	NM_145711	252838	Mm.435828	NM_145711	ENSMUSG00000041272	Tox	1700007F02Rik	thymocyte selection-associated high mobility group box	protein-coding
Merged-chr16-57498292-2	chr16	57378852	57607584	+	1721.750000	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt|AND-CD4TCell-H3K27Ac-1uM-PCC-24h-MNase-Combined_superenhancers.txt	intron (NM_001040397, intron 1 of 4)	(TGGA)n|Simple_repeat|Simple_repeat	-56024	NM_001177871	78749	Mm.328360	NM_001040397	ENSMUSG00000043336	Filip1l	4631422O05Rik|Doc1	filamin A interacting protein 1-like	protein-coding
Merged-chr12-100935451-3	chr12	100835948	101029665	+	1721.566650	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt|AND-CD4TCell-H3K27Ac-1uM-PCC-24h-MNase-Combined_superenhancers.txt	intron (NM_026681, intron 22 of 29)	intron (NM_026681, intron 22 of 29)	-24608	NM_175493	238377	Mm.32160	NM_175493	ENSMUSG00000047415	Gpr68	BB131428|Ogr1	G protein-coupled receptor 68	protein-coding
Merged-chr15-100696024-2	chr15	100598196	100766757	+	1715.350098	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt|AND-CD4TCell-H3K27Ac-1uM-PCC-24h-MNase-Combined_superenhancers.txt	intron (NM_033612, intron 5 of 7)	intron (NM_033612, intron 5 of 7)	5444	NM_033612	109901	Mm.2131	NM_033612	ENSMUSG00000023031	Cela1	1810009A17Rik|1810062B19Rik|Ela-1|Ela1|PC-TsF	chymotrypsin-like elastase family, member 1	protein-coding
Merged-chr1-184012280-2	chr1	183924120	184084692	+	1711.550049	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt|AND-CD4TCell-H3K27Ac-1uM-PCC-24h-MNase-Combined_superenhancers.txt	Intergenic	Intergenic	29592	NM_028516	73363	Mm.50115	NM_028516	ENSMUSG00000044854	1700056E22Rik	-	RIKEN cDNA 1700056E22 gene	protein-coding
Merged-chr15-64045493-2	chr15	63976053	64115790	+	1709.000000	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt|AND-CD4TCell-H3K27Ac-1uM-PCC-24h-MNase-Combined_superenhancers.txt	intron (NM_144846, intron 1 of 11)	intron (NM_144846, intron 1 of 11)	14527	NM_144846	223601	Mm.246108	NM_144846	ENSMUSG00000022378	Fam49b	0910001A06Rik|AW122079	family with sequence similarity 49, member B	protein-coding
Merged-chr3-126675015-2	chr3	126573469	126771995	+	1704.349976	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt|AND-CD4TCell-H3K27Ac-1uM-PCC-24h-MNase-Combined_superenhancers.txt	intron (NM_023813, intron 2 of 17)	intron (NM_023813, intron 2 of 17)	75781	NM_001293665	108058	Mm.255822	NM_023813	ENSMUSG00000053819	Camk2d	2810011D23Rik|8030469K03Rik|CaMK II|[d]-CaMKII	calcium/calmodulin-dependent protein kinase II, delta	protein-coding
Merged-chr1-131132839-2	chr1	130987834	131210567	+	1697.050049	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt|AND-CD4TCell-H3K27Ac-1uM-PCC-24h-MNase-Combined_superenhancers.txt	Intergenic	Intergenic	-1657	NM_008551	17164	Mm.221235	NM_008551	ENSMUSG00000016528	Mapkapk2	AA960234|MAPKAP-K2|MK-2|MK2|Rps6kc1	MAP kinase-activated protein kinase 2	protein-coding
Merged-chr1-39970766-2	chr1	39886063	40092546	+	1696.500000	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt|AND-CD4TCell-H3K27Ac-1uM-PCC-24h-MNase-Combined_superenhancers.txt	intron (NM_008696, intron 11 of 30)	intron (NM_008696, intron 11 of 30)	88391	NM_001252202	26921	Mm.491139	NM_008696	ENSMUSG00000026074	Map4k4	9430080K19Rik|AU043147|AU045934|AW046177|HGK|Nik	mitogen-activated protein kinase kinase kinase kinase 4	protein-coding
Merged-chr9-41112610-2	chr9	41026375	41194394	+	1686.100098	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt|AND-CD4TCell-H3K27Ac-1uM-PCC-24h-MNase-Combined_superenhancers.txt	intron (NM_176860, intron 1 of 13)	intron (NM_176860, intron 1 of 13)	47110	NM_176860	72828	Mm.133615	NM_176860	ENSMUSG00000032020	Ubash3b	2810457I06Rik|BB125008|TULA-2|p70	ubiquitin associated and SH3 domain containing, B	protein-coding
Merged-chr9-120047158-1	chr9	119964283	120130033	+	1682.099976	AND-CD4TCell-H3K27Ac-1uM-PCC-24h-MNase-Combined_superenhancers.txt	Intergenic	Intergenic	21138	NM_009987	13051	Mm.44065	NM_009987	ENSMUSG00000052336	Cx3cr1	-	chemokine (C-X3-C motif) receptor 1	protein-coding
Merged-chr7-31026531-1	chr7	30939163	31113899	+	1681.099976	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt	Intergenic	Intergenic	13786	NR_106017	102465635		NR_106017		Mir7050	mmu-mir-7050	microRNA mir-7050	ncRNA
Merged-chr10-93329731-2	chr10	93242115	93457949	+	1680.699951	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt|AND-CD4TCell-H3K27Ac-1uM-PCC-24h-MNase-Combined_superenhancers.txt	Intergenic	MLT1B|LTR|ERVL-MaLR	13800	NR_038014	432488	Mm.32833	NR_038014		Gm17745	-	predicted gene, 17745	ncRNA
Merged-chr1-43504867-2	chr1	43442559	43565781	+	1675.699951	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt|AND-CD4TCell-H3K27Ac-1uM-PCC-24h-MNase-Combined_superenhancers.txt	intron (NM_010879, intron 1 of 4)	intron (NM_010879, intron 1 of 4)	58419	NM_010879	17974	Mm.389903	NM_010879	ENSMUSG00000066877	Nck2	4833426I10Rik|Grb4|NCKbeta|Nck-2	non-catalytic region of tyrosine kinase adaptor protein 2	protein-coding
Merged-chr1-51525233-2	chr1	51448187	51602996	+	1669.899902	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt|AND-CD4TCell-H3K27Ac-1uM-PCC-24h-MNase-Combined_superenhancers.txt	Intergenic	(TG)n|Simple_repeat|Simple_repeat	-47192	NM_028696	109019	Mm.196290	NM_028696	ENSMUSG00000026107	Nabp1	4930434H03Rik|4930442A21Rik|4930488J04Rik|4933440J18Rik|5830411E10Rik|AI852561|Nbp1|Obfc2a|Ssb2	nucleic acid binding protein 1	protein-coding
Merged-chr8-22738723-2	chr8	22630839	22820011	+	1667.900024	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt|AND-CD4TCell-H3K27Ac-1uM-PCC-24h-MNase-Combined_superenhancers.txt	Intergenic	URR1B|DNA|hAT-Charlie	-18842	NM_001159774	16150	Mm.277886	NM_010546	ENSMUSG00000031537	Ikbkb	AI132552|IKK-2|IKK-beta|IKK2|IKK[b]|IKKbeta	inhibitor of kappaB kinase beta	protein-coding
Merged-chr14-73135088-2	chr14	73015582	73260597	+	1659.149902	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt|AND-CD4TCell-H3K27Ac-1uM-PCC-24h-MNase-Combined_superenhancers.txt	Intergenic	B4A|SINE|B4	-4421	NM_134083	105670	Mm.280068	NM_134083	ENSMUSG00000022106	Rcbtb2	2610028E02Rik|2810420M18Rik|AI448345|AW240694|Chc1l|RC/BTB2	regulator of chromosome condensation (RCC1) and BTB (POZ) domain containing protein 2	protein-coding
Merged-chr15-67143165-2	chr15	67085712	67218781	+	1655.849976	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt|AND-CD4TCell-H3K27Ac-1uM-PCC-24h-MNase-Combined_superenhancers.txt	intron (NM_009177, intron 2 of 8)	ORR1E|LTR|ERVL-MaLR	24636	NM_009177	20442	Mm.248334	NM_009177	ENSMUSG00000013846	St3gal1	5330418N22Rik|AI467004|ST3GalI|Siat4|Siat4a|St3gal-1	ST3 beta-galactoside alpha-2,3-sialyltransferase 1	protein-coding
Merged-chr8-14987242-2	chr8	14931639	15043037	+	1655.150024	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt|AND-CD4TCell-H3K27Ac-1uM-PCC-24h-MNase-Combined_superenhancers.txt	intron (NM_001037736, intron 25 of 27)	intron (NM_001037736, intron 25 of 27)	-23687	NM_029116	74901	Mm.46675	NM_029116	ENSMUSG00000055675	Kbtbd11	2900016B01Rik|4930465M17Rik|mKIAA0711	kelch repeat and BTB (POZ) domain containing 11	protein-coding
Merged-chr3-60522156-2	chr3	60460246	60617841	+	1654.800049	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt|AND-CD4TCell-H3K27Ac-1uM-PCC-24h-MNase-Combined_superenhancers.txt	intron (NM_001253708, intron 2 of 8)	intron (NM_001253708, intron 2 of 8)	37791	NM_001253709	56758	Mm.255723	NM_020007	ENSMUSG00000027763	Mbnl1	Mbnl|mKIAA0428	muscleblind-like 1 (Drosophila)	protein-coding
Merged-chr9-46053205-1	chr9	45979321	46127089	+	1654.800049	AND-CD4TCell-H3K27Ac-1uM-PCC-24h-MNase-Combined_superenhancers.txt	intron (NM_027498, intron 1 of 24)	intron (NM_027498, intron 1 of 24)	40385	NM_027498	70661	Mm.219459	NM_027498	ENSMUSG00000034135	Sik3	5730525O22Rik|9030204A07Rik|AI447252|AI846254|AI849445|Qsk|SIK-3|mKIAA0999	SIK family kinase 3	protein-coding
Merged-chr13-45896879-2	chr13	45812954	45977091	+	1638.700073	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt|AND-CD4TCell-H3K27Ac-1uM-PCC-24h-MNase-Combined_superenhancers.txt	intron (NM_001199305, intron 2 of 7)	Tigger14a|DNA|TcMar-Tigger	69969	NM_001199304	20238	Mm.342683	NM_009124	ENSMUSG00000046876	Atxn1	2900016G23Rik|Atx1|C85907|ENSMUSG00000074917|Gm10786|Sca1	ataxin 1	protein-coding
