#name (cmd = mergePeaks AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt AND-CD4TCell-H3K27Ac-1uM-PCC-24h-MNase-Combined_superenhancers.txt)	chr	start	end	strand	Stat	Parent files	Total subpeaks	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt	AND-CD4TCell-H3K27Ac-1uM-PCC-24h-MNase-Combined_superenhancers.txt
Merged-chr6-22416834-1	chr6	22373796	22459872	+	806.900024	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt	1	chr6-34505	
Merged-chr9-21137044-1	chr9	21072875	21201213	+	838.599976	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt	1	chr9-24050	
Merged-chr15-81298706-1	chr15	81235704	81361708	+	1074.800049	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt	1	chr15-40499	
Merged-chr5-34547617-1	chr5	34500827	34594407	+	870.900024	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt	1	chr5-27747	
Merged-chr10-41606704-1	chr10	41552097	41661311	+	787.400024	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt	1	chr10-14100	
Merged-chr11-57670874-1	chr11	57607472	57734277	+	1169.599976	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt	1	chr11-70563	
Merged-chr2-73009505-1	chr2	72959010	73060000	+	818.200012	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt	1	chr2-59970	
Merged-chr9-110676072-1	chr9	110640261	110711884	+	843.000000	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt	1	chr9-16201	
Merged-chr4-139239427-1	chr4	139167101	139311754	+	1117.599976	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt	1	chr4-44125	
Merged-chr11-100586148-1	chr11	100544875	100627422	+	827.000000	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt	1	chr11-49160	
Merged-chr7-31026531-1	chr7	30939163	31113899	+	1681.099976	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt	1	chr7-36847	
Merged-chr13-97822077-1	chr13	97739866	97904288	+	940.099976	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt	1	chr13-38117	
Merged-chr12-17463579-1	chr12	17372614	17554545	+	1158.000000	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt	1	chr12-5177	
Merged-chr15-96624809-1	chr15	96583316	96666302	+	786.200012	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt	1	chr15-27145	
Merged-chr17-35864370-1	chr17	35803270	35925471	+	1004.299988	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt	1	chr17-41606	
Merged-chr17-27026395-1	chr17	26968250	27084541	+	880.099976	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt	1	chr17-40061	
Merged-chr6-134914800-1	chr6	134873795	134955806	+	812.799988	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt	1	chr6-38846	
Merged-chr6-145927459-1	chr6	145834839	146020080	+	1050.500000	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt	1	chr6-53217	
Merged-chr10-118766718-1	chr10	118703283	118830154	+	819.700012	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt	1	chr10-47980	
Merged-chr16-45001218-1	chr16	44956817	45045619	+	839.599976	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt	1	chr16-26105	
Merged-chr19-5683927-1	chr19	5635828	5732027	+	827.099976	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt	1	chr19-17294	
Merged-chr13-46745744-1	chr13	46689902	46801587	+	990.700012	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt	1	chr13-26306	
Merged-chr12-70106091-1	chr12	70053810	70158373	+	901.400024	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt	1	chr12-36258	
Merged-chr4-43962165-1	chr4	43931349	43992981	+	779.799988	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt	1	chr4-40303	
Merged-chr12-76900232-1	chr12	76837453	76963011	+	1159.599976	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt	1	chr12-1309	
Merged-chr17-83337646-1	chr17	83267285	83408008	+	1058.199951	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt	1	chr17-16316	
Merged-chr2-59483559-1	chr2	59438977	59528141	+	800.900024	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt	1	chr2-30673	
Merged-chr6-65590492-1	chr6	65508038	65672947	+	1245.699951	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt	1	chr6-41463	
Merged-chr16-3937624-1	chr16	3870674	4004574	+	1035.199951	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt	1	chr16-27983	
Merged-chr8-105676507-1	chr8	105594049	105758965	+	1338.099976	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt	1	chr8-42449	
Merged-chr19-6991172-1	chr19	6941134	7041210	+	907.500000	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt	1	chr19-17449	
Merged-chr6-145143539-1	chr6	145074614	145212464	+	1135.500000	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt	1	chr6-45501	
Merged-chr6-149195395-1	chr6	149126864	149263927	+	1022.000000	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt	1	chr6-53511	
Merged-chr8-106033792-1	chr8	105983307	106084278	+	956.200012	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt	1	chr8-42566	
Merged-chr12-113006482-1	chr12	112937321	113075644	+	1182.199951	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt	1	chr12-8007	
Merged-chr3-19412953-1	chr3	19366509	19459397	+	800.200012	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt	1	chr3-20138	
Merged-chr2-25503982-1	chr2	25448896	25559068	+	1105.000000	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt	1	chr2-66807	
Merged-chr5-125446311-1	chr5	125388612	125504010	+	871.799988	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt	1	chr5-46781	
Merged-chr1-40502561-1	chr1	40460703	40544419	+	853.099976	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt	1	chr1-39251	
Merged-chr7-142369284-1	chr7	142334571	142403998	+	914.400024	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt	1	chr7-35712	
Merged-chr6-146120750-1	chr6	146070286	146171214	+	873.700012	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt	1	chr6-45648	
Merged-chr3-68987773-1	chr3	68929874	69045672	+	993.099976	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt	1	chr3-16268	
Merged-chr15-76667077-1	chr15	76606279	76727876	+	850.099976	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt	1	chr15-26081	
Merged-chr2-30625712-1	chr2	30587440	30663984	+	896.700012	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt	1	chr2-14935	
Merged-chr15-57766929-1	chr15	57692838	57841021	+	979.500000	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt	1	chr15-22069	
Merged-chr9-106191037-1	chr9	106148482	106233593	+	779.799988	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt	1	chr9-39219	
Merged-chr7-101974706-1	chr7	101923392	102026020	+	824.099976	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt	1	chr7-51798	
Merged-chr5-122692141-1	chr5	122638275	122746008	+	799.299988	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt	1	chr5-22894	
Merged-chr9-42107619-1	chr9	42053224	42162015	+	904.900024	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt	1	chr9-48802	
Merged-chr4-135134088-1	chr4	135061324	135206853	+	1413.699951	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt	1	chr4-51110	
Merged-chr9-14062132-1	chr9	14005714	14118550	+	858.700012	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt	1	chr9-47272	
Merged-chr2-13747644-1	chr2	13697734	13797555	+	800.099976	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt	1	chr2-49487	
Merged-chr3-95235379-1	chr3	95174184	95296574	+	1008.099976	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt	1	chr3-24310	
Merged-chr5-64355465-1	chr5	64294401	64416529	+	848.900024	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt	1	chr5-14907	
Merged-chr9-21590185-1	chr9	21524920	21655451	+	915.700012	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt	1	chr9-31287	
Merged-chr16-4707329-1	chr16	4623632	4791026	+	1178.800049	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt	1	chr16-10662	
Merged-chr10-21890798-1	chr10	21780928	22000668	+	1598.800049	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt	1	chr10-37316	
Merged-chr11-63997053-1	chr11	63895166	64098940	+	2149.899902	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt	1	chr11-61744	
Merged-chr11-86806330-1	chr11	86738948	86873713	+	1042.000000	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt	1	chr11-48297	
Merged-chr17-86348807-1	chr17	86297027	86400587	+	862.200012	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt	1	chr17-32736	
Merged-chr17-86684706-1	chr17	86615927	86753485	+	925.900024	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt	1	chr17-32782	
Merged-chr11-51897559-1	chr11	51820740	51974378	+	1190.400024	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt	1	chr11-69846	
Merged-chr17-56300336-1	chr17	56251347	56349325	+	785.500000	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt	1	chr17-27209	
Merged-chr8-34191442-1	chr8	34139957	34242927	+	994.099976	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt	1	chr8-29330	
Merged-chr9-96387705-1	chr9	96322314	96453097	+	1328.500000	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt	1	chr9-44989	
Merged-chr15-76290685-1	chr15	76229666	76351705	+	1160.900024	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt	1	chr15-34252	
Merged-chr5-65004972-1	chr5	64952163	65057781	+	942.700012	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt	1	chr5-37491	
Merged-chr10-40436031-1	chr10	40341993	40530069	+	1753.400024	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt	1	chr10-50990	
Merged-chr2-126633396-1	chr2	126584119	126682673	+	938.900024	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt	1	chr2-28046	
Merged-chr9-107586398-1	chr9	107521303	107651493	+	1252.699951	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt	1	chr9-11408	
Merged-chr15-78900358-1	chr15	78859217	78941499	+	779.900024	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt	1	chr15-39994	
Merged-chr3-89415500-1	chr3	89368249	89462752	+	963.099976	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt	1	chr3-36503	
Merged-chr13-37608915-1	chr13	37518866	37698964	+	1227.500000	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt	1	chr13-34918	
Merged-chr3-101031137-1	chr3	100951637	101110637	+	1513.199951	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt	1	chr3-24597	
Merged-chr12-11260409-1	chr12	11196155	11324664	+	916.099976	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt	1	chr12-16948	
Merged-chr19-41934854-1	chr19	41827215	42042494	+	1286.500000	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt	1	chr19-24323	
Merged-chr12-28837763-1	chr12	28766978	28908549	+	1261.199951	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt	1	chr12-35338	
Merged-chr5-54055050-1	chr5	53994779	54115321	+	893.900024	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt	1	chr5-28017	
Merged-chr7-45103124-1	chr7	45051655	45154593	+	1116.900024	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt	1	chr7-42545	
Merged-chr17-21481992-1	chr17	21446778	21517206	+	800.200012	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt	1	chr17-39478	
Merged-chr17-31061245-1	chr17	31011795	31110696	+	809.900024	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt	1	chr17-4039	
Merged-chr8-84158298-1	chr8	84039043	84277554	+	2362.800049	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt	1	chr8-41484	
Merged-chr11-97697744-1	chr11	97650352	97745136	+	906.799988	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt	1	chr11-64409	
Merged-chr5-120664759-1	chr5	120612434	120717085	+	997.799988	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt	1	chr5-7859	
Merged-chr15-79911725-1	chr15	79864449	79959002	+	839.400024	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt	1	chr15-46445	
Merged-chr17-34967863-1	chr17	34870447	35065279	+	1218.000000	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt	1	chr17-35430	
Merged-chr7-24418791-1	chr7	24365061	24472521	+	1443.099976	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt	1	chr7-7523	
Merged-chr6-128827899-1	chr6	128782875	128872924	+	1000.400024	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt	1	chr6-44532	
Merged-chr13-91449920-1	chr13	91356986	91542854	+	1173.800049	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt	1	chr13-37527	
Merged-chr9-20974224-1	chr9	20916797	21031651	+	812.000000	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt	1	chr9-47647	
Merged-chr13-20171334-1	chr13	20089975	20252693	+	1240.400024	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt	1	chr13-8001	
Merged-chr2-75736123-1	chr2	75679272	75792975	+	1003.000000	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt	1	chr2-60105	
Merged-chr5-124486163-1	chr5	124411813	124560514	+	1117.300049	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt	1	chr5-40094	
Merged-chr17-23589915-1	chr17	23534470	23645361	+	1060.800049	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt	1	chr17-39541	
Merged-chr8-70573110-1	chr8	70506056	70640165	+	1135.000000	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt	1	chr8-17621	
Merged-chr5-34204072-1	chr5	34158016	34250128	+	816.299988	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt	1	chr5-49770	
Merged-chr10-81360648-1	chr10	81283186	81438110	+	1143.900024	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt	1	chr10-53689	
Merged-chr2-25212636-1	chr2	25152177	25273095	+	907.400024	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt	1	chr2-33801	
Merged-chr7-45747914-1	chr7	45680838	45814990	+	1097.800049	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt	1	chr7-49141	
Merged-chr19-46487203-1	chr19	46438026	46536380	+	1056.800049	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt	1	chr19-24590	
Merged-chr9-21348197-1	chr9	21304292	21392103	+	844.700012	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt	1	chr9-47743	
Merged-chr11-3310281-1	chr11	3247952	3372611	+	1111.000000	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt	1	chr11-44647	
Merged-chr2-26516819-1	chr2	26471938	26561701	+	912.200012	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt	1	chr2-49976	
Merged-chr6-143125074-1	chr6	143051538	143198611	+	1217.099976	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt	1	chr6-39198	
Merged-chr10-78129826-1	chr10	78059574	78200078	+	1023.299988	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt	1	chr10-29885	
Merged-chr6-41160451-1	chr6	41084910	41235993	+	946.500000	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt	1	chr6-35129	
Merged-chr10-19606863-1	chr10	19488005	19725722	+	2129.699951	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt	1	chr10-28295	
Merged-chr16-93774246-1	chr16	93711052	93837441	+	874.900024	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt	1	chr16-759	
Merged-chr11-96998037-1	chr11	96943409	97052665	+	1058.000000	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt	1	chr11-48785	
Merged-chr7-126754823-1	chr7	126695094	126814552	+	1132.000000	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt	1	chr7-53244	
Merged-chr12-80096824-1	chr12	80046810	80146839	+	931.400024	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt	1	chr12-43619	
Merged-chr7-127012315-1	chr7	126972435	127052196	+	819.599976	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt	1	chr7-53297	
Merged-chr9-40393672-1	chr9	40317616	40469728	+	1175.500000	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt	1	chr9-31806	
Merged-chr18-73802916-1	chr18	73743864	73861969	+	901.299988	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt	1	chr18-14643	
Merged-chr14-79285999-1	chr14	79225342	79346656	+	1004.000000	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt	1	chr14-31035	
Merged-chr6-91073079-1	chr6	91015459	91130699	+	966.799988	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt	1	chr6-36832	
Merged-chr11-51615332-1	chr11	51571909	51658755	+	874.400024	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt	1	chr11-52782	
Merged-chr5-64694173-1	chr5	64566714	64821633	+	2240.500000	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt	1	chr5-32350	
Merged-chr17-32377581-1	chr17	32319967	32435196	+	824.599976	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt	1	chr17-30105	
Merged-chr3-88134658-1	chr3	88090802	88178514	+	944.700012	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt	1	chr3-27421	
Merged-chr3-129577283-1	chr3	129520757	129633809	+	1018.599976	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt	1	chr3-15416	
Merged-chr13-109812304-1	chr13	109776536	109848073	+	793.900024	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt	1	chr13-24289	
Merged-chr11-103210283-1	chr11	103130769	103289797	+	1333.900024	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt	1	chr11-75254	
Merged-chr3-100521693-1	chr3	100458566	100584820	+	1318.400024	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt	1	chr3-43417	
Merged-chr1-86460589-1	chr1	86391326	86529852	+	1250.099976	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt	1	chr1-62460	
Merged-chr17-53607440-1	chr17	53557610	53657270	+	781.400024	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt	1	chr17-15921	
Merged-chr7-80070083-1	chr7	80014627	80125539	+	1061.400024	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt	1	chr7-29597	
Merged-chr16-11463486-1	chr16	11397352	11529620	+	1173.199951	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt	1	chr16-12282	
Merged-chr15-82161965-1	chr15	82120921	82203009	+	915.299988	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt	1	chr15-46983	
Merged-chr15-66489796-1	chr15	66437279	66542313	+	1106.099976	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt	1	chr15-17415	
Merged-chr12-112643204-1	chr12	112583234	112703175	+	857.200012	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt	1	chr12-46339	
Merged-chr12-112842576-1	chr12	112804742	112880410	+	853.700012	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt	1	chr12-46386	
Merged-chr15-64231718-2	chr15	64133163	64346286	+	2002.400024	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt|AND-CD4TCell-H3K27Ac-1uM-PCC-24h-MNase-Combined_superenhancers.txt	2	chr15-25477	chr15-33938
Merged-chr7-128382679-2	chr7	128345176	128418607	+	842.949951	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt|AND-CD4TCell-H3K27Ac-1uM-PCC-24h-MNase-Combined_superenhancers.txt	2	chr7-53570	chr7-49828
Merged-chr1-43504867-2	chr1	43442559	43565781	+	1675.699951	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt|AND-CD4TCell-H3K27Ac-1uM-PCC-24h-MNase-Combined_superenhancers.txt	2	chr1-21084	chr1-25910
Merged-chr9-7858789-2	chr9	7810939	7903655	+	1090.349976	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt|AND-CD4TCell-H3K27Ac-1uM-PCC-24h-MNase-Combined_superenhancers.txt	2	chr9-18624	chr9-23536
Merged-chr9-13536930-2	chr9	13414323	13667777	+	2338.200195	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt|AND-CD4TCell-H3K27Ac-1uM-PCC-24h-MNase-Combined_superenhancers.txt	2	chr9-18652	chr9-13144
Merged-chr10-117917784-2	chr10	117745580	118122073	+	3428.550049	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt|AND-CD4TCell-H3K27Ac-1uM-PCC-24h-MNase-Combined_superenhancers.txt	2	chr10-15022	chr10-47428
Merged-chr14-27312397-2	chr14	27180456	27443360	+	3601.350098	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt|AND-CD4TCell-H3K27Ac-1uM-PCC-24h-MNase-Combined_superenhancers.txt	2	chr14-32975	chr14-24499
Merged-chr11-11720588-2	chr11	11620466	11847516	+	2828.700195	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt|AND-CD4TCell-H3K27Ac-1uM-PCC-24h-MNase-Combined_superenhancers.txt	2	chr11-51446	chr11-59015
Merged-chr7-16349222-2	chr7	16272352	16432461	+	1571.699951	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt|AND-CD4TCell-H3K27Ac-1uM-PCC-24h-MNase-Combined_superenhancers.txt	2	chr7-36065	chr7-50657
Merged-chr12-102334065-2	chr12	102270767	102397960	+	1353.800049	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt|AND-CD4TCell-H3K27Ac-1uM-PCC-24h-MNase-Combined_superenhancers.txt	2	chr12-38420	chr12-20705
Merged-chr1-87870670-2	chr1	87785184	87945556	+	1490.550049	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt|AND-CD4TCell-H3K27Ac-1uM-PCC-24h-MNase-Combined_superenhancers.txt	2	chr1-62614	chr1-10535
Merged-chr4-120993819-2	chr4	120944440	121039912	+	941.199951	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt|AND-CD4TCell-H3K27Ac-1uM-PCC-24h-MNase-Combined_superenhancers.txt	2	chr4-42596	chr4-28718
Merged-chr1-161741036-2	chr1	161653759	161832209	+	1731.349976	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt|AND-CD4TCell-H3K27Ac-1uM-PCC-24h-MNase-Combined_superenhancers.txt	2	chr1-49167	chr1-31701
Merged-chr6-114853847-2	chr6	114767086	114938549	+	1890.400024	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt|AND-CD4TCell-H3K27Ac-1uM-PCC-24h-MNase-Combined_superenhancers.txt	2	chr6-43532	chr6-52987
