Gene symbol	No-Peptide-24h	No-Peptide-24h-MEKi	10uM-K99A-24h	10uM-K99A-24h-MEKi	100uM-K99A-24h	100uM-K99A-24h-MEKi	0-1uM-PCC-24h	0-1uM-PCC-24h-MEKi	10uM-PCC-24h	10uM-PCC-24h-MEKi
Ppp1r18	109.398	106.689	122.3385	100.434	98.3895	113.892	83.67299999999999	75.965	78.4615	76.303
Krtap4-2	0.0	0.0	0.0	0.0	0.0	0.0	0.0215	0.0	0.0	0.0
Clec9a	0.193	0.583	0.2465	0.081	0.0645	0.11	0.0865	0.018000000000000002	0.049	0.0
Olfr794	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Kcnh3	0.3585	0.14	0.1175	0.091	0.071	0.0	0.0495	0.0	0.01	0.014
Pfkfb4	23.641	38.374	16.0535	29.242	6.1935	13.864	5.6755	4.89	3.88	4.461
Tpsab1	0.0	0.0	0.0	0.0	0.0	0.0	0.0215	0.0	0.0	0.0
Gm15293	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Cd19	20.7635	23.003	9.526	24.579	8.79	13.848	8.7025	13.621	8.217500000000001	17.296
Mir3964	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Mmgt2	8.8325	5.77	7.618500000000001	5.511	7.579499999999999	8.539	6.948500000000001	6.699	7.1435	7.504
Ciapin1	7.81	5.3420000000000005	14.1565	7.801	19.977	12.849	19.8395	16.303	22.9625	17.355999999999998
Grhl3	0.018000000000000002	0.158	0.044500000000000005	0.0	0.0095	0.025	0.0245	0.042	0.063	0.0
Epyc	0.07200000000000001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1700086O06Rik	0.4075	0.479	1.0779999999999998	1.557	1.4935	1.202	1.2955	0.545	1.4395	1.5759999999999998
Scrt2	0.0	0.0	0.0	0.0	0.0	0.0	0.006	0.0	0.0	0.0
S100a14	0.1445	0.233	0.0695	0.0	0.115	0.0	0.1315	0.108	0.043	0.0
Nkx3-2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Zbtb9	11.0	7.957000000000002	13.205	8.785	15.399	12.784	15.439	13.939	15.293500000000002	13.74
Slc43a1	4.7605	1.983	3.8005	5.301	1.7915	2.85	1.579	1.726	1.2705000000000002	1.483
Slc7a13	0.0	0.0	0.0	0.0	0.0	0.0	0.0195	0.0	0.0	0.0
Peg12	0.332	0.095	0.0155	0.099	0.06	0.0	0.106	0.066	0.121	0.078
Lyrm4	4.767	3.508	10.534	6.254	13.2445	8.622	12.8115	9.758	13.457	9.168
Npy	0.7045	0.0	0.122	0.0	0.0	0.0	0.131	0.0	0.5760000000000001	0.856
Psmc4	44.1895	27.193	75.33449999999998	37.024	108.75	71.957	111.4435	89.23299999999998	124.051	91.916
Gm11837	0.0	0.0	0.092	0.0	0.125	0.079	0.0	0.196	0.1465	0.0
Ugt3a2	0.0225	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0165	0.0
Tppp	0.1785	0.172	0.16399999999999998	0.333	0.0385	0.014	0.037000000000000005	0.057	0.0125	0.0
Casp2	14.9455	15.984000000000002	14.443	17.045	16.536500000000004	14.401	18.1695	17.386	18.1475	18.295
Col16a1	0.0335	0.061	0.016	0.0	0.019	0.0	0.021	0.011	0.0145	0.02
Nol8	8.681999999999999	7.73	17.993	11.415	27.3185	18.647	31.1425	29.825	29.3265	27.747
E130308A19Rik	2.1055	2.164	2.26	2.648	2.5860000000000003	2.35	3.2990000000000004	2.983	2.8735	3.134
Ndufs6	18.7105	6.107	30.602000000000004	3.907	39.503	17.031	43.5105	23.551	47.328	27.482
Duox2	0.0165	0.0	0.0045000000000000005	0.0	0.0	0.0	0.005	0.0	0.0	0.0
Aasdhppt	4.374	4.0280000000000005	6.538500000000001	3.4810000000000003	10.2285	7.278	11.701999999999998	9.404	11.15	10.229
Ddx11	3.8735	2.253	8.558499999999999	4.662	7.5985	6.626	7.555999999999999	6.334	7.4265	6.7429999999999986
Usp47	17.169	15.414	20.4395	16.169	22.497	20.678	21.3375	21.94	20.854	21.207
Wnt3	0.607	0.2	13.6235	3.939	9.426	8.672	4.4805	1.4369999999999998	2.532	1.204
Ccdc74a	0.3315	1.032	0.463	0.8220000000000001	0.6855000000000001	0.555	0.4415	0.778	0.769	0.243
Il33	0.0	0.0	0.016	0.0	0.0	0.0	0.0	0.0	0.0215	0.0
Lrpprc	9.261000000000001	7.481	16.993000000000002	11.245	24.598000000000003	17.912	27.923000000000002	23.717	27.2315	26.224
Ppp2r2c	0.037000000000000005	0.124	0.07050000000000001	0.097	0.0	0.0	0.0175	0.0	0.0115	0.0
Tomt	1.0595	0.742	0.9740000000000001	0.0	1.0095	0.314	1.829	1.08	1.037	1.6030000000000002
Inhba	9.6745	12.634	9.2615	10.768	10.035	14.592	6.8455	7.955	5.8145	6.089
Tnk2os	0.733	0.135	0.521	0.8909999999999999	0.513	0.101	0.733	0.626	0.607	0.258
Il1f9	87.20200000000001	132.563	71.84899999999999	128.42	25.059	81.531	20.893	23.132	5.0735	19.477
Ssb	54.1095	36.894	94.9955	50.68	132.2775	75.97800000000002	134.3375	119.728	146.19299999999996	115.921
Pstk	7.066	4.169	6.916	4.648	10.298	8.475	9.755	7.762	9.9155	8.141
Olfr1180	0.0	0.0	0.116	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Krtap6-5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Gm20741	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Mir181a-2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Dynlrb2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Mir148b	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Asphd2	0.2075	0.394	0.047	0.37	0.075	0.17800000000000002	0.134	0.0	0.052000000000000005	0.032
Gsk3a	50.143	40.977	61.24100000000001	40.651	63.6525	60.097	63.50100000000001	58.602	69.1185	59.879
1110065P20Rik	7.374500000000001	4.1160000000000005	12.539000000000001	1.893	14.549000000000001	11.249	15.0555	7.739	18.492	14.698
Pitx3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Fgf8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Lmod1	0.0	0.0	0.025	0.132	0.0	0.0	0.0	0.015	0.0	0.039
Efcab2	1.499	1.5519999999999998	1.6219999999999999	0.927	2.298	1.948	2.129	1.17	2.119	1.845
Gm5615	0.0	0.0	0.0	0.0	0.0	0.0	0.009000000000000001	0.0	0.0	0.0
Krt33b	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Mir1957b	1.013	6.64	3.012	3.2030000000000003	4.9605	6.9220000000000015	7.2895	10.936	4.662000000000001	2.522
Ccdc58	2.7605000000000004	3.284	8.741	5.192	18.8405	11.983	21.9015	23.909	28.186	22.38
4930513N10Rik	0.8859999999999999	1.18	0.6964999999999999	0.768	0.7144999999999999	1.131	0.9179999999999999	0.705	1.1855	1.154
Stim2	10.055	10.232	11.6565	10.043	13.055	11.097	13.9245	13.057	13.0	13.132
4930558C23Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
4932443I19Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Myh13	0.0	0.0	0.0455	0.0	0.017	0.0	0.0	0.0	0.0	0.0
Grifin	0.8724999999999999	0.0	0.628	0.0	0.0	0.0	0.2065	0.0	0.105	0.0
Scube1	0.14400000000000002	0.104	0.028	0.0	0.02	0.027000000000000003	0.003	0.0	0.0	0.0
1700092C02Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.051	0.0
Tldc2	0.1955	0.0	0.097	0.0	0.0	0.557	0.0745	0.184	0.0885	0.243
Slc6a4	0.486	0.365	0.17800000000000002	0.238	0.252	0.309	0.171	0.191	0.1715	0.038
Klhl1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0045000000000000005	0.0
Cdkl1	0.1475	0.0	0.206	0.0	0.0	0.0	0.0	0.0	0.0335	0.0
Neto1	0.021	0.018000000000000002	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Rab11fip1	17.6755	15.171	14.975	17.699	12.8915	12.963	13.3215	12.618	12.0015	11.698
BC029722	14.9705	13.737	11.7915	8.07	13.9765	15.464	12.9785	11.953	14.827	13.742
Cnpy4	9.219	6.185	12.0915	6.465	11.0515	8.533999999999999	11.4905	9.194	12.2505	10.265999999999998
Lrat	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Fign	0.015	0.07	0.005	0.013	0.002	0.0	0.0195	0.0	0.0	0.0
Nt5c	57.582	34.869	52.1215	41.83600000000001	66.423	47.681	60.24549999999999	48.037	72.7255	53.01
Klhl8	2.44	1.7009999999999998	2.2655	1.86	2.141	2.122	2.041	1.859	2.2375	2.099
Epb4.2	0.2	0.0	0.0175	0.0	0.0	0.0	0.0	0.034	0.016	0.104
Cldn9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
4932414N04Rik	0.043	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Ces1a	0.0	0.0	0.0105	0.0	0.0	0.0	0.0	0.0	0.009000000000000001	0.0
Olfr1247	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Zkscan5	2.91	1.936	3.1165000000000003	2.625	3.267	4.433	3.444	3.459	3.523	3.287
Abl2	6.169499999999998	5.471	6.1305	6.119	7.6965	6.68	8.5395	8.751	9.2115	8.727
Lrrc61	7.612999999999999	6.6110000000000015	9.0445	7.274	9.1655	8.78	8.4835	9.209	10.1095	9.634
Mir374c	0.0	0.0	0.0	0.0	0.0	0.0	0.9265	0.0	0.0	0.0
Hnrnpab	103.10600000000001	52.945	169.80599999999998	66.72800000000001	276.0325	168.986	300.3040000000001	216.555	345.06800000000004	239.109
Pqbp1	35.8725	25.978	51.5375	26.708	55.029	42.334	55.659000000000006	45.155	62.482	47.43600000000001
Map1a	0.032	0.038	0.043	0.045	0.038	0.018000000000000002	0.0285	0.075	0.07350000000000001	0.049
Il2rg	146.8755	102.374	267.81600000000003	154.15	275.976	245.167	265.4895	283.341	269.711	284.721
Rsrp1	378.6405	363.069	224.3455	286.857	110.0585	147.895	112.22200000000001	114.45	96.669	101.817
Phf10	25.569000000000006	22.545	40.83150000000001	28.773000000000003	63.605	45.679	66.113	51.574	65.72449999999999	55.934
Gstp1	19.7315	4.748	10.0055	7.974	11.6785	12.639	9.788	7.892	12.47	8.72
Inf2	24.5485	18.556	55.3295	39.441	42.6295	56.398	30.388	25.69	27.168000000000003	26.818
Rap1gap2	8.633	14.985	4.9140000000000015	10.59	2.5235	4.5310000000000015	2.0615	2.19	1.495	2.089
Rps6kc1	3.2555	1.723	3.2485	2.849	4.252	3.149	4.2065	4.141	4.573499999999999	4.228
Spsb4	0.122	0.616	0.067	0.0	0.18600000000000005	0.095	0.0	0.026	0.08800000000000001	0.0
Zfp120	5.914999999999999	6.746	7.7730000000000015	6.485	7.1205	6.973	5.761	6.021	5.0554999999999986	5.2970000000000015
Eno2	9.8035	7.619	19.322	11.895	13.1755	18.071	9.407	7.1370000000000005	6.6395	5.897
Hspb9	0.322	1.12	0.1715	0.18	0.0905	0.973	0.0975	0.16	0.2435	0.355
Try10	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Dhx33	6.702000000000001	5.247999999999998	12.23	8.423	18.122	13.489	20.796999999999997	19.868	21.6735	19.844
5430435G22Rik	4.0525	3.122	1.0325	2.02	0.289	0.867	0.261	0.046	0.0145	0.0
Vmn2r44	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Orc4	7.789	6.879	11.7795	9.364	14.389000000000001	11.574000000000002	15.0875	16.406	13.975	16.06
Cops8	18.6715	13.462	35.007	18.333	49.895	32.864000000000004	51.3575	43.83	53.611	44.839
Mir7240	0.0	0.0	5.631499999999999	7.997999999999998	0.8	2.469	1.9280000000000002	3.053	0.491	6.2970000000000015
Fam217a	0.052000000000000005	0.0	0.0	0.0	0.019500000000000003	0.0	0.0	0.0	0.019	0.043
A530050N04Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Pde5a	1.584	1.366	1.31	2.079	0.9675	1.249	0.6205	0.813	0.7075	0.65
Olfr285	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Ccdc117	13.9855	10.263	15.3925	11.82	18.482	14.1	19.309	18.476	19.3425	16.859
Myl12b	262.833	295.261	182.2565	230.968	113.1935	184.044	106.7445	95.499	80.176	94.632
Tbxa2r	21.247	12.532	11.5315	9.277	5.4415	6.33	5.9224999999999985	5.38	5.6945000000000014	5.442
Psapl1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Prm3	0.0	0.0	0.0	0.0	0.0	0.348	0.1745	0.0	0.0	0.0
Slc9a5	0.1915	0.287	0.584	0.463	1.063	0.7709999999999999	1.243	1.46	1.9555	1.567
Vmn2r39	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
4930480K15Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Dusp3	5.419499999999998	4.676	2.782	3.242	1.169	2.397	1.4015	1.727	0.9975	1.869
Nudt2	4.5255	3.178	5.559	3.09	9.555	8.097999999999999	8.622499999999999	6.606	9.834500000000002	7.1160000000000005
Vac14	15.1595	11.824000000000002	18.3675	12.142	23.331	21.33	27.068	23.963	27.4625	23.617
4930548H24Rik	0.0	0.0	0.0	0.0	0.0	0.099	0.0	0.041	0.07150000000000001	0.108
Cyp2c44	0.0	0.0	0.0775	0.0	0.0125	0.0	0.0	0.0	0.0115	0.0
Obsl1	0.0485	0.0	0.12300000000000001	0.0	0.08349999999999999	0.147	0.078	0.101	0.161	0.071
Dhrs7c	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Tomm22	39.63500000000001	40.949	59.3715	30.003	60.4295	52.124	63.8275	59.261	69.62950000000001	60.238
Mir7676-1	0.0	2.043	3.972	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Mir6360	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Klk14	0.0	0.0	0.0	0.0	0.0	0.111	0.0745	0.0	0.0	0.122
Glce	3.4455	2.792	5.2814999999999985	4.905	8.4475	5.164	10.636	9.116	10.2195	8.557
A930009A15Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BC027231	6.0139999999999985	4.802	9.5685	6.729	10.902999999999999	9.268	11.8045	12.638	12.1425	11.045
4930405J17Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.1005	0.0	0.0	0.0
Luzp1	1.7475	1.433	1.963	1.368	1.8465	1.721	1.9065	2.244	2.3655	2.8560000000000003
Rarg	18.1415	13.773	17.863999999999994	16.149	12.1895	16.022000000000002	11.3765	12.222	11.37	13.282
Aspg	0.0	0.0	0.0	0.0	0.0	0.0	0.0085	0.0	0.0	0.0
Smoc2	0.2105	0.332	0.3975	0.74	0.217	0.55	0.217	0.494	0.154	0.091
Dedd	14.0805	16.683	16.258	12.212	17.9955	15.862	17.608	17.102999999999998	19.4085	14.984000000000002
Fuk	4.4185	3.838	3.7295	3.08	3.4755000000000003	3.383	3.5805	3.693	3.8135	4.33
Gm15679	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Txndc15	18.153	8.071	14.0125	12.502	14.818	11.890999999999998	14.0065	10.755	12.776	9.169
Retn	0.387	1.951	0.043	0.0	0.18	0.245	0.146	0.0	0.0485	0.0
Nme1	20.1555	9.489	40.04750000000001	13.947	74.142	41.032	88.1325	65.188	108.61200000000001	72.734
Gpt2	2.9285000000000005	1.357	7.1615	2.345	12.7315	9.411	13.6795	11.87	13.75	10.235
Plch1	0.0	0.0	0.006500000000000001	0.0	0.003	0.0	0.0	0.009000000000000001	0.006	0.0
Zfp113	1.8625	2.642	3.2785	2.307	3.4655	2.9730000000000003	3.3480000000000003	3.913	2.861	3.848
Olfr231	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.126	0.0195	0.0
Pdia5	0.47700000000000004	0.87	0.6539999999999999	0.327	0.7415	0.157	0.7090000000000001	0.6809999999999999	0.8909999999999999	0.831
Ptp4a2	75.41550000000002	61.68899999999999	100.0145	70.517	110.044	96.333	101.6705	98.094	107.151	99.173
Gm21708	0.0	0.0	0.026	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Sema3a	0.019	0.009000000000000001	0.003	0.0	0.0115	0.0	0.014	0.017	0.027000000000000003	0.068
Golgb1	10.389000000000001	8.825	13.582	10.898	12.7125	13.575	11.241499999999998	11.231	10.084	10.454
Uso1	20.9325	18.652	23.8205	20.957	26.6845	24.155	25.8975	25.363000000000003	25.268	25.769
Tagln2	178.642	127.704	140.8	130.15200000000002	159.86249999999995	169.563	166.49450000000004	165.755	202.6275	186.521
Cdk5	6.486000000000001	8.871	6.385999999999999	7.774	4.5335	5.784	6.2325	5.534	5.9525000000000015	7.099
Pnma2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Vmn2r-ps129	0.0	0.0	0.0145	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Atp5a1	142.6635	83.889	197.2635	99.692	281.9755	174.232	279.931	221.52	319.2725	233.496
Spg11	8.639000000000001	8.754	9.115	10.491	8.2045	9.463	8.35	9.558	7.747999999999999	8.273
Clk3	32.31	27.297	34.047	24.326	34.547	28.644	33.917	27.892	34.745	27.922
Cuzd1	0.0	0.0	0.009000000000000001	0.0	0.0	0.0	0.0	0.0	0.008	0.0
Clec5a	20.5065	22.493	13.255	17.514	7.322	12.956	5.9785	7.358	2.9445	5.653
Tmem184c	9.5735	9.638	11.703	10.976	14.005999999999998	12.599	15.2325	17.207	14.102	17.417
Hist1h3a	0.0	0.0	0.149	0.0	0.0	0.0	0.126	0.0	0.29300000000000004	0.308
Nlrp1a	1.2405	1.639	0.5834999999999999	0.911	0.23450000000000004	0.235	0.1345	0.157	0.1075	0.15
Sf3a2	37.167	28.214	42.4815	33.521	67.45100000000001	47.269	75.753	60.903	82.024	63.729
Gm44	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Gpr75	0.0	0.0	0.0	0.0	0.0	0.0	0.0965	0.0	0.006	0.0
Prss44	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Thsd7a	0.0025	0.0	0.024	0.0	0.0	0.0	0.0	0.0	0.0015	0.0
AW822252	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Mir1954	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Chp1	49.6215	52.284	46.507	50.76300000000001	38.1515	44.892	33.0935	33.683	33.757000000000005	35.266
March3	0.9765	0.892	0.672	0.298	0.6325000000000001	0.443	1.099	0.797	0.971	0.7040000000000001
Heatr2	5.131	3.452	8.999	4.993	13.5325	9.951	16.175	12.938	16.011	13.693
Prl8a9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Rfwd3	5.307499999999999	3.42	5.6105	3.662	5.9925	5.4510000000000005	5.569	6.707000000000002	5.7589999999999995	6.1370000000000005
Adamts7	0.018500000000000003	0.0	0.0645	0.098	0.0145	0.066	0.0	0.0	0.0125	0.029
Vmn2r22	0.0	0.0	0.008	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Gm10007	0.0	0.0	0.0	0.0	0.353	0.0	0.0	0.0	0.0405	0.0
Cby1	4.9765	3.026	3.372	1.6980000000000002	4.2265	4.873	3.3630000000000004	3.912	4.5760000000000005	3.965
Max	73.3505	87.874	63.902	64.595	59.1565	55.136	60.18899999999999	57.42	66.699	63.675
2610005L07Rik	0.0805	0.047	0.07100000000000001	0.065	0.039	0.17600000000000002	0.135	0.014	0.052500000000000005	0.154
Smok4a	0.0	0.0	0.032	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Pgr15l	0.005	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Tmem201	4.6975	4.05	6.759499999999999	5.603	10.027999999999999	8.825	11.2495	9.824	10.665	9.873
Dsg4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.008	0.0
Phka1	0.9229999999999999	0.953	0.511	0.632	0.4515	0.579	0.363	0.5529999999999999	0.198	0.379
Nomo1	12.4465	8.198	21.477	11.249	33.8295	21.299	42.0215	34.385	45.9615	35.29400000000001
Etnk1	33.010000000000005	32.834	30.2405	32.866	35.41699999999999	33.138000000000005	36.2755	44.39100000000001	36.793	43.802
Pink1	82.9595	64.559	61.479	53.597	45.493	53.169	44.8305	39.173	46.23350000000001	39.695
Apbb1	0.342	0.36	0.239	0.0	0.0445	0.07400000000000001	0.048000000000000015	0.183	0.077	0.242
Islr	0.0	0.149	0.0195	0.062	0.0	0.0	0.0	0.0	0.0	0.0
Slc2a5	0.016	0.0	0.016	0.16899999999999998	0.019	0.091	0.0	0.0	0.027000000000000003	0.0
Mir6341	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Gm14446	15.284999999999998	7.525	6.007000000000001	8.012	3.051	3.883	3.3065	2.387	0.7454999999999999	0.649
Sema5b	0.0	0.0	0.009000000000000001	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Slc35f2	1.789	0.828	4.2055	1.858	7.957999999999999	4.2639999999999985	11.541	9.456	10.216	7.416
Ecel1	0.1635	0.0	0.0	0.0	0.0	0.07400000000000001	0.0955	0.02	0.0295	0.07200000000000001
Sfi1	13.5715	15.008	9.56	13.27	8.221	9.013	8.26	11.689	12.5305	14.444
Trim68	2.3040000000000003	1.3090000000000002	2.5455	2.298	3.1215	2.04	2.6685	2.73	3.2915	3.382
Epg5	4.919499999999998	4.816	5.861000000000001	5.377999999999999	6.6225000000000005	6.3820000000000014	6.1979999999999995	7.099	6.3145	6.109
Tnip2	8.9215	7.192	4.9915	5.987	5.7935	6.3260000000000005	6.5405	4.948	7.195	6.835
Sardh	0.0055000000000000005	0.0	0.029000000000000005	0.0	0.0475	0.0	0.027999999999999997	0.0	0.004	0.011
Slc22a8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Bsdc1	25.052	28.141	23.2585	24.76	25.256	23.697	23.6335	23.107	24.1125	26.082
Tprgl	113.715	93.395	101.06299999999999	81.25399999999998	94.8045	86.914	88.0505	74.14699999999998	85.025	72.863
Tbpl2	0.1005	0.0	0.0	0.0	0.0	0.205	0.013500000000000002	0.0	0.0	0.0
Pex3	4.114	2.781	8.2135	4.43	10.94	8.597000000000001	11.915999999999999	10.821	13.7575	11.44
Gm5095	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Snord61	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Irs4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Mir3073b	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Kbtbd8	2.105	1.239	2.935	1.474	4.711	3.0380000000000003	4.9265	3.805	4.109	3.624
Lect2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Chaf1a	2.6255	1.306	3.2145	2.136	4.6615	3.698	5.2330000000000005	4.828	7.5459999999999985	5.28
Hdgfrp2	23.8455	14.538	27.8735	14.407	31.4365	25.149	32.9915	23.873	35.8145	27.163
Pfdn4	13.046	7.358	26.01	13.377	36.744	19.996	37.6745	29.325	44.599	37.398
Satl1	0.0	0.0	0.0255	0.0	0.043	0.0	0.0	0.0	0.0	0.0
Cog7	5.039	3.088	4.436	4.796	5.28	5.207000000000002	5.602	4.475	5.795	5.619
Endog	6.064	5.461	9.7685	6.975	17.0525	7.332000000000002	18.472	15.985	20.413	11.283
Olfr345	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Mrps33	2.174	0.35700000000000004	2.3705	1.617	3.7	2.823	5.854	2.659	5.856999999999998	2.155
Ggt6	0.014	0.0	0.041	0.0	0.0	0.0	0.0115	0.096	0.0	0.0
Gm5800	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Ehf	0.317	1.082	0.21	0.58	0.17600000000000002	0.402	0.0375	0.119	0.0255	0.129
H2-Ab1	71.806	50.585	27.043000000000003	50.56	35.4375	44.659	38.1425	62.365	38.7935	60.662
C5ar2	4.76	9.533	2.733	6.902	0.5345	2.342	0.3815	0.423	0.14800000000000002	0.21
4933417O13Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Sbds	31.3945	20.785	38.6285	21.501	50.1755	34.852	55.39	44.649	61.17699999999999	44.028
Gnai1	0.0	0.0	0.0	0.0	0.0165	0.0	0.0415	0.0	0.08300000000000002	0.113
Nutf2-ps1	0.29600000000000004	0.0	0.16449999999999998	0.0	0.2535	0.5660000000000001	0.583	0.067	0.5085	0.118
Knstrn	3.002	3.369	2.1455	2.3480000000000003	2.15	2.242	1.7375	2.24	2.3930000000000002	1.832
Gm2506	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Vmn1r68	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1700093K21Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Izumo2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Tcte2	0.08800000000000001	0.0	0.0585	0.0	0.018500000000000003	0.0	0.10800000000000001	0.124	0.1125	0.0
Olfr457	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Cnp	41.9485	26.162	29.326500000000006	26.083	21.194000000000006	27.763	20.0505	20.865	15.7925	22.034
Gm10488	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Slc51b	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Gm21276	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.006	0.0
Phlpp1	15.534	13.681	11.869000000000002	11.74	12.3945	14.908	10.155	9.399	8.587499999999999	10.33
Gm19689	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Ifna15	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Nosip	21.5955	16.29	23.912	17.485	27.965	20.618	27.612	24.892	30.859500000000004	25.479
Nek10	0.0	0.038	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Cpa6	0.13699999999999998	0.76	0.055	0.036000000000000004	0.0285	0.078	0.0	0.0	0.0	0.028
Strada	8.7395	10.25	10.664000000000001	9.264	10.5645	10.72	10.163	11.076	10.811	10.887
Ephb3	0.17400000000000002	0.106	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Dennd6b	3.7935	3.585	3.592	3.519	3.8275	3.788	4.5295	5.221	4.832	4.581
Shbg	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Pdk3	17.2375	16.252	16.47	17.412	15.341	17.718	15.315999999999999	15.393	15.605	15.0
Ttbk1	0.14200000000000002	0.386	0.157	0.29100000000000004	0.1165	0.162	0.2865	0.242	0.19399999999999998	0.229
