Gene symbol	CD4TCell-iTreg reads FPKM	CD4TCell-Naive reads FPKM	CD4TCell-Th17 reads FPKM	CD4TCell-Th2 reads FPKM	CD4TCell-Th1 reads FPKM
Prodh	0.7020000000000001	0.488	0.601	0.5820000000000001	0.594
Adamts4	0.076	0.0	0.19399999999999998	0.045	0.077
Pip4k2a	59.495	52.126000000000005	22.162	24.108	26.522
Traf4	16.436	17.449	15.978	29.287	27.394000000000002
Ccdc13	0.0	0.07	0.023	0.042	0.0
Pgap2	17.408	6.886	11.837	20.267	23.434
4930556C24Rik	0.0	0.0	0.0	0.0	0.0
Uba3	12.155999999999999	13.637	21.247	43.202	29.761999999999997
Bnc1	0.0	0.0	0.0	0.0	0.0
Nctc1	0.0	0.044000000000000004	0.0	0.052000000000000005	0.027000000000000003
Gm13043	0.0	0.0	0.0	0.0	0.0
Rasd1	0.10800000000000001	0.517	0.037000000000000005	0.96	0.7340000000000001
Map3k10	5.754	3.37	6.156000000000001	6.422999999999999	7.728
Pole4	12.22	19.775	11.265999999999998	12.415999999999999	12.026
Xpnpep1	16.46	8.933	37.968	41.729	34.188
Ube2w	4.4110000000000005	4.143	4.484	4.656000000000001	5.2829999999999995
Irx4	0.0	0.0	0.023	0.042	0.043
Plcd1	0.11800000000000001	0.0	0.135	18.843	3.91
Galnt4	7.227	5.486000000000001	4.081	1.55	1.767
Il9r	1.9809999999999999	0.01	0.0	0.8590000000000001	0.055
Enthd2	11.232000000000001	11.287	8.552	4.5969999999999995	5.112
Rpl24	1.186	4.031000000000001	1.324	0.9840000000000001	1.337
Tnfaip8	9.581	14.405999999999999	11.440999999999999	70.233	42.568999999999996
C030018K13Rik	0.0	0.0	0.0	0.063	0.0
Rbm45	34.150999999999996	15.050999999999998	41.358999999999995	21.098000000000003	24.096
Ptk2b	71.06	54.282	59.562	32.641	44.385
Fras1	0.0	0.004	0.004	0.003	0.0
Olfr1297	0.0	0.0	0.0	0.0	0.0
Magea2	0.0	0.0	0.0	0.0	0.0
Lipf	0.0	0.0	0.0	0.0	0.0
Znrd1as	3.81	1.297	3.4739999999999998	4.527	4.269
Tshr	0.0	0.021	0.013999999999999999	0.0	0.0
Slc5a12	0.0	0.0	0.0	0.0	0.0
Mir3073a	0.0	0.0	0.0	0.0	0.0
Meig1	0.0	0.0	0.0	0.0	0.0
Myo9b	31.365	39.887	36.669000000000004	37.774	32.238
Zfand3	28.829	21.434	21.881	13.550999999999998	18.026
Tmem56	0.0	0.01	0.0	0.009000000000000001	0.018000000000000002
Shroom4	0.0	0.0	0.054000000000000006	0.0	0.013000000000000001
Tmem150cos	0.0	0.0	0.0	0.0	0.0
C1qtnf9	0.055	0.405	0.062	0.057999999999999996	0.11800000000000001
Rpl14-ps1	273.638	420.121	331.084	555.465	558.646
Tnfsf10	4.003	4.713	1.464	6.395	3.5439999999999996
Necab3	0.289	0.171	0.396	3.8310000000000004	2.437
Pfdn5	117.676	102.12100000000001	63.397	78.569	78.003
Podxl2	0.157	0.077	0.149	0.083	0.085
Mir6930	0.0	0.0	0.0	0.0	0.0
Sulf2	0.018000000000000002	0.024	0.142	0.044000000000000004	0.179
Vmn1r173	0.0	0.0	0.0	0.0	0.0
Ddit4l	0.025	0.0	0.0	0.0	0.040999999999999995
Fam183b	0.07	0.0	1.192	14.72	28.771
Rnase6	0.9079999999999999	0.259	0.0	0.052000000000000005	0.0
Pou1f1	0.0	0.0	0.0	0.0	0.0
Fmo3	0.0	0.0	0.0	0.0	0.0
1700113H08Rik	0.0	0.0	0.0	0.0	0.0
Otud7a	0.0	0.0	0.0	0.064	0.016
Zfp113	4.289	2.2969999999999997	3.492	2.57	2.568
Pcbp1	93.133	113.854	179.146	151.549	178.96200000000002
Mrpl41	5.58	4.079	7.542999999999999	4.343	4.822
E230019M04Rik	0.0	0.0	0.0	0.0	0.0
Mir2139	0.0	0.0	0.0	0.0	0.0
Cfhr2	0.0	0.0	0.0	0.0	0.0
Bclaf1	36.604	46.375	41.828	35.325	34.246
Lipi	0.0	0.015	0.0	0.0	0.0
Krtap4-9	0.0	0.0	0.0	0.0	0.0
Tmem9	9.987	7.96	13.26	14.623	17.803
Mir6972	0.0	0.488	0.94	0.0	0.0
Gm3448	0.0	0.0	0.0	0.14	0.0
Ugcg	100.95700000000001	84.50299999999999	72.19800000000001	37.813	37.187
D430042O09Rik	6.449	2.8289999999999997	4.548	4.419	5.115
Rev3l	11.977	14.144	10.042	7.932	7.733
Picalm	34.775999999999996	43.625	102.22200000000001	40.464	52.778999999999996
Gjb2	0.013999999999999999	0.038	0.0	0.023	0.0
Hdhd2	7.06	5.445	8.21	8.838	8.961
Glra2	0.0	0.0	0.0	0.02	0.021
Ide	12.417	12.520999999999999	25.285	14.077	19.153
Wnt6	0.0	0.015	0.057	0.0	0.0
Defb38	0.0	0.0	0.0	0.0	0.0
Cxcl3	0.0	0.0	0.0	0.054000000000000006	0.0
Yod1	3.467	5.612	3.2230000000000003	3.468	3.2119999999999997
Serinc2	0.037000000000000005	0.0	0.0	0.03	0.03
Gm5294	0.0	0.0	0.0	0.0	0.0
Lonrf3	0.63	0.042	0.91	4.06	1.8980000000000001
Chil4	0.0	0.0	0.0	0.037000000000000005	0.075
Tada1	17.111	12.459000000000001	17.017	15.981	15.765999999999998
Ak7	0.259	0.03	0.193	0.125	0.091
Cyp4f39	0.027000000000000003	0.012	0.159	0.529	0.927
Vkorc1	3.866	8.605	8.531	13.4	14.49
Pklr	0.026000000000000002	0.046	0.134	0.062	0.021
4932412D23Rik	0.0	0.0	0.013999999999999999	0.0	0.0
Ldlrad3	0.124	0.047	0.152	0.113	0.14400000000000002
Treh	0.0	0.032	0.0	0.0	0.0
Tbc1d2	0.145	0.079	0.083	0.9490000000000001	0.523
Gdf5	0.0	0.0	0.0	0.024	0.0
Actrt2	0.0	0.0	0.0	0.0	0.0
Rdh18-ps	0.0	0.0	0.0	0.015	0.0
Stag2	39.657	36.391	44.943999999999996	55.522	47.792
Gm4224	0.0	0.0	0.0	0.0	0.0
Spink13	0.08800000000000001	0.0	0.0	0.0	0.0
Poc1b	10.104	6.039	9.28	10.523	8.991
Rbbp8	2.55	2.752	9.338	13.32	9.432
Arfgef1	25.776999999999997	23.753	30.381999999999998	25.366999999999997	32.562
Rnf145	72.58800000000001	54.769	72.282	54.403999999999996	46.269
2410007B07Rik	0.23600000000000002	0.03	0.0	0.0	0.0
Dppa2	0.0	0.048	0.184	0.114	0.028999999999999998
Kcna7	0.05	0.053	0.051	0.126	0.096
Cep170	4.314	2.354	15.376	21.404	16.771
Mcc	0.084	0.012	0.008	0.0	0.0
Ddx58	12.078	31.324	6.017	6.056	8.657
Pdia6	25.458000000000002	24.415	65.025	89.314	81.88
Pxylp1	1.7269999999999999	9.985	3.338	5.638999999999999	7.29
Piwil4	0.026000000000000002	0.0	0.0	0.0	0.0
Epm2aip1	11.472000000000001	15.165	12.495999999999999	20.639	16.697
Wdsub1	2.963	1.3159999999999998	3.785	3.8310000000000004	5.231
Olfr109	0.0	0.0	0.0	0.0	0.0
Vmn1r132	0.0	0.0	0.0	0.0	0.0
4921524L21Rik	0.0	0.021	0.0	0.11199999999999999	0.0
Xrcc3	7.547999999999999	5.582000000000001	7.0489999999999995	9.441	7.602
Dlgap1	0.033	0.040999999999999995	0.067	0.156	0.085
Cep97	26.996	13.15	33.821	15.036	18.092
Baz2a	56.678999999999995	47.782	31.855	34.23	36.845
1700054A03Rik	0.0	0.04	0.0	0.0	0.0
Rpain	14.085999999999999	8.961	12.498	14.94	14.390999999999998
Terf2	23.818	16.644000000000002	21.199	19.165	18.544
Nudt18	6.081	2.783	4.055	4.921	5.742000000000001
Gm14405	0.0	0.0	0.0	0.0	0.0
Tnfsf9	1.61	1.455	6.142	6.062	6.546
Ctbs	3.3710000000000004	1.46	4.6610000000000005	3.909	4.645
Olfr819	0.0	0.0	0.0	0.0	0.0
Cd2ap	11.112	18.64	11.322000000000001	10.308	11.05
Nfat5	23.098000000000003	16.924	15.308	25.291999999999998	23.434
Rif1	7.275	18.426	13.039000000000001	17.729	13.085
Hbb-b2	0.0	0.0	0.095	0.0	0.0
Mir143	0.0	0.0	0.0	0.0	0.0
Thyn1	19.176	11.805	18.649	20.26	28.42
Sprr2a1	0.0	0.009000000000000001	0.0	0.0	0.0
Ppa2	10.084	8.371	12.317	13.772	12.725999999999999
Asf1b	5.193	2.489	30.011	42.162	21.93
Lace1	1.746	1.575	2.016	1.9380000000000002	1.796
Asb11	0.0	0.0	0.0	0.0	0.0
Olfr449	0.0	0.0	0.0	0.0	0.0
Lyrm7	0.94	1.2590000000000001	0.7090000000000001	1.291	1.187
Fam83c	0.0	0.0	0.025	0.0	0.024
Amer2	0.03	0.0	0.0	0.024	0.0
Cep164	8.19	9.369	4.821000000000001	4.113	6.372000000000001
Cep162	3.247	2.6439999999999997	4.511	4.815	5.207000000000001
Hsf2bp	2.059	0.14	1.825	0.501	1.178
Ifnl2	0.12	0.107	0.20600000000000002	0.0	0.48700000000000004
Olfr524	0.0	0.09699999999999999	0.18600000000000003	0.0	0.0
Hmgb3	1.256	3.347	3.5060000000000002	3.44	2.3169999999999997
Taar2	0.0	0.0	0.0	0.0	0.0
Mapk12	0.424	0.934	0.34700000000000003	2.844	1.345
Ube2g1	13.097999999999999	13.061	15.549000000000001	16.722	17.662
Mirlet7e	0.0	0.0	0.644	0.598	0.0
G630055G22Rik	0.0	0.0	0.0	0.0	0.042
Nek11	0.0	0.012	0.0	0.0	0.022000000000000002
Nell1os	0.0	0.0	0.0	0.0	0.0
Smox	29.899	5.4670000000000005	62.788999999999994	44.724	51.665
Nrl	0.0	0.0	0.0	0.0	0.0
Tmem123	50.0	54.538999999999994	54.71	45.957	71.72399999999999
Mir7236	0.0	0.0	0.0	0.0	0.0
Mepce	34.019	34.259	23.359	16.084	15.829
C920021L13Rik	0.36200000000000004	0.054000000000000006	0.138	0.319	0.163
Ccdc142	8.148	7.808	3.534	1.588	1.96
Zscan10	0.391	1.3880000000000001	0.36200000000000004	0.336	0.21100000000000002
Nepn	0.0	0.017	0.0	0.0	0.0
Ly6g5c	0.078	0.069	0.133	0.0	0.0
Snx11	11.357999999999999	7.406000000000001	6.087000000000001	3.3739999999999997	4.913
Ptp4a1	0.512	5.385	1.021	0.7879999999999999	0.735
Tmem64	14.293	15.638	12.809000000000001	37.479	19.955
Bspry	0.12	0.124	0.376	1.935	2.3280000000000003
Ccl5	0.526	0.0	0.563	0.209	18.336
Col1a2	0.013999999999999999	0.0	0.012	0.0	0.011000000000000001
Map3k9	0.662	1.023	0.14	0.462	0.5870000000000001
4930558G05Rik	0.0	0.0	0.0	0.0	0.0
Col26a1	0.0	0.0	0.0	0.08199999999999999	0.25
Ppm1k	4.913	5.692	4.856	4.865	6.98
Ube2m	40.966	29.234	56.581	56.983000000000004	61.503
Hepacam	0.011000000000000001	0.03	0.0	0.179	0.127
Il1rapl2	0.0	0.0	0.0	0.0	0.0
Mir6376	0.0	0.0	0.0	0.0	0.0
Phlda2	0.0	0.084	0.0	0.075	0.077
Cmklr1	0.012	0.011000000000000001	0.501	0.0	0.0
Arid4b	18.317999999999998	21.237	17.476	14.169	14.127
Olfr262	0.0	0.0	0.0	0.0	0.0
Prdm14	0.08	0.036000000000000004	0.138	0.0	0.022000000000000002
4933400B14Rik	0.0	0.0	0.0	0.0	0.0
Klk1b11	0.0	0.0	0.0	0.0	0.0
U2af1	5.942	13.981	7.595	6.622999999999999	6.189
Satl1	0.0	0.0	0.0	0.0	0.0
Stk38l	1.9780000000000002	2.418	7.597	3.862	8.056000000000001
Speer7-ps1	0.0	0.0	0.0	0.0	0.0
C1qtnf6	2.378	0.125	1.607	3.656	4.842
Pi4ka	27.991	23.605	30.29	32.966	25.574
Uchl4	3.5239999999999996	3.8989999999999996	5.2139999999999995	2.753	3.048
Sugp2	13.095999999999998	14.602	12.418	16.492	12.624
B3gat1	0.0	0.0	0.0	0.0	0.0
Scrn1	0.0	0.0	0.0	0.0	0.063
Mir183	0.0	0.0	0.0	0.0	0.0
Tuba3a	0.484	0.737	0.868	1.392	1.531
Zfp82	3.728	4.439	3.332	4.143	4.57
Dmr	0.0	0.0	0.0	0.08199999999999999	0.0
Sprtn	14.54	12.884	11.573	9.232999999999999	10.29
Gm16845	7.18	4.3	5.103	4.056	4.715
2310042E22Rik	0.0	0.0	0.0	0.043	0.0
Pax7	0.0	0.0	0.0	0.0	0.0
Actl9	0.0	0.023	0.0	0.0	0.0
Rasl10a	0.0	0.027999999999999997	0.107	0.05	0.203
Gm6408	0.0	0.0	0.0	0.0	0.0
Fstl4	0.011000000000000001	0.02	0.172	0.373	0.07200000000000001
Ucma	0.0	0.0	0.0	0.0	0.0
Wdfy3	0.005	0.006	0.004	0.004	0.0
D630029K05Rik	0.114	0.17300000000000001	0.139	0.23199999999999998	0.395
Rax	0.021	0.0	0.071	0.132	0.0
Qtrt1	9.624	13.807	8.237	5.043	7.367999999999999
Il15	0.027000000000000003	0.024	0.0	0.0	0.0
Gm14499	0.0	0.0	0.0	0.0	0.0
1110059E24Rik	7.716	7.76	12.998	21.469	17.587
Trim33	13.718	14.181	11.4	8.934	10.115
Ear4	0.0	0.0	0.0	0.0	0.0
Wdr37	13.329	16.767	11.550999999999998	11.815999999999999	11.81
Coa6	13.908	9.152000000000001	8.273	10.219	9.826
Ly96	0.83	0.284	0.547	0.812	0.517
Olfr1112	0.0	0.0	0.0	0.0	0.059000000000000004
Cpsf7	41.086000000000006	43.619	26.055999999999997	23.375999999999998	19.63
Zfp266	9.982000000000001	9.557	16.121	17.472	15.635
Snrnp27	20.858	13.624	26.471999999999998	34.611999999999995	35.419000000000004
Cdk8	8.238999999999999	10.76	9.585	9.906	10.687000000000001
Git1	25.443	16.75	21.113000000000003	17.83	14.9
Tprgl	93.125	61.82899999999999	41.803000000000004	23.479	30.912
Igsf23	1.87	13.431	1.883	31.029	10.663
A330035P11Rik	0.9590000000000001	0.261	0.21899999999999997	0.22399999999999998	0.621
Sult6b1	0.523	0.33	0.17300000000000001	0.295	0.21899999999999997
AF067061	0.0	0.0	0.0	0.0	0.0
Ptgis	0.0	0.018000000000000002	0.0	0.0	0.0
9430018G01Rik	0.008	0.008	0.0	0.013000000000000001	0.055
Smtnl1	0.0	0.0	0.034	0.0	0.032
Olfr734	0.0	0.0	0.0	0.0	0.0
Gm15319	0.0	0.0	0.0	0.0	0.0
Wfdc21	0.0	0.0	0.0	0.0	0.0
Kctd18	15.325999999999999	8.351	9.457	6.691	7.359
Klrd1	3.509	8.597999999999999	20.783	0.128	0.98
2900092D14Rik	0.0	0.0	0.021	0.0	0.0
Gm10560	0.124	0.146	0.494	4.846	3.9389999999999996
Chic2	34.11	24.156999999999996	21.46	17.441	18.185
Zfp160	7.957999999999999	3.8139999999999996	7.085	5.678	6.542999999999999
Usp12	14.037	17.773	11.242	10.026	10.102
F10	0.0	0.012	0.024	0.0	0.0
Sptssb	0.0	0.0	0.0	0.0	0.0
Arrdc3	8.677999999999999	6.343	6.65	7.847	8.411
Mir1191b	1.214	0.0	0.0	0.0	0.0
Sync	0.733	1.0590000000000002	0.321	0.785	0.359
Rpl37a	30.090999999999998	5.757000000000001	21.274	32.985	29.964000000000002
Tmem119	0.0	0.015	0.0	0.318	0.027000000000000003
Fgf22	0.0	0.063	0.0	0.0	0.0
Celrr	0.0	0.0	0.0	0.0	0.0
Sord	0.9390000000000001	1.012	4.006	8.001	7.757999999999999
1700125H20Rik	0.0	0.032	0.0	0.0	0.0
4933405D12Rik	0.0	0.0	0.0	0.07200000000000001	0.0
Ang3	0.0	0.0	0.0	0.0	0.0
Gm6150	0.0	0.0	0.0	0.0	0.019
Aida	6.867000000000001	6.117000000000001	6.374	6.638999999999999	8.374
H2-M10.4	0.0	0.0	0.0	0.0	0.0
Zmym6	11.140999999999998	8.547	10.205	8.65	10.033999999999999
Mir1a-2	0.0	0.0	0.0	0.0	0.0
Eif2s1	12.347999999999999	17.002	19.515	17.052	19.364
Gucy1a2	0.003	0.0	0.0	0.008	0.004
Myd88	22.423000000000002	27.853	44.72	17.456	49.247
Zfp952	8.912	7.321000000000001	5.585	4.928999999999999	5.641
Gm3415	0.0	0.0	0.0	0.0	0.0
Gm16287	0.06	0.027000000000000003	0.128	0.071	0.024
Prtn3	0.0	0.0	0.0	0.114	0.29100000000000004
Pbld2	0.519	0.28	0.054000000000000006	0.175	0.026000000000000002
Tecrl	0.0	0.013000000000000001	0.0	0.0	0.0
Azi2	20.854	24.176	12.614	12.667	16.51
Setdb2	6.057	12.378	5.752999999999999	3.883	4.479
Gm15412	0.0	0.0	0.0	0.0	0.0
Decr2	10.315	5.982	10.658	7.739	10.638
Lsm7	0.8240000000000001	0.39899999999999997	1.411	0.595	0.728
Krtap20-2	0.0	0.0	0.0	0.0	0.0
Gm1631	0.0	0.0	0.0	0.0	0.08800000000000001
Mtnr1a	0.0	0.0	0.0	0.0	0.0
Mir411	0.0	0.0	0.731	0.0	0.0
Slc17a3	0.025	0.0	0.0	0.0	0.0
Agap3	22.316999999999997	19.926	20.131	16.915	14.463
Gm1322	0.0	0.0	0.0	0.0	0.0
Mir7067	5.582000000000001	5.949	1.911	1.774	2.713
Mir383	0.0	0.0	0.0	0.0	0.0
Cdk17	39.128	37.209	41.717	43.122	41.422
Etohd2	9.687999999999999	10.056000000000001	8.452	6.6370000000000005	7.553
Apool	8.242	5.377000000000001	13.796	19.476	21.625999999999998
Epha1	0.11699999999999999	0.151	0.29100000000000004	0.304	0.552
Abl1	25.075	18.276	22.336	19.866	18.812
Itgb3bp	2.259	1.849	1.369	2.037	2.385
Ubac1	9.282	8.091000000000001	6.979	7.744	8.71
Olfr600	0.0	0.0	0.0	0.0	0.0
Triml2	0.0	0.0	0.0	0.0	0.0
5033404E19Rik	0.0	0.0	0.084	0.0	0.079
Gm14431	0.0	0.0	0.0	0.0	0.0
Slc16a1	3.873	5.831	16.582	25.408	30.3
Dcun1d3	1.844	3.39	1.815	1.931	3.9160000000000004
Gskip	9.782	3.57	9.799	9.217	9.235
Sycn	0.0	0.0	0.0	0.0	0.0
Tmem117	0.0	0.0	0.043	0.0	0.0
Gm13497	0.0	0.0	0.0	0.0	0.0
Gins1	1.358	0.627	12.183	15.198	8.539
Gata5os	0.0	0.0	0.0	0.0	0.0
Gpr165	0.0	0.0	0.0	0.035	0.0
Mir7653	6.345	0.512	2.9619999999999997	6.417000000000001	11.215
Gm20300	4.65	2.199	2.153	2.655	2.609
Efna2	0.065	0.391	0.11199999999999999	0.36200000000000004	0.21100000000000002
1110004E09Rik	7.528	7.032	10.216000000000001	9.057	10.204
Tcn2	16.57	3.63	13.56	3.168	6.294
Cotl1	346.741	247.25400000000002	259.13	180.81799999999998	198.202
Pik3c2a	9.401	7.162999999999999	13.273	11.844000000000001	13.089
Nbas	3.805	4.5169999999999995	5.697	6.897	9.113999999999999
Ttc3	23.182	14.755999999999998	21.81	22.619	30.734
P2rx2	0.036000000000000004	0.016	0.031	0.057999999999999996	0.0
Uevld	1.266	1.1640000000000001	1.9480000000000002	3.1260000000000003	2.8930000000000002
Catsperg2	0.0	0.0	0.0	0.0	0.0
Sugp1	22.250999999999998	18.935	20.816999999999997	20.491	19.605
Tiam1	7.606	0.8029999999999999	19.264	55.284	30.033
Rnmt	8.391	5.397	11.16	12.51	11.472999999999999
Cyp4f15	0.0	0.0	0.0	0.0	0.0
Psma2	55.613	58.355	76.71	74.929	92.02
Dclre1a	1.9509999999999998	0.9159999999999999	2.7560000000000002	4.8069999999999995	3.99
Tecta	0.038	0.042	0.040999999999999995	0.008	0.0
Scyl2	15.565	14.940999999999999	17.281	24.511999999999997	26.303
Muc4	0.012	0.0	0.0	0.005	0.01
Myom3	0.006	0.006	0.011000000000000001	0.01	0.0
Trdmt1	2.044	1.8980000000000001	2.867	2.096	2.436
Zfp953	3.398	1.883	3.425	2.112	2.045
Cylc2	0.0	0.0	0.0	0.0	0.0
Rxfp4	0.0	0.049	0.0	0.0	0.0
Kdelc1	1.976	1.143	4.843	6.019	5.724
Kir3dl2	0.0	0.0	0.0	0.0	0.0
Ddhd2	8.589	6.724	7.505	6.8260000000000005	7.341
Gm10445	0.0	0.0	0.0	0.0	0.07400000000000001
Nsd1	24.916	29.379	28.225	23.366999999999997	22.968000000000004
Gucy2g	0.0	0.0	0.015	0.013999999999999999	0.0
Mir23a	0.935	0.0	0.0	1.4869999999999999	1.516
Ighmbp2	4.375	4.545	3.964	3.2039999999999997	3.347
Figf	0.0	0.0	0.0	0.059000000000000004	0.03
Prl3c1	0.0	0.0	0.0	0.0	0.0
Zc3h15	24.369	31.935	30.653000000000002	31.480999999999998	33.875
Asb12	0.0	0.024	0.142	0.044000000000000004	0.045
Klk10	0.231	0.069	0.132	0.736	0.292
Mettl21c	0.064	0.171	0.0	0.0	0.052000000000000005
Acat2	3.9219999999999997	5.106	8.606	35.668	30.006
S100a7a	0.0	0.0	0.0	0.0	0.0
Cyp39a1	0.34600000000000003	0.379	0.19699999999999998	0.037000000000000005	0.075
Smg1	34.356	73.515	24.759	24.03	26.426
Snx14	14.981	11.579	27.372	10.619000000000002	18.977
Dot1l	17.555999999999997	22.070999999999998	28.061999999999998	34.418	34.72
Dkk3	0.35200000000000004	0.0	0.0	0.0	0.0
Olfr761	0.0	0.0	0.0	0.0	0.0
Gm5126	0.0	0.027999999999999997	0.0	0.0	0.0
Gm9855	1.0070000000000001	2.427	1.8259999999999998	2.9330000000000003	2.427
Pomt1	3.655	2.445	5.917999999999999	9.42	7.542000000000001
Mir6971	8.374	5.452999999999999	5.733	4.436	1.8090000000000002
Mirlet7i	0.0	0.366	0.0	0.0	0.6679999999999999
Scg2	0.0	0.0	0.0	0.022000000000000002	0.113
Smpdl3b	1.175	0.096	0.6809999999999999	0.833	1.054
Ctdnep1	38.084	35.049	48.123999999999995	40.535	44.364
H2-L	585.318	892.23	190.61900000000003	297.204	553.607
Slc39a13	11.18	4.364	8.802	6.862	8.872
Apol7d	0.0	0.0	0.0	0.0	0.0
Olfr168	0.0	0.0	0.0	0.0	0.0
LOC171588	0.0	0.0	0.0	0.0	0.0
Mir412	0.0	0.0	0.0	0.0	0.0
Pbdc1	3.8569999999999998	4.975	7.388	8.716000000000001	7.992000000000001
2610528A11Rik	0.046	0.0	0.0	0.659	7.691
Ralgapa2	6.761	5.9239999999999995	6.05	8.619	8.533999999999999
Arhgef18	74.447	68.207	25.961	9.797	10.465
Slco1a4	0.0	0.0	0.0	0.0	0.0
Slfn5os	2.182	4.5760000000000005	0.934	0.096	0.39299999999999996
Hbs1l	19.497	19.672	20.596999999999998	22.309	23.493000000000002
Khdc1b	0.0	0.013999999999999999	0.026000000000000002	0.025	0.0
Psme1	110.581	132.674	96.912	125.648	198.415
Klra10	0.0	0.0	0.0	0.0	0.0
Dync1i2	31.814	23.84	37.867	35.204	44.95
Ablim3	0.015	0.006999999999999999	0.013000000000000001	0.0	0.012
4930529K09Rik	0.0	0.0	0.0	0.0	0.0
Slc19a3	0.0	0.0	0.04	0.019	0.019
Btbd9	6.037999999999999	3.5810000000000004	5.03	4.364	4.558
A530013C23Rik	0.033	0.028999999999999998	0.0	0.0	0.0
Xlr	0.629	0.294	0.17	0.21100000000000002	0.215
Scn5a	0.008	0.011000000000000001	0.006999999999999999	0.046	0.047
Gtf3c4	5.157	4.3919999999999995	7.206	6.228	5.317
Spata22	0.0	0.0	0.0	0.044000000000000004	0.0
Edil3	0.0	0.0	0.022000000000000002	0.0	0.011000000000000001
Serpinb9b	0.126	0.0	0.031	0.0	0.0
Hpcal4	0.0	0.0	0.23	0.18899999999999997	5.891
1110001J03Rik	6.098	9.355	5.558	15.105	12.96
Plscr2	0.0	0.016	0.157	0.0	0.059000000000000004
Oas1d	0.0	0.0	0.0	0.0	0.0
Hoxc11	0.0	0.0	0.0	0.0	0.0
Ncoa7	2.494	5.581	4.1819999999999995	11.55	14.405999999999999
Slc5a1	0.0	0.0	0.0	0.0	0.0
Cnga3	0.0	0.0	0.0	0.016	0.0
Ppm1n	0.256	0.076	0.0	0.068	0.138
Slc4a11	0.762	0.077	23.208000000000002	0.865	19.285999999999998
Phlpp1	2.395	2.051	3.339	2.423	3.391
Leprot	16.098	10.668	16.169	15.194	17.768
Vmn2r16	0.0	0.0	0.0	0.0	0.0
Glrx5	31.508000000000003	21.709	33.266999999999996	19.067999999999998	25.311999999999998
Mrps17	21.784000000000002	15.265	21.954	19.738	19.179000000000002
Il1a	0.44	0.32799999999999996	0.151	0.252	0.314
AW046200	0.695	0.185	0.7140000000000001	0.368	0.713
1010001N08Rik	0.0	0.0	0.0	0.0	0.0
Zfp541	0.0	0.027000000000000003	0.039	0.061	0.037000000000000005
Mir7055	0.0	0.0	0.0	0.0	0.0
Olfr1264	0.0	0.0	0.0	0.11900000000000001	0.0
Adora2b	0.32	0.033	0.29	10.912	5.973
Arg2	0.271	0.39299999999999996	0.168	0.11699999999999999	0.19899999999999998
Gm20751	0.027000000000000003	0.0	0.047	0.0	0.044000000000000004
Mirlet7g	0.0	0.353	0.0	0.0	0.0
Map4k2	270.41	137.452	70.206	73.819	60.498999999999995
Klra12	0.0	0.0	0.0	0.0	0.0
Tbc1d9b	20.258	14.362	24.418000000000003	17.262	23.243000000000002
Mir653	0.0	0.0	0.0	0.0	0.0
Mir1264	0.0	0.0	0.0	0.0	0.0
Rps8	90.829	214.90900000000002	148.42700000000002	178.77200000000002	184.235
Prss27	0.121	0.0	0.052000000000000005	0.048	0.0
Cfh	0.0	0.006999999999999999	0.013999999999999999	0.0	0.0
Pstpip2	4.471	0.301	0.924	0.735	1.074
Olfr945	0.0	0.0	0.0	0.0	0.0
Heatr3	9.107000000000001	10.817	10.671	6.647	7.567
Mvp	10.384	8.936	20.129	15.125	19.194000000000003
Kctd10	43.44	26.648000000000003	39.296	25.162	33.111
Nvl	22.146	15.140999999999998	23.365	22.636999999999997	22.375
Per2	0.78	1.4969999999999999	0.489	2.612	1.8430000000000002
AW554918	2.25	3.179	1.21	1.391	1.46
Stim1	33.338	31.379	47.986999999999995	24.316	25.804000000000002
Dync2li1	0.396	0.16399999999999998	0.813	0.922	2.693
Cdk5rap2	6.718	6.044	7.315	9.273	8.587
Ppm1d	9.09	10.107000000000001	9.504	8.596	8.588
Klra2	0.0	0.0	0.0	0.0	0.0
BC052040	2.435	1.84	3.395	7.562	8.644
Btn2a2	0.036000000000000004	0.0	0.02	0.0	0.019
Gfi1	11.205	5.016	20.996	26.66	29.662
C87499	0.0	0.0	0.039	0.0	0.0
Cisd3	10.425	13.345999999999998	7.315	34.93	25.184
Olfr924	0.0	0.0	0.0	0.0	0.0
Metrn	8.646	5.776	11.482000000000001	13.417	11.57
Rpusd3	5.75	4.105	6.64	3.542	3.343
Thap11	23.393	9.863	17.339000000000002	19.469	21.093000000000004
Art5	0.16699999999999998	0.799	0.14300000000000002	0.133	0.33899999999999997
Gal3st3	0.0	0.0	0.098	0.091	0.139
Apex1	14.616	20.901	41.059	34.781	30.237
Clec2d	76.877	17.877	35.78	19.095	26.480999999999998
Zfp600	0.0	0.0	0.0	0.0	0.0
Rsph6a	0.0	0.013000000000000001	0.025	0.0	0.07200000000000001
Arf5	114.682	87.12799999999999	141.73	143.969	158.101
Dppa1	0.015	0.0	0.026000000000000002	0.0	0.0
Pias2	21.779	17.549	21.158	24.243000000000002	31.28
2610307P16Rik	0.125	0.111	0.285	0.022000000000000002	0.045
Slc35f6	5.72	4.11	4.664	2.362	3.867
Ly75	6.7989999999999995	9.658999999999999	9.458	16.065	31.313000000000002
Zbtb4	14.609000000000002	10.706	9.389	5.53	6.218999999999999
Spire2	0.06	0.027000000000000003	0.128	0.0	0.19399999999999998
