Gene symbol	mouse_spleen_and_lymph_nodes_Th0_cells	mouse_spleen_and_lymph_nodes_Th17_cells	mouse_spleen_and_lymph_nodes_exFoxp3Th17_cells	mouse_spleen_and_lymph_nodesTreg_cells
2200002D01Rik	5.52272	3.70068	10.2831	6.96558
Snrpf	1864.14	1610.87	747.312	1520.34
Sympk	229.02	121.62299999999999	138.14	124.432
Prpf38b	501.611	372.418	511.94699999999995	333.065
1110049F12Rik	262.145	304.248	386.05300000000005	257.26
Tmprss6	9.25655	10.3613	17.1772	7.06348
Wdr73	142.842	100.323	92.7434	82.145
Wdr73	72.4338	76.0109	67.4585	71.8136
0610010K14Rik	288.45099999999996	179.959	176.75099999999998	247.646
Cds1	0.406737	0.935682	5.41665	1.23451
Gm608	261.08	184.67	271.177	251.217
Zc3h6	69.6311	82.6679	93.4068	53.6949
Fam173b	69.9918	91.4389	85.2266	63.0043
1500001M20Rik	183.97299999999998	163.921	159.981	183.696
Syce1	5.29821	3.9941400000000002	8.765089999999999	7.014010000000001
2810029C07Rik	2.31003	1.45145	5.2523800000000005	1.0828799999999998
Zfp687	44.1349	26.9516	38.2156	41.5718
Pdcd11	108.177	145.924	91.2686	95.3204
Tysnd1	98.5059	57.5164	59.0069	47.867
Tysnd1	21.1675	15.4518	11.6097	13.8473
Chd2	302.262	263.93	355.05699999999996	265.836
Hddc3	15.2743	16.0928	19.315	11.0199
2610044O15Rik	62.5689	46.4448	58.3671	51.6335
Mir17hg	165.377	132.023	30.6099	167.137
Sdr39u1	7.03835	1.29531	5.22506	12.0932
Rftn1	292.356	451.555	330.54699999999997	409.769
Dpp8	133.813	99.0932	224.331	167.88
Dpp8	27.3233	21.6622	40.6465	29.7519
Sms	11.2515	16.3669	26.0739	22.3356
P2ry13	1.34607	8.14509	2.23103	4.6904900000000005
Pvrl4	0.352907	0.678265	7.66039	6.745439999999999
Ddx28	78.7511	82.9537	98.7309	69.8711
1700012B07Rik	0.578825	1.16619	1.08146	0.762736
Zfp661	12.8777	15.6543	22.2333	11.3896
1700007K13Rik	5.08016	11.2974	4.7147	7.62485
Cenpv	54.8967	91.4797	81.6743	101.931
Ptms	99.0011	52.8826	105.21799999999999	77.4715
Ptms	123.573	64.2424	111.088	127.475
Mrpl24	819.4689999999999	759.48	1147.71	616.239
Rit1	32.5706	22.5946	38.9285	33.5208
Mon1b	24.6168	14.9746	21.3793	37.0532
Mon1b	118.48299999999999	96.5308	117.426	69.7282
Gins2	176.021	179.28099999999998	117.46	278.19599999999997
Pgrmc2	251.64	216.32	175.727	275.467
Gfpt1	244.502	424.355	336.61800000000005	484.66
Pex1	91.7222	100.97200000000001	94.637	93.9422
Scrn1	14.0317	1.1754200000000001	1.41565	2.5786700000000002
Scrn1	5.13052	1.3403	6.5661	8.21343
2010309G21Rik /// Igl-C2	1.66662	13.0435	2.30072	1.88155
2010309G21Rik /// Igl-C2 /// Igl-C3	0.509029	0.44698000000000004	2.80534	0.220746
Klhl28	308.033	245.325	319.525	303.927
Ckmt2	4.6954400000000005	0.12278499999999999	0.7059979999999999	0.214692
2310047M10Rik	78.6478	71.0762	104.985	62.2562
Pcf11	80.8668	100.275	96.3201	73.2945
Pias2	95.3069	104.10799999999999	158.68	88.0388
Thumpd2	58.1674	30.5129	49.1827	30.5151
Cep192	364.83099999999996	268.905	244.144	316.395
Ddx51	52.75	62.9492	50.3536	51.1783
Krit1	203.787	100.825	222.558	107.90700000000001
Krit1	176.93099999999998	84.2626	195.514	108.868
Usp54	13.0923	12.4206	9.74036	18.4386
1700008J07Rik	33.3457	28.3777	32.433	23.6413
Gngt2	30.9621	53.3664	49.2891	28.9952
3200002M19Rik	41.6407	22.8861	16.048	33.6228
Cd69	323.675	737.7130000000001	131.003	317.252
Gramd3	613.856	307.067	598.586	98.0857
Gramd3	184.545	106.148	172.22799999999998	47.7803
D14Ertd449e	451.524	425.02099999999996	827.7639999999999	633.248
Enho	1.12655	0.59463	0.459171	5.17685
Pigt	75.8623	49.961000000000006	51.1662	36.9706
Elavl4	2.9337	0.991978	2.88841	1.34276
Fbxo45	38.7087	34.323	30.3775	47.9178
Bri3bp	116.573	136.735	97.0575	127.01299999999999
Bri3bp	287.329	304.447	218.65099999999998	216.213
2310003L22Rik	85.1308	81.249	107.176	106.73200000000001
Trnau1ap	136.409	166.51	148.85299999999998	159.082
Trnau1ap	200.565	303.786	224.833	248.237
Zfp826	145.393	63.0038	115.425	88.6373
Dmxl2	5.706169999999999	8.43315	7.660819999999999	3.1133900000000003
Cdc42ep2	2.3748099999999996	1.6545299999999998	1.04806	2.42692
Pacrg	3.5587800000000005	0.205587	3.9568800000000004	0.926016
Slc5a11	1.3796899999999999	5.56278	2.1222	1.89355
Dgcr6	44.5025	46.7728	71.6249	62.5352
Trmt6	171.771	257.18	171.99599999999998	195.52
Creb1	364.705	259.686	388.17699999999996	311.757
Aasdhppt	115.75399999999999	158.968	146.349	130.22899999999998
Aasdhppt	201.043	243.543	250.921	240.42
Tmem86a	21.3569	7.79533	38.3146	21.5896
Cwc25	86.5316	89.7662	80.9827	74.6199
Snapc3	104.90100000000001	122.219	163.946	123.554
Snapc3	98.5981	60.3199	110.193	41.803999999999995
Tab3	109.838	101.79799999999999	150.721	133.362
Smug1	67.455	49.8083	59.913000000000004	52.0138
Meg3	2.50665	7.5861	1.39339	5.04432
Meg3	0.64428	3.48221	6.41348	0.9828889999999999
Rnmtl1	54.5861	56.2847	36.0405	56.9594
Gsdmd	43.2175	47.3345	86.4221	83.3722
Pan3	348.596	205.05200000000002	359.13199999999995	196.484
Tatdn3	29.2251	41.8942	87.6648	40.6001
Dip2a	4.016430000000001	15.7641	12.979000000000001	20.3541
Klhdc10	14.8942	30.8587	22.6649	19.8812
Xpot	120.59700000000001	317.948	230.66299999999998	200.638
Bcor	184.579	145.83700000000002	197.52	190.99200000000002
Gpc6	5.8221099999999995	0.686758	6.662160000000001	5.07634
1110008L16Rik	25.7016	75.3427	58.9218	33.972
Slc10a6	12.1678	8.5731	8.861410000000001	6.79585
Spred1	12.2568	15.409	5.527430000000001	11.6456
Sfi1	13.385	9.498339999999999	22.6107	11.8076
Zbtb41	83.1889	80.9051	100.28	74.8453
Tha1	86.4248	57.7004	54.7575	74.5988
Dmkn	0.49295600000000006	0.613883	0.860823	5.45306
Uqcrc1	901.2339999999999	812.395	700.1189999999999	1021.96
Prkar2a	103.116	157.252	112.447	129.61
Gmip	136.09	89.5735	133.55100000000002	124.146
Amotl1	20.1906	18.9751	21.151999999999997	29.3611
Nckap1l	553.544	470.658	735.148	420.45
Nckap1l	316.659	299.139	317.464	270.96
Pgp	293.637	200.37	129.16	350.01099999999997
Ralgps2	95.4218	59.2704	111.167	49.4347
Nfam1	1.72219	1.51336	1.6155899999999999	1.55998
Ube2h	186.41299999999998	132.615	371.784	99.71799999999999
Bcas1	19.5507	14.5426	30.6725	27.4945
Slc36a1	85.1245	51.9412	80.4384	61.5199
Specc1	4.84213	45.5357	32.4945	15.0386
1110021L09Rik	4.8064800000000005	0.51783	1.22886	1.21793
Bbx	129.041	154.864	193.94	131.866
Setd6	157.871	158.751	35.5065	173.408
Setd6	142.135	100.288	37.5974	119.82700000000001
Lca5	136.471	45.9422	35.3448	96.6808
Pus7l	117.23100000000001	119.609	135.47299999999998	68.8715
Mgat3	5.4525	5.40332	6.1028	9.15397
Mgat3	0.23653200000000002	2.17142	3.4220599999999997	3.24015
Acot6	17.9706	20.0079	14.4531	11.8904
Mfap3l	0.5961529999999999	1.9282400000000002	0.791447	2.14846
Slc35e3	60.0797	76.4885	100.759	48.1901
Csnk1g1	219.114	346.598	384.0	225.358
Pabpc6	0.380338	0.303056	0.39867600000000003	0.241852
Prickle2	5.6708300000000005	1.1198	1.1391799999999999	8.71669
1810010H24Rik	5.72084	1.9151799999999999	0.6312399999999999	3.75351
2700097O09Rik	67.7422	134.661	63.5181	98.9
Wfikkn2	19.5924	5.15907	13.6105	1.97741
1700040L02Rik	4.74683	3.38829	9.610710000000001	2.7135599999999998
Caly	11.7974	4.8015099999999995	9.948	11.3961
	43.597	9.96458	28.0749	16.0281
Gstt4	2.44572	0.9054049999999999	0.79973	0.962274
Gata2	0.578954	3.5301	11.2567	0.69597
Mon2	229.678	211.40599999999998	286.23	195.38
Mon2	3.17676	6.308680000000001	3.5482099999999996	5.54841
Mapre1	104.361	109.285	109.31200000000001	111.05799999999999
Mapre1	109.134	172.06900000000002	93.5554	119.684
Agpat2	58.0328	63.0253	32.0656	101.228
Snx24	4.2415199999999995	9.26995	7.55456	2.65613
Hddc2	424.779	351.39099999999996	258.819	321.98400000000004
2310003C23Rik	251.725	230.362	254.81799999999998	227.352
Nr6a1	16.3281	21.6845	17.4981	6.5405
Nr6a1	12.6776	24.9713	7.99447	10.5415
Whsc1	202.965	124.568	103.561	187.1
Rpain	173.757	196.11599999999999	216.968	196.737
Dennd1b	523.21	366.555	494.07099999999997	429.245
Atm	197.113	167.255	237.49200000000002	159.51
Senp5	102.196	180.63	129.809	121.93799999999999
1600002H07Rik	41.1016	30.2911	26.4721	59.0436
4930406D14Rik	15.7773	29.3954	44.0653	29.48
Dusp4	36.2243	615.004	1000.65	895.688
Myh14	1.1180299999999999	2.5595	3.52806	11.6878
2300009A05Rik	110.92	75.1117	133.063	97.1613
Klhl14	2.1699	5.18973	2.7979700000000003	4.09984
Dck	103.62899999999999	114.87299999999999	92.7057	139.986
Wdr53	44.776	51.9949	54.3589	63.979
Wdr53	125.23700000000001	88.0487	116.156	127.155
Best1	0.991223	0.633447	0.5243869999999999	0.7596390000000001
Ngfrap1	587.4630000000001	643.085	791.923	584.821
March5	728.862	839.7289999999999	1078.23	710.232
Bclaf1	526.569	457.94	509.11	561.736
Bclaf1	409.405	424.327	489.772	394.01099999999997
Ttc14	117.494	154.438	103.54	162.10299999999998
Macf1	737.613	308.70599999999996	657.347	329.103
Macf1	313.879	132.629	238.578	107.85700000000001
Rps6kb1	36.4578	40.3074	38.7053	25.9476
Cd99	279.395	189.93400000000003	160.116	245.19099999999997
1300014I06Rik	12.2805	8.320269999999999	15.3226	8.32264
Dock3	4.274780000000001	6.086869999999999	1.21726	6.9078100000000004
Ptch1	185.18400000000003	272.89799999999997	324.719	242.37
Tmed8	166.92700000000002	249.988	314.39799999999997	214.325
H13	1.42435	1.7320200000000001	1.44032	6.719519999999999
H13	11.3412	6.55797	8.71856	9.11239
Sap130	150.273	109.715	135.246	133.21200000000002
Wdr70	73.5375	74.2364	84.0437	101.794
Paox	136.09	120.649	151.99200000000002	101.787
4930572J05Rik	2.81966	2.0983	1.3527	1.21856
Filip1l	434.219	60.949	53.3467	78.5841
Ttc17	80.1261	45.9414	65.7792	43.0306
Ankrd39	50.213	32.5274	31.7797	32.0838
5530400B01Rik /// Dusp8	4.27578	2.72246	5.6317699999999995	3.9288199999999995
Bcl2l12	79.6383	62.2196	72.0792	72.7983
2810037O22Rik	9.96974	8.307780000000001	10.0208	1.59398
Exoc3l2	0.449585	0.615955	5.1878	3.0899900000000002
Gm9786 /// Oaz1	2791.13	2213.13	2316.62	2481.47
Nolc1	214.02700000000002	359.381	103.575	315.878
Nolc1	62.7825	62.9588	27.3113	76.71
Msl1	492.91900000000004	320.418	707.117	294.356
Msl1	304.675	104.652	303.29200000000003	159.864
Msl1	104.85799999999999	64.8871	142.079	81.4622
Fam96b	430.121	612.6669999999999	540.569	538.308
Golim4	91.6958	275.668	360.435	125.609
Srp72	523.227	873.2189999999999	896.415	535.879
Srp72	1320.68	1862.32	2119.39	1582.05
Pitpnc1	107.62100000000001	51.7239	70.8511	104.883
Pitpnc1	0.672635	0.5857020000000001	1.77925	0.9174530000000001
Sdhaf2	238.498	333.795	331.626	272.802
Klc1	111.36200000000001	89.7738	113.079	110.31200000000001
Wipi2	51.5167	109.061	88.8043	37.1678
Tmem57	176.206	301.308	368.149	192.15900000000002
Tmem57	81.738	138.513	161.965	108.527
Afmid	25.7287	9.22326	28.3095	23.5102
Rbbp5	158.061	170.283	178.828	202.62599999999998
Zfp157	10.5819	13.9203	39.3699	7.53863
Tmem33	0.34815799999999997	6.950019999999999	5.44409	2.3630400000000003
Alkbh3	300.242	219.61900000000003	246.34599999999998	234.44799999999998
Fem1c	215.136	181.02599999999998	261.038	237.68400000000003
Parm1	9.669889999999999	3.4071	4.53451	8.41473
Ppil1	429.009	346.699	156.127	596.1519999999999
Osbpl7	47.0546	34.7172	54.2345	41.7995
1300018J18Rik	145.37	76.066	96.3147	50.1917
Rftn2	4.30949	0.362249	7.13231	1.06241
Pdgfrl	10.295	6.054880000000001	3.1855599999999997	1.80303
2610029I01Rik	85.6895	182.69299999999998	207.03099999999998	184.635
Mon1a	103.021	101.809	96.7396	72.7145
Tmem182	10.0641	2.68233	6.8907300000000005	10.6685
Mett5d1	136.776	187.23	178.942	124.87
Dtwd2	41.7852	33.1148	30.8262	51.5853
Chst11	4.38549	24.2257	55.9648	25.7605
Dem1	222.831	230.74599999999998	279.672	203.136
Ammecr1l	41.2929	61.8259	65.7964	35.2217
Rraga	319.769	463.276	423.741	450.165
Gtf2h5	618.613	606.6669999999999	590.76	622.846
Rbm25	545.504	514.029	446.66	536.2230000000001
Rbm25	313.514	373.19199999999995	256.567	380.269
A130040M12Rik	3430.45	5507.57	6310.22	1939.92
2310022B05Rik	69.999	69.9645	49.7908	80.4645
Ttll4	103.5	108.28	102.21700000000001	107.99700000000001
Ttll4	11.087	3.86119	2.16938	7.271739999999999
Dnlz	103.07600000000001	147.17	115.147	104.809
Sh3pxd2a	64.0064	22.4182	23.1285	32.8639
Sirt5	76.2281	99.5087	148.194	87.4628
Sirt5	38.4004	54.4756	71.1067	53.7889
Stx17	116.84899999999999	41.888000000000005	104.837	51.3447
Scyl3	144.977	153.43200000000002	151.53	131.227
Fgfr1op	227.98	224.847	179.95	175.75599999999997
Hmg20a	229.05599999999998	88.8665	128.769	95.4726
2810021B07Rik	61.7841	34.8486	40.0446	35.399
1200009O22Rik	4.741709999999999	4.5765	0.246533	2.3866400000000003
Ppp1r3g	4.64295	7.786580000000001	2.67895	4.351430000000001
Mocs3	77.2001	77.2718	60.3425	62.5181
Senp1	38.7108	45.3463	52.1433	45.132
1110003O08Rik	48.1365	20.8627	52.2959	39.0704
Shq1	37.6508	34.2499	15.0845	34.316
Cacnb4	19.5944	3.96365	8.04593	12.1085
Slc25a26	50.5955	59.9164	50.8103	45.4423
Tmem29	48.0166	66.5401	118.762	60.756
Parp6	44.8503	36.5422	78.8538	35.525
Ttc21a	3.5421	4.11992	3.9080800000000004	9.0598
Hdac8	42.3193	61.887	79.1014	55.1162
Cmtm2b	0.61824	0.32928	1.10591	1.38163
Canx	68.997	116.75200000000001	78.6126	69.1579
Atp2b1	521.195	512.735	385.913	695.8660000000001
Atp2b1	565.722	413.63	356.19599999999997	634.307
Gnaq	26.2145	35.5239	40.9339	148.299
Gnaq	25.9869	29.9117	29.4651	144.904
Gnaq	16.6277	6.967460000000001	15.0708	38.8916
Zmym2	28.3877	51.0082	70.6835	36.8086
Mt2	31.8813	2990.19	614.364	1792.17
Nudt13	34.4033	20.5737	29.5574	28.695999999999998
Uba6	172.11700000000002	225.457	174.642	227.85
Uba6	197.59799999999998	311.89	226.77200000000002	268.32
Uba6	51.8312	57.896	50.5182	62.95
2010001M09Rik	19.9085	12.6205	12.4259	20.0106
Kcnma1	1.72442	0.23280100000000004	0.24901399999999999	2.1411700000000002
Xpot	257.41700000000003	591.783	455.827	448.134
Nol8	100.182	113.925	79.0348	100.18
Nol8	164.092	273.55400000000003	247.549	255.757
Pdia2	1.32653	7.974060000000001	1.47876	6.66527
Otud7b	57.2687	65.4625	80.9298	73.4313
Slc9a3r2	12.5019	8.51029	9.41566	1.21054
Slc9a3r2	0.990624	0.48841599999999996	1.60395	2.6996700000000002
Tmem177	10.1786	1.3492	4.978190000000001	0.8760190000000001
Tmem177	20.8215	36.4911	32.3017	39.7428
Paqr8	30.6661	122.601	102.245	33.8638
5830405N20Rik	258.30400000000003	52.5951	32.4882	104.73
Enkur	2.25687	0.19789500000000002	0.515133	0.343395
Clasrp	126.42399999999999	109.541	124.635	94.0508
1700013F07Rik	3.05681	2.00731	4.68032	0.7031430000000001
Rwdd2a	33.9404	31.5426	81.8853	44.0965
Slc25a18	7.62869	9.26351	4.15187	6.590560000000001
Ccdc54	0.161348	0.186737	0.334769	0.179025
Fam103a1	690.905	577.337	750.6089999999999	655.695
Igf1r	91.5916	247.32299999999998	483.43300000000005	104.493
Cep57	318.947	266.204	193.047	272.14599999999996
D030074E01Rik	505.967	548.336	542.024	540.154
Naa50	146.487	190.785	113.071	216.03900000000002
Ccny	433.999	452.834	637.636	409.695
Tctex1d2	7.5134	29.0767	29.6365	24.3357
Tctex1d2	11.9499	38.6439	35.681999999999995	42.4459
Lztfl1	31.4103	25.4103	44.0051	18.902
Susd3	106.84700000000001	574.158	1183.22	185.64
Tmpo	454.43	291.772	242.005	538.132
Chst8	2.0778	1.86687	3.5608	0.9435459999999999
2900009J20Rik	14.6774	11.3263	16.1933	17.1243
Mtf1	49.6207	46.6406	60.2304	45.498999999999995
Kprp	1.8747	5.04124	3.7496199999999997	5.8966400000000005
2810007J24Rik	3.94404	2.32635	1.11602	5.2979400000000005
Atad2b	573.636	566.476	1049.53	503.166
Scx	0.340325	0.737164	3.3816699999999997	5.677630000000001
1700012B09Rik	1.28985	0.887057	2.14241	1.3648799999999999
Ints12	53.4754	72.1731	96.8599	82.7393
Slc17a7	6.48038	4.70973	5.484319999999999	7.2542800000000005
Dynlrb2	7.81018	4.80235	6.49981	5.921069999999999
Abcc3	6.72319	8.99947	12.0604	10.7532
0710001D07Rik	23.0414	36.5087	43.5815	18.1058
2310047K21Rik	16.0732	12.2851	8.98701	9.72536
Hrasls	2.56268	2.91167	7.04501	4.27453
Unc13d	244.37400000000002	151.494	147.125	204.324
Ucma	10.517999999999999	5.38249	14.8971	13.3389
Ucma	0.7373069999999999	2.5274900000000002	5.68459	4.18381
Gm10345	33.3721	75.2584	76.1368	47.8114
Pdp2	62.7194	55.4876	57.3982	54.7413
Phf23	403.092	366.07	485.82199999999995	414.213
Phf3	302.639	292.743	358.82199999999995	321.442
Phf3	50.8734	31.1142	72.7481	56.8307
Phf3	142.546	122.12799999999999	175.405	116.04299999999999
Pir	1.9516900000000001	5.899380000000001	8.3699	6.50317
Snw1	599.95	557.7869999999999	608.9	631.633
Snw1	556.74	541.758	603.1990000000001	603.69
Phip	430.92800000000005	408.004	561.4119999999999	452.745
Mfhas1	1043.31	1401.32	1370.54	422.58099999999996
Atat1	12.4913	16.171	59.3578	14.015
Slc35b2	11.027999999999999	27.7019	20.4722	20.4416
1810074P20Rik	85.7133	88.93	115.4	90.0594
Snrnp70	116.884	109.21799999999999	64.5811	67.468
Snrnp70	11.9124	7.7805	1.98784	9.2915
Snrnp70	25.3398	21.2489	30.8588	7.0545
Arhgef6	524.65	455.334	620.321	368.276
Mtap7d2	6.41222	20.1396	13.7031	1.2512299999999998
Ankzf1 /// Glb1l	0.900675	8.469560000000001	4.40395	4.580769999999999
Ankzf1	9.66922	5.26755	13.5676	5.57118
Ankzf1 /// Glb1l	8.981689999999999	5.457319999999999	4.5452699999999995	6.57878
Smcr8	101.479	112.544	122.62799999999999	102.662
Hrct1	13.6444	2.30804	1.08375	4.24255
Pon2	507.189	535.341	558.845	518.065
Pon2	6.57492	4.12386	11.423	7.25822
Epha4	0.366838	3.9628	0.591653	0.581331
Adcyap1r1	0.650544	1.34235	1.31114	1.47845
Hepacam	1.60416	0.359047	1.78846	4.26716
Rbm20	7.74384	6.77331	18.6493	6.62657
Hexim2	14.008	31.2413	28.019000000000002	11.1568
Hexim2	33.2437	42.5939	43.3138	31.4304
Snord123	1.88858	2.48867	1.9430599999999998	5.22994
Dock11	2446.02	1214.07	1619.68	1587.44
Sgms2	5.78461	6.7047	2.81395	2.1619599999999997
C1qtnf7	0.40580900000000003	0.601866	3.2673099999999997	0.8492190000000001
4833408D11Rik /// LOC100503722	190.66	215.237	245.417	137.537
Micalcl	4.48991	1.63505	5.55738	5.6686
Gcc1	85.023	92.9068	107.39200000000001	96.1126
Eme2	23.3279	23.8355	21.0032	18.6906
Dpep3	7.5705800000000005	4.65651	6.585380000000001	1.4929700000000001
Otop3	0.412815	1.77853	7.525589999999999	0.45625299999999996
1700019A02Rik	3.4452300000000005	4.35988	0.6877260000000001	3.5890699999999995
Dda1	177.584	167.649	115.10799999999999	138.687
Dda1	145.369	140.89600000000002	173.074	136.869
6820431F20Rik	141.865	165.824	210.393	127.931
2610005L07Rik	86.6806	95.5481	69.3651	68.3954
Tmem167b	99.7791	105.835	155.107	92.4033
Smndc1	287.272	523.763	419.084	517.0409999999999
Camsap1l1	115.22	185.945	203.986	204.702
Smurf2	159.845	202.967	273.64099999999996	152.27200000000002
Smurf2	23.8137	32.0692	50.4103	23.6479
Rtf1	492.741	351.51800000000003	499.841	362.07099999999997
Bloc1s2	556.659	694.248	824.8910000000001	558.179
Nuak2	19.1987	14.5955	9.7557	42.3104
Chic2	395.662	373.783	739.2130000000001	382.991
Sox11	9.28158	1.11276	1.8513	3.6907400000000004
Ptprd	6.80928	3.89143	5.1259	1.9870400000000001
1110012J17Rik	7.4272800000000005	0.690454	7.68889	4.82412
Mrpl47	302.232	310.85900000000004	278.402	310.895
4930506M07Rik	2.09574	0.202991	4.38316	19.1983
Naa16	238.815	344.88300000000004	360.00699999999995	243.588
Naa16	220.38299999999998	557.141	476.871	330.202
Tmem107	296.39799999999997	318.024	84.4351	352.408
Tmem107	50.6492	44.3846	22.6768	62.2975
Malat1	156.41	116.009	181.66299999999998	98.6867
1810063B05Rik	50.45399999999999	40.166	19.7351	29.9432
Kif16b	47.7877	61.8267	66.7863	45.9951
Kif16b	154.054	153.934	188.833	145.714
Dip2c	55.0614	87.9752	145.127	47.8609
Ikbip	23.6633	68.9211	65.5836	47.0435
4930565B19Rik	36.9061	22.5594	40.6053	24.7523
Capns2	0.744161	1.34693	0.523871	0.790553
2810488G03Rik	17.4341	9.87998	25.3656	11.7658
LOC100503928 /// Stub1	27.724	17.3756	27.0033	17.3133
Naif1	37.0822	17.9778	31.9725	18.1469
Me3	11.8589	5.3597	2.98148	2.82993
Col6a4	0.46732299999999993	1.22354	0.434159	0.476066
2210015D19Rik	9.19036	14.1349	10.1008	11.9222
1700026D08Rik	2.4114	3.98677	0.53354	3.21683
1700018B08Rik	10.9751	9.617360000000001	3.37508	6.72708
Gdpd2	0.8075140000000001	4.35468	1.1219299999999999	1.35418
Rpl21	6789.56	5366.68	6290.8	5015.43
Cops7a	32.1285	36.097	29.4994	33.9823
2310045N01Rik	290.58099999999996	275.78700000000003	384.79900000000004	233.137
Mphosph10	158.82299999999998	260.657	135.17600000000002	211.25599999999997
Gcc2	410.915	325.887	321.126	372.583
Ankle2	93.1163	92.5245	98.7889	104.604
Agl	7.9958	25.1132	14.9903	19.2568
Vezf1	77.9455	51.1422	72.4612	47.3324
Vezf1	845.6519999999999	693.314	1004.51	701.444
Gm16136 /// Grhl2 /// LOC100503499	8.15292	3.64529	9.80177	14.9626
1110054O05Rik	45.5489	39.4637	34.2183	51.5405
Lbh	50.2715	24.0778	54.3061	39.7345
2900026A02Rik	1.9446700000000001	6.07951	19.2008	48.8652
Ggct	13.1263	6.05699	1.5461799999999999	12.7761
1600002K03Rik	129.875	92.8277	89.1723	84.71799999999999
Vkorc1l1	107.20299999999999	138.336	105.625	132.32
Ddi2	111.56	201.25900000000001	358.62300000000005	112.427
Ddi2	35.5563	61.6087	75.4119	35.8957
Cenpp	238.77200000000002	148.408	141.971	243.93
2810455D13Rik	51.9026	45.8482	53.3863	33.9708
Rnf150	14.075999999999999	14.6159	36.2884	12.1878
Nhej1	45.6314	17.9835	27.6636	17.5807
Duxbl /// Gm10394	0.652933	0.551383	1.7062099999999998	4.59172
2010109K11Rik	71.8114	186.61700000000002	53.8755	116.959
Zfp697	1.0186600000000001	0.64373	0.735436	3.24421
Arrdc5	3.3472699999999995	2.7109799999999997	4.57828	7.22421
Tomm22	799.7639999999999	788.053	692.071	791.071
Limd2	2079.09	960.051	1954.54	854.679
Dlgap1	0.657935	0.444255	1.60303	0.83854
4921509J17Rik /// Hspa4l	39.4957	54.9157	78.8232	50.3686
Ubr3	104.11	108.92200000000001	100.949	72.8339
Msl2	137.662	110.28	119.95100000000001	120.50399999999999
Msl2	520.976	410.38800000000003	595.4209999999999	564.456
Nsun4	71.0321	96.7614	113.162	56.625
Tln2	8.927	7.58555	12.5927	6.783339999999999
Tln2	0.7177279999999999	0.38792600000000005	4.9106	0.576307
2900092E17Rik /// Prrt2	38.1964	18.3951	93.8565	21.2083
Sestd1	32.7748	106.84100000000001	569.788	26.7358
2010003O02Rik /// LOC100504309	147.599	102.94	106.64200000000001	102.788
Slc17a5	87.9322	82.6613	172.89700000000002	56.4461
Tradd	39.9708	22.1936	28.9247	40.753
Gin1	47.7818	26.1748	33.8405	48.9439
Iah1	444.255	306.024	351.17900000000003	331.615
Lnp	6.51356	15.0251	16.302	16.6809
Spopl	60.6569	63.3142	77.1652	68.7408
1700040I03Rik	145.12	99.619	55.2996	146.85299999999998
Rab27a	390.68800000000005	240.459	349.88199999999995	425.25
Rexo1	139.875	109.057	94.3042	116.226
Ggnbp1 /// Zbtb9	116.148	117.374	144.739	97.63
2600001M11Rik /// Nudt5	64.1378	86.2846	67.9946	72.6669
Nradd	26.8512	15.8499	15.19	30.0645
Nfkb2	31.18	38.9945	77.7408	41.9728
Lrrcc1	39.5337	49.5049	158.719	38.2941
Ttc25	0.698861	1.0457100000000001	2.32059	0.523342
Ube2v2	36.671	32.7445	31.1923	26.1836
Ube2v2	0.574924	0.27528800000000003	0.310958	0.319194
Nxnl2	9.68266	11.8834	17.5505	24.5915
Hivep3	30.0558	20.4067	25.5846	31.9455
1110059M19Rik	6.37155	0.999603	0.704569	4.86273
1700052K11Rik	29.1644	46.036	44.2253	24.399
2810422O20Rik	100.03399999999999	69.5247	85.2658	70.8615
Npas3	0.5905630000000001	3.1872	4.403969999999999	0.866577
Otud7b	59.893	34.8273	51.1529	22.561
Spns3	17.9557	7.47955	3.5833199999999996	19.5719
Neurl2	1.46203	16.2642	26.209	15.4135
1700012A03Rik	4.38232	0.347984	3.74989	1.21936
Tekt3	7.413310000000001	0.878498	3.26478	0.890812
Gpcpd1	334.44699999999995	179.321	284.501	164.391
Nhlrc2	217.615	162.615	160.066	234.982
Svip	8.263910000000001	8.95928	23.1057	16.4535
Gas2	9.938930000000001	5.09992	3.6565	7.61103
Nfic	1.4813399999999999	0.5248689999999999	0.691947	7.6144
Gins3	98.9547	77.4124	34.2131	111.90299999999999
Ccdc77	185.18599999999998	78.8009	83.8113	88.1727
Dcaf7	687.893	661.327	629.721	607.9830000000001
Zkscan1	97.4721	140.27700000000002	153.03	106.469
6530406A20Rik	42.2302	18.6492	47.2977	31.5799
Slc35f2	16.8459	24.0065	10.8686	24.535
4933411K20Rik	199.49900000000002	208.28599999999997	320.332	192.60299999999998
Cenpw	538.246	219.11900000000003	98.8225	551.981
Hhipl2	1.56575	0.42771899999999996	9.35082	1.57875
Fbxo28	118.75	103.277	81.6172	109.635
Itih5	435.398	25.5426	13.7222	1255.1
Mtif3	87.6166	65.3838	104.83	55.5919
Arv1	50.6037	46.4954	39.2772	43.1886
1500015A07Rik	86.9415	45.9762	62.4409	42.3467
Dchs1	1.22882	3.09175	4.09195	9.46785
Prss36	16.5409	23.4242	10.7323	16.5703
3110001I22Rik	108.945	106.535	70.9503	108.34100000000001
Clmn	5.08997	4.4217699999999995	3.14376	2.30615
Ccdc112	6.47981	16.4323	18.9667	0.612059
