sequence_identifier	chr_name	start	end	strand
NM_001102678	chrX	28931806	28953701	1
NM_001102678	chrX	29977283	29999178	0
NM_001102678	chrX	30330712	30352642	0
NM_001102678	chrX	30820527	30842468	1
NM_001102678	chrX	35068384	35090313	0
NM_001102678	chrX	35405187	35427090	0
NM_001103152	chrY	13253391	13254829	0
NM_001103152	chrY	17966160	17967598	0
NM_001103153	chr6	41442213	41445096	1
NM_001103156	chr5	5664828	5693088	1
NM_001103157	chr5	5664828	5693088	1
NM_001103158	chr4	145671697	145704437	0
NM_001103162	chr9	110334288	110384949	0
NM_001103165	chr15	102471632	102500059	0
NM_001103166	chr15	102471632	102500059	0
NM_001103168	chr9	21062392	21066092	1
NM_001103171	chr11	60470339	60528368	0
NM_001103177	chr19	57033263	57196630	1
NM_001103178	chr19	57033263	57118023	1
NM_001103179	chr16	96001547	96081427	1
NM_001103181	chr17	6107830	6240637	0
NM_001103182	chr1	180642150	180690687	0
NM_001103199	chr4	112804615	113285972	1
NM_001103365	chr10	130446198	130454893	1
NM_001103366	chr10	130471820	130496378	1
NM_001103367	chrX	161718036	161779494	0
NM_001103368	chr10	79149816	79194933	0
NM_001104525	chr19	39842659	39885768	1
NM_001104529	chr1	92974119	92986391	0
NM_001104530	chr11	46437947	46442721	0
NM_001104531	chr15	82389153	82393021	1
NM_001104537	chr10	79469958	79492154	0
NM_001104539	chr17	17704941	17734167	0
NM_001104540	chr17	18086057	18136643	0
NM_001104541	chr17	18152930	18185178	0
NM_001104542	chr17	18299281	18326441	0
NM_001104543	chr17	18243569	18276565	1
NM_001104547	chr17	18582727	18598157	0
NM_001104549	chr17	18915322	18948071	0
NM_001104550	chr17	19054493	19081311	0
NM_001104551	chr17	19363135	19394590	0
NM_001104556	chr11	46437961	46442721	0
NM_001104557	chr11	46437947	46442721	0
NM_001104562	chr17	19505811	19532060	0
NM_001104563	chr17	19578231	19612317	0
NM_001104564	chr17	19661399	19694748	0
NM_001104565	chr17	19774363	19812536	0
NM_001104566	chr17	20029424	20047204	1
NM_001104567	chr17	20208229	20233871	1
NM_001104568	chr17	20267546	20284429	1
NM_001104569	chr17	20346425	20375772	0
NM_001104570	chr17	20462372	20480235	1
NM_001104571	chr17	20540516	20563755	1
NM_001104572	chr17	20573828	20595258	1
NM_001104573	chr17	22547940	22572272	1
NM_001104575	chr17	22602148	22619133	0
NM_001104578	chr17	22944184	22958814	0
NM_001104579	chr17	23344977	23360128	0
NM_001104580	chr17	23385803	23401864	0
NM_001104581	chr17	23459674	23478596	1
NM_001104582	chr17	55592340	55623671	1
NM_001104591	chr17	57508782	57544313	1
NM_001104592	chr3	64116431	64136479	1
NM_001104614	chr3	64258960	64286416	1
NM_001104615	chr3	64388620	64409056	1
NM_001104616	chr9	52048150	52088738	0
NM_001104617	chr9	52048941	52075177	0
NM_001104618	chr3	64490820	64506684	1
NM_001104619	chr3	64537560	64558817	1
NM_001104620	chr5	108797192	108807753	1
NM_001104621	chr5	108842946	108851509	1
NM_001104622	chr5	109046872	109058451	1
NM_001104623	chr5	109085848	109096863	1
NM_001104624	chr5	109156067	109191106	1
NM_001104625	chr5	109215501	109223621	1
NM_001104626	chr5	109286268	109296555	1
NM_001104627	chr5	109331381	109364481	0
NM_001104628	chr5	109421013	109453387	0
NM_001104632	chr6	123309333	123336537	0
NM_001104634	chr6	123385261	123417060	1
NM_001104635	chr6	123492507	123532405	1
NM_001104637	chr6	123609757	123649634	1
NM_001104638	chr6	123703821	123742239	0
NM_001104639	chr6	123779971	123816280	0
NM_001104641	chr6	123822813	123852189	1
NM_001104642	chr6	124191595	124230783	1
NM_001104644	chr7	12581469	12605543	1
NM_001104645	chr7	12651705	12683990	1
NM_001104646	chr13	14631245	14638202	0
NM_001104648	chr7	12693997	12732104	1
NM_001104927	chr4	96444587	96506385	1
NM_001104946	chrX	26200882	26230322	1
NM_001105055	chr7	41836880	41871669	1
NM_001105056	chr7	42011791	42057980	1
NM_001105057	chr7	42117471	42195776	0
NM_001105058	chr7	42261053	42300755	0
NM_001105059	chr7	42764437	42792495	1
NM_001105060	chr7	42903250	42932788	1
NM_001105061	chr7	43019798	43048106	0
NM_001105062	chr7	7383984	7398626	1
NM_001105063	chr7	7463968	7478972	1
NM_001105065	chr7	7550966	7565785	1
NM_001105066	chr7	7671828	7688397	1
NM_001105067	chr7	7786150	7818866	1
NM_001105068	chr7	7876652	7901461	1
NM_001105070	chr7	9074795	9096764	1
NM_001105071	chr7	9014749	9029681	1
NM_001105072	chr7	8907733	8930401	1
NM_001105073	chr7	8137904	8160550	1
NM_001105074	chr7	8367459	8382237	1
NM_001105075	chr7	8471468	8487958	1
NM_001105076	chr7	9485564	9500499	1
NM_001105076	chr7	9754635	9769570	1
NM_001105151	chr7	8010338	8034142	1
NM_001105151	chr7	8801137	8824684	1
NM_001105151	chr7	9547710	9571253	1
NM_001105151	chr7	9816781	9840324	1
NM_001105152	chr7	9927623	9952584	1
NM_001105156	chr7	9976244	9991138	1
NM_001105159	chr5	145558663	145583729	1
NM_001105160	chr5	146080258	146113283	0
NM_001105178	chr7	10037234	10052177	1
NM_001105179	chr7	10087197	10104658	1
NM_001105180	chr7	84940168	84963008	1
NM_001105181	chr7	85221517	85236703	1
NM_001105182	chr7	85406375	85414675	1
NM_001105183	chr7	85558702	85568087	1
NM_001105184	chr7	85616462	85624547	0
NM_001105185	chr7	85737783	85753980	1
NM_001105186	chr7	85857546	85874937	1
NM_001105187	chr7	85951866	85960481	1
NM_001105188	chr7	86796141	86812032	0
NM_001105189	chr7	86916349	86955177	0
NM_001105190	chr7	86997465	87037968	0
NM_001105191	chr7	10158651	10175285	1
NM_001105196	chrX	7763661	7775202	0
NM_001105197	chrX	7764943	7775202	0
NM_001105201	chr19	37686680	37693307	0
NM_001105245	chrX	133582860	133687992	1
NM_001105246	chrX	133582860	133687992	1
NM_001105252	chr7	118598297	118675085	0
NM_001105254	chr12	88175588	88180893	1
NM_001105557	chr10	82224855	82240274	1
NM_001105561	chr11	94755135	94760181	1
NM_001105667	chr1	93792575	93800933	1
NM_001109040	chr15	90933274	91048950	1
NM_001109041	chr15	90933274	91048950	1
NM_001109042	chr15	90933274	91048950	1
NM_001109043	chrX	72988339	73031543	0
NM_001109045	chr7	123463294	123468003	0
NM_001109626	chr11	98204305	98253540	0
NM_001109628	chr11	98204305	98253540	0
NM_001109657	chr11	67587500	67688992	0
NM_001109661	chr4	32418435	32586108	0
NM_001109684	chr4	142139239	142209207	1
NM_001109685	chr4	142139239	142238400	1
NM_001109686	chr2	24790768	24918608	1
NM_001109687	chr2	24790768	24918608	1
NM_001109688	chr6	143010919	143099151	1
NM_001109690	chr2	92222562	92364666	0
NM_001109691	chr2	92186483	92364666	0
NM_001109743	chr18	76857405	76900342	0
NM_001109745	chr6	87842614	87850105	1
NM_001109746	chr6	87842614	87850105	1
NM_001109747	chr10	30196008	30199539	1
NM_001109748	chr7	19701312	19714428	1
NM_001109749	chr6	105678745	106699305	0
NM_001109750	chr16	17840355	17890727	1
NM_001109751	chr6	106119765	106674270	0
NM_001109752	chr11	70019605	70045531	0
NM_001109753	chr7	75114894	75307385	1
NM_001109756	chr8	88283992	88329962	0
NM_001109757	chrX	106028224	106128160	0
NM_001109758	chr3	87992513	87999355	1
NM_001109759	chr1	191162583	191163816	1
NM_001109761	chr2	120477909	120504919	0
NM_001109764	chr6	76881636	77978666	1
NM_001109765	chr7	4120533	4136241	0
NM_001109873	chr8	122625135	122677174	1
NM_001109897	chr7	102084116	102096864	0
NM_001109902	chr5	118190735	118244024	1
NM_001109905	chr2	166947548	166995298	1
NM_001109906	chr2	166947548	166995298	1
NM_001109909	chr5	137295703	137306673	1
NM_001109910	chr5	137295703	137306673	1
NM_001109913	chr17	33646232	33684457	1
NM_001109914	chr6	134983001	134986836	0
NM_001109969	chrX	24948455	24970356	1
NM_001109969	chrX	27472037	27493910	1
NM_001109969	chrX	27577079	27598980	1
NM_001109969	chrX	27924020	27945884	1
NM_001109969	chrX	28270696	28292600	1
NM_001109969	chrX	28584995	28606870	1
NM_001109969	chrX	28931807	28953670	1
NM_001109969	chrX	29977314	29999177	0
NM_001109969	chrX	30330743	30352641	0
NM_001109969	chrX	30820528	30842437	1
NM_001109969	chrX	35068415	35090312	0
NM_001109969	chrX	35405218	35427089	0
NM_001109970	chrX	24948451	24970387	1
NM_001109970	chrX	27472033	27493941	1
NM_001109970	chrX	27577075	27599011	1
NM_001109970	chrX	27924016	27945915	1
NM_001109970	chrX	28270692	28292631	1
NM_001109970	chrX	28584991	28606901	1
NM_001109970	chrX	28931803	28953701	1
NM_001109970	chrX	29977283	29999181	0
NM_001109970	chrX	30330712	30352645	0
NM_001109970	chrX	30820524	30842468	1
NM_001109970	chrX	35068384	35090316	0
NM_001109970	chrX	35405187	35427093	0
NM_001109971	chr11	16501637	16507483	1
NM_001109972	chr11	16501637	16507483	1
NM_001109973	chr17	47815327	47833690	1
NM_001109975	chr18	60600205	60609103	1
NM_001109985	chr1	170317495	170588848	1
NM_001109988	chr18	33437018	33463028	1
NM_001109989	chr18	33437018	33462698	1
NM_001109991	chr10	77052178	77112704	1
NM_001109992	chr5	121130532	121190396	1
NM_001109993	chr2	25620065	25621004	1
NM_001109995	chr11	102838471	102879974	1
NM_001110009	chr7	19689479	19691658	1
NM_001110013	chr10	100443901	100486346	1
NM_001110015	chr18	32838225	32866420	0
NM_001110016	chr18	32838225	32866349	0
NM_001110017	chr16	48924227	48993111	1
NM_001110100	chr8	121951492	122029260	0
NM_001110101	chr17	34982854	34985893	0
NM_001110129	chr4	119306289	119319522	1
NM_001110130	chr4	119311312	119319522	1
NM_001110131	chr7	25283179	25294148	0
NM_001110132	chr7	25283179	25294148	0
NM_001110133	chr11	23516202	23518941	1
NM_001110140	chr5	122456323	122501224	1
NM_001110142	chrX	38531620	38575195	1
NM_001110145	chr2	69862562	69871846	0
NM_001110146	chr1	150449411	150465164	1
NM_001110147	chr16	32645643	32683493	0
NM_001110148	chr11	49245191	49263024	0
NM_001110149	chr11	49248477	49263024	0
NM_001110150	chr11	49251552	49263024	0
NM_001110152	chr2	170512230	170519070	0
NM_001110159	chr2	148673641	148676026	0
NM_001110160	chr6	48555799	48570722	0
NM_001110162	chr14	67676353	67714609	1
NM_001110192	chr1	87621312	87720510	0
NM_001110193	chr1	87621312	87720510	0
NM_001110195	chr10	29314166	29346661	0
NM_001110196	chr10	29344175	29361441	1
NM_001110197	chr10	29344175	29361441	1
NM_001110198	chr10	29344175	29361441	1
NM_001110201	chr7	29239323	29247532	0
NM_001110202	chr12	70244534	70346613	1
NM_001110203	chr12	70263731	70346613	1
NM_001110204	chr2	58446437	58565827	1
NM_001110205	chr2	58446437	58565827	1
NM_001110208	chr7	27592560	27639453	0
NM_001110209	chr2	74514836	74577947	1
NM_001110211	chr11	54978961	55032470	1
NM_001110212	chr1	87327998	87450810	0
NM_001110214	chr2	3425131	3461116	0
NM_001110216	chr15	103191545	103214351	1
NM_001110218	chr10	122679762	122945793	0
NM_001110222	chrX	143855841	143932123	1
NM_001110223	chrX	143855841	143932218	1
NM_001110224	chrX	143855841	143932218	1
NM_001110227	chr1	87386283	87393728	1
NM_001110228	chr2	6539698	6883995	1
NM_001110229	chr2	6539698	7080301	1
NM_001110230	chr2	6539698	7080301	1
NM_001110231	chr2	6539698	7395197	1
NM_001110232	chr2	6539698	7394999	1
NM_001110233	chrX	136271253	136271978	0
NM_001110234	chrX	136271253	136271978	0
NM_001110239	chr12	30893325	30910611	1
NM_001110240	chr4	86983125	87226962	1
NM_001110242	chr11	120099934	120100424	0
NM_001110250	chrX	24948450	24970359	1
NM_001110250	chrX	27472033	27493913	1
NM_001110250	chrX	27577075	27598983	1
NM_001110250	chrX	27924015	27945887	1
NM_001110250	chrX	28270692	28292603	1
NM_001110250	chrX	28584990	28606873	1
NM_001110250	chrX	28931803	28953673	1
NM_001110250	chrX	29977311	29999181	0
NM_001110250	chrX	30330740	30352645	0
NM_001110250	chrX	30820524	30842440	1
NM_001110250	chrX	35068412	35090316	0
NM_001110250	chrX	35405215	35427093	0
NM_001110251	chr9	44336347	44341380	1
NM_001110252	chr7	31098724	31114325	1
NM_001110253	chr9	123789499	123850898	1
NM_001110254	chr17	22846696	22866133	1
NM_001110265	chr9	83835689	83869493	0
NM_001110266	chr17	46016992	46024162	1
NM_001110267	chr17	46016992	46024162	1
NM_001110268	chr17	46016992	46024162	1
NM_001110271	chr9	106440050	106446677	1
NM_001110272	chr9	106440050	106446677	1
NM_001110273	chr18	78146143	78178171	1
NM_001110274	chr18	78183240	78205439	1
NM_001110275	chr16	91730371	91871655	0
NM_001110276	chr16	91730371	91832352	0
NM_001110300	chr9	21295456	21311332	1
NM_001110305	chr9	21229729	21238331	1
NM_001110306	chr9	21229729	21238331	1
NM_001110307	chr9	21229729	21238331	1
NM_001110309	chr9	20468548	20491745	1
NM_001110310	chrX	101211960	101221562	1
NM_001110311	chrX	101097785	101221562	1
NM_001110315	chr1	93015454	93100873	1
NM_001110316	chr7	11398915	11402318	0
NM_001110320	chr4	43447723	43453625	1
NM_001110321	chr4	43447723	43453625	1
NM_001110322	chr4	43447723	43453625	1
NM_001110323	chr6	130218830	130232321	1
NM_001110327	chr5	9118867	9160775	1
NM_001110328	chr7	5007055	5013696	1
NM_001110329	chr7	5007055	5013727	1
NM_001110330	chr7	5007055	5012241	1
NM_001110331	chr13	34977747	34993143	1
NM_001110337	chr11	114852532	114872617	0
NM_001110338	chr11	114852540	114869096	0
NM_001110350	chr9	57077376	57128368	0
NM_001110351	chr9	57073040	57128368	0
NM_001110496	chr2	120355308	120403115	1
NM_001110497	chr2	120355308	120403115	1
NM_001110498	chr16	91373783	91394043	0
NM_001110499	chr11	50293956	50324672	1
NM_001110500	chr11	50293956	50324672	1
NM_001110504	chr19	5988544	6014824	1
NM_001110505	chr3	113555951	113576749	1
NM_001110506	chr6	115810728	115837411	1
NM_001110508	chr8	26978336	26981462	0
NM_001110512	chr2	70964561	71017373	1
NM_001110513	chr2	130296939	130370481	0
NM_001110515	chr13	34163964	34178172	0
NM_001110516	chr4	156246965	156254337	1
NM_001110517	chr19	34592887	34598426	1
NM_001110555	chr13	21806411	21809198	1
NM_001110555	chr13	21834743	21837530	0
NM_001110778	chr11	102762439	102780262	0
NM_001110779	chr5	88269919	88282835	0
NM_001110780	chrX	20860510	20919917	1
NM_001110783	chr8	22975836	23150497	0
NM_001110784	chrX	73086292	73096094	1
NM_001110791	chr19	6364690	6378038	0
NM_001110794	chr14	20455260	20479132	1
NM_001110796	chr5	14515918	14796042	0
NM_001110807	chr7	28882656	28893585	0
NM_001110809	chr3	88044106	88055994	0
NM_001110824	chr17	47867132	47923631	1
NM_001110825	chr17	47867132	47923631	1
NM_001110826	chr9	44605892	44640731	0
NM_001110827	chr15	77078989	77306052	1
NM_001110828	chr15	77078989	77152811	1
NM_001110829	chr15	77078989	77152811	1
NM_001110830	chr15	77078989	77152811	1
NM_001110831	chr1	75308564	75316636	1
NM_001110832	chr17	48386884	48408819	1
NM_001110843	chr5	15935691	16374511	0
NM_001110844	chr5	15935691	16374511	0
NM_001110845	chr5	15935691	16374511	0
NM_001110846	chr5	15935691	16374511	0
NM_001110849	chr2	101714284	101837979	1
NM_001110850	chr18	3266353	3326590	1
NM_001110851	chr18	3294165	3336588	1
NM_001110852	chr18	3294165	3336588	1
NM_001110853	chr18	3266353	3298555	1
NM_001110854	chr18	3266353	3280746	1
NM_001110855	chr18	3266353	3280746	1
NM_001110856	chr18	3266353	3326590	1
NM_001110857	chr18	3266353	3326590	1
NM_001110858	chr18	3266353	3326590	1
NM_001110859	chr18	3266353	3326590	1
NM_001111015	chr6	115135902	115282626	0
NM_001111016	chr7	48960073	49610088	0
NM_001111017	chr17	6040570	6078738	1
NM_001111021	chr16	92601465	92825073	1
NM_001111022	chr16	92601465	92825073	1
NM_001111023	chr16	92601465	92696328	1
NM_001111025	chr16	32084415	32098726	1
NM_001111026	chr4	13744302	13895055	0
NM_001111027	chr4	13752297	13895055	0
NM_001111028	chr14	67717098	67742310	0
NM_001111029	chr2	127575534	127583676	1
NM_001111030	chr2	58267452	58356757	1
NM_001111037	chrX	11300257	11299757	0
NM_001111037	chrX	11309760	11309260	0
NM_001111043	chr7	99345374	99352238	1
NM_001111044	chr7	99345374	99352238	1
NM_001111048	chr3	83027153	83033617	0
NM_001111049	chr7	141468362	141471481	0
NM_001111050	chr7	141469789	141471481	0
NM_001111051	chr3	55462758	55539068	0
NM_001111052	chr3	55462758	55539068	0
NM_001111053	chr3	55243526	55471317	0
NM_001111058	chr7	43527455	43532170	1
NM_001111059	chr1	194939821	194961292	0
NM_001111060	chr2	104096801	104115410	0
NM_001111062	chr16	18406881	18425715	1
NM_001111063	chr16	18406881	18412493	1
NM_001111065	chr10	18056940	18125155	0
NM_001111066	chr8	70528743	70535328	0
NM_001111073	chr7	31032722	31040838	1
NM_001111075	chr2	131187948	131198511	0
NM_001111076	chrX	21026183	21061037	1
NM_001111078	chr17	56305313	56323486	0
NM_001111079	chr17	56304337	56323486	0
NM_001111080	chr17	56305313	56323486	0
NM_001111094	chr17	34378132	34386028	0
NM_001111096	chr4	3679121	3791612	0
NM_001111099	chr17	29091986	29100722	0
NM_001111100	chr19	34492315	34526473	1
NM_001111102	chr3	88483204	88502351	1
NM_001111106	chr6	97183815	97204641	1
NM_001111107	chr13	23353102	23368207	1
NM_001111110	chr13	24328404	24477289	0
NM_001111111	chr7	101289615	101301087	1
NM_001111118	chr12	11457079	11462928	0
NM_001111119	chr14	50789248	50794727	1
NM_001111121	chr10	70098121	70193200	0
NM_001111140	chr19	10455370	10456446	1
NM_001111141	chr8	124898886	124903813	0
NM_001111142	chr17	46255165	46257316	0
NM_001111143	chr3	107211294	107220731	1
NM_001111145	chr9	65362060	65380377	0
NM_001111267	chr10	30645581	30654866	1
NM_001111268	chr10	49099462	49787753	1
NM_001111272	chr1	16228809	16518301	1
NM_001111274	chr10	87862111	87937047	0
NM_001111275	chr10	87860056	87937047	0
NM_001111276	chr10	87862111	87937047	0
NM_001111277	chr4	117020408	117086852	0
NM_001111279	chr1	79702261	79760768	1
NM_001111286	chr9	78311971	78313047	1
NM_001111288	chr15	89371636	89372817	1
NM_001111289	chr2	103762944	103796077	1
NM_001111290	chr2	103762944	103796077	1
NM_001111291	chr2	103767106	103796639	1
NM_001111292	chr2	103767106	103796077	1
NM_001111293	chrX	73149841	73158399	0
NM_001111296	chr7	13796245	13836409	1
NM_001111304	chr8	83166352	83272940	0
NM_001111311	chr1	91054444	91117322	0
NM_001111312	chr1	90999727	91128944	0
NM_001111314	chr1	87476828	87572869	1
NM_001111316	chr1	138062858	138174125	1
NM_001111317	chr19	6081038	6080785	0
NM_001111318	chr8	47823143	47822805	0
NM_001111320	chr1	65158615	65185478	1
NM_001111324	chr13	41309915	41486359	1
NM_001111331	chr2	127456497	127481498	1
NM_001111336	chr3	98445683	98456030	1
NM_001111336	chr3	98499079	98509471	1
NM_001111336	chr3	98552550	98562942	1
NM_001112697	chr19	8665005	8683602	0
NM_001112698	chr3	102470919	102521013	0
NM_001112699	chr11	118164165	118247591	1
NM_001112700	chr11	118164165	118211741	1
NM_001112701	chr7	45806636	45813315	1
NM_001112702	chr1	135800511	135810989	0
NM_001112703	chr2	31689537	31804362	0
NM_001112705	chr11	105182527	105283959	0
NM_001112711	chr13	55446331	55460927	0
NM_001112714	chr12	55602889	55820515	1
NM_001112715	chr7	140969076	140969827	0
NM_001112721	chr15	37967327	38077853	1
NM_001112722	chr4	140514484	140664904	1
NM_001112723	chr4	140514484	140647755	1
NM_001112725	chr11	61209742	61218416	0
NM_001112731	chr7	27690340	27706482	0
NM_001112735	chr14	70154404	70158501	1
NM_001112738	chr2	10056030	10079509	1
NM_001112739	chr7	46397468	46438704	0
NM_001112744	chr4	154278469	154298894	1
NM_001112796	chr6	149409984	149563326	0
NM_001112798	chr17	81373104	81737386	1
NM_001112805	chr7	6364308	6382605	0
NM_001112813	chr11	94408390	94473197	1
NM_001113179	chr2	127800199	127830858	1
NM_001113180	chr9	4417892	4795233	1
NM_001113181	chr9	4478262	4795233	1
NM_001113187	chr1	21384556	21386384	0
NM_001113188	chr3	34021079	34069344	0
NM_001113189	chr3	34021079	34069344	0
NM_001113198	chr6	97808058	98021358	0
NM_001113199	chr10	128036346	128048637	0
NM_001113204	chr9	49502145	49798068	1
NM_001113208	chr16	81201697	81624287	0
NM_001113209	chr4	82290172	82504778	1
NM_001113210	chr4	82290172	82504778	1
NM_001113211	chr10	127678065	127701047	0
NM_001113213	chr2	29890720	29931746	0
NM_001113214	chr2	29890720	29922538	0
NM_001113238	chr3	87436782	87500678	0
NM_001113246	chr2	73610659	73774345	1
NM_001113248	chr8	72724270	72739914	0
NM_001113283	chr9	74954053	75032468	0
NM_001113323	chr9	26817952	26859822	1
NM_001113325	chr11	57012618	57330244	0
NM_001113326	chr8	39581699	39641677	1
NM_001113327	chr6	42315304	42323639	1
NM_001113330	chr7	15865946	15871384	1
NM_001113331	chr3	89422621	89430029	0
NM_001113346	chr8	69907068	69973382	1
NM_001113350	chr8	18932728	18949974	1
NM_001113351	chr17	5976586	6044290	0
NM_001113352	chr17	5942280	6039390	0
NM_001113353	chr17	5942280	6039390	0
NM_001113354	chrX	151521672	151633857	0
NM_001113355	chr10	62454842	62485597	1
NM_001113356	chr6	124571430	124581044	0
NM_001113358	chr14	54235484	54252928	1
NM_001113360	chr4	154983114	155009983	1
NM_001113362	chr5	36490603	36585225	1
NM_001113364	chr5	36490603	36529622	1
NM_001113367	chr1	55300068	55361706	1
NM_001113368	chr7	25516041	25539003	1
NM_001113369	chr7	25516041	25539003	1
NM_001113373	chr7	144176520	144422675	0
NM_001113374	chr13	114819237	114829420	0
NM_001113375	chr13	114819237	114829420	0
NM_001113379	chr7	98495222	98501830	0
NM_001113383	chr1	52185280	52232231	1
NM_001113384	chr8	93811838	93960694	0
NM_001113385	chr10	39968152	39985645	1
NM_001113386	chr15	7130572	7185343	0
NM_001113387	chr1	66924295	66934365	1
NM_001113388	chr10	39958060	39985645	1
NM_001113389	chr16	94571907	94695519	0
NM_001113391	chr1	165789681	165862112	0
NM_001113392	chr1	165789681	165871153	0
NM_001113393	chr1	165789681	165871153	0
NM_001113395	chrY	2600099	2599434	0
NM_001113395	chrY	2720338	2719673	1
NM_001113399	chr2	77410626	77702271	1
NM_001113400	chr2	77410626	77518665	1
NM_001113401	chr16	36792883	36827258	1
NM_001113404	chr12	91401993	91522541	0
NM_001113405	chr16	36792883	36807704	1
NM_001113406	chr16	89570175	89570182	1
NM_001113408	chr19	46032600	46044210	1
NM_001113412	chr4	95558507	95926939	0
NM_001113413	chr3	57737066	57835233	0
NM_001113414	chr7	137193670	137313444	1
NM_001113415	chr7	137193670	137313444	1
NM_001113416	chr1	119594823	119647999	1
NM_001113417	chr14	17661960	18038088	0
NM_001113418	chr15	85736564	85806851	0
NM_001113419	chr3	67893220	68626482	0
NM_001113420	chr3	68065802	68626482	0
NM_001113421	chr3	68065802	68626482	0
NM_001113423	chr5	72915362	72978841	0
NM_001113424	chr6	149157576	149187711	1
NM_001113460	chr5	72755717	72867447	1
NM_001113461	chr5	72755717	72867447	1
NM_001113464	chr5	72755717	72867447	1
NM_001113468	chr7	7231326	7246327	1
NM_001113470	chr10	126979717	126999975	0
NM_001113471	chr7	79721163	79731775	1
NM_001113474	chr7	4007072	4062203	1
NM_001113478	chr3	116860567	116903750	0
NM_001113481	chr6	82916374	82938749	1
NM_001113486	chr11	117200661	117362325	0
NM_001113487	chr11	117267246	117362325	0
NM_001113488	chr11	117333313	117362325	0
NM_001113514	chr9	118712692	118901003	0
NM_001113515	chr15	97975601	98003723	1
NM_001113517	chr8	11729105	11827152	0
NM_001113518	chr8	11759330	11835217	0
NM_001113527	chr7	78915235	78920396	0
NM_001113529	chr3	107741047	107759468	1
NM_001113530	chr3	107745594	107759468	1
NM_001113532	chr17	12971019	12991258	1
NM_001113533	chr17	12966798	12991258	1
NM_001113545	chr15	99778467	99874455	1
NM_001113549	chr7	27305140	27332647	1
NM_001113550	chr13	119463759	119486117	0
NM_001113553	chr6	113639467	113695027	0
NM_001113554	chr15	44375226	44427306	1
NM_001113556	chr17	48151895	48166256	1
NM_001113558	chr2	4977122	4985748	0
NM_001113559	chr6	143828424	144208567	1
NM_001113560	chr17	30592861	30611658	1
NM_001113562	chr19	43754023	43768638	0
NM_001113563	chr11	100780730	100849584	1
NM_001113564	chr6	67267979	67289302	0
NM_001113565	chr6	67267979	67289302	0
NM_001113566	chr6	67267979	67289302	0
NM_001113569	chr2	32787606	32846236	1
NM_001113573	chr2	27445580	27474672	1
NM_001113574	chr2	27445580	27474672	1
NM_001113734	chrX	79623230	79634581	1
NM_001113735	chr4	143512312	143517833	0
NM_001113735	chr4	143536954	143542471	0
NM_001113735	chr4	143552700	143558236	0
NM_001113736	chr4	143512312	143517833	0
NM_001113736	chr4	143536954	143542471	0
NM_001113736	chr4	143552700	143558236	0
NM_001114079	chr2	164026224	164050538	0
NM_001114084	chrX	100525838	100546108	0
NM_001114085	chr16	14164275	14192923	0
NM_001114087	chr13	55506772	55512445	1
NM_001114088	chr13	55497486	55512445	1
NM_001114096	chr10	128460236	128490174	0
NM_001114097	chr10	128460236	128490174	0
NM_001114098	chr17	66336981	66448749	1
NM_001114102	chr1	57393320	57405673	1
NM_001114116	chr7	44385126	44400030	0
NM_001114119	chr9	108518087	108560167	0
NM_001114124	chr2	35622981	35730994	0
NM_001114125	chr2	35559458	35730994	0
NM_001114131	chr17	65784355	65841926	0
NM_001114140	chr15	82808625	82911133	1
NM_001114153	chrX	37639111	37642469	1
NM_001114157	chrX	37657687	37667763	1
NM_001114174	chr19	23972749	24030018	1
NM_001114179	chrX	136981115	136992031	1
NM_001114311	chr8	47180047	47288401	1
NM_001114312	chr19	58973357	59075068	1
NM_001114322	chr7	141269084	141275785	1
NM_001114328	chr9	72986504	73013938	0
NM_001114332	chr10	40033534	40141253	1
NM_001114333	chr10	10686058	11081330	1
NM_001114334	chr11	86499010	86543806	1
NM_001114339	chr19	34806935	34878454	1
NM_001114347	chr9	113742473	113919697	0
NM_001114361	chr17	83351931	83480359	0
NM_001114362	chr17	83351931	83480359	0
NM_001114383	chrX	148883576	148924139	0
NM_001114385	chrX	143285673	143393261	1
NM_001114386	chr18	64888756	65217826	0
NM_001114399	chr4	126861819	126966922	1
NM_001114400	chrX	148664604	148703849	0
NM_001114400	chrX	149785479	149984982	0
NM_001114529	chrX	11328822	11328151	0
NM_001114541	chr2	130417683	130423640	1
NM_001114545	chr5	117415002	117767988	0
NM_001114595	chr19	5707373	5725316	1
NM_001114596	chr19	5707373	5725316	1
NM_001114597	chr19	5707373	5725316	1
NM_001114609	chr1	63047800	63113266	1
NM_001114611	chr16	37107309	37383957	1
NM_001114612	chr16	37107309	37383957	1
NM_001114613	chr16	37107309	37383957	1
NM_001114637	chr2	120028483	120032604	0
NM_001114660	chr5	74204815	74530741	1
NM_001114662	chr1	132036782	132067061	1
NM_001114663	chr1	55406946	55754285	0
NM_001114664	chrX	152145268	152225237	0
NM_001114665	chr3	122538718	122618713	1
NM_001114678	chrX	91393500	91393534	0
NM_001114678	chrX	91481126	91481160	0
NM_001114679	chr11	48946149	48978380	1
NM_001114754	chrX	26912743	26934668	1
NM_001114879	chr14	27429847	27483554	0
NM_001114977	chr9	95456893	95510995	1
NM_001115010	chr5	100442034	100497572	1
NM_001115018	chr7	4741127	4747514	0
NM_001115074	chr1	119923518	119994209	1
NM_001115075	chr17	36986854	36988503	1
NM_001115077	chr4	144372759	144376932	1
NM_001115085	chr7	143070368	143071087	0
