Transcript/RepeatID (cmd=analyzeRepeats.pl rna mm10 -strand both -count exons -d ../tag-dirs/AND-CD4TCell-RNA-0-1uM-PCC-24h-KAA-15-01-22 ../tag-dirs/AND-CD4TCell-RNA-100uM-K99A-24h-KAA-15-01-22 ../tag-dirs/AND-CD4TCell-RNA-10uM-K99A-24h-KAA-15-01-22 ../tag-dirs/AND-CD4TCell-RNA-10uM-PCC-24h-KAA-15-01-22 ../tag-dirs/AND-CD4TCell-RNA-No-Peptide-24h-KAA-15-01-22 -noadj -condenseGenes)	chr	start	end	strand	Length	Copies	Annotation/Divergence	../tag-dirs/AND-CD4TCell-RNA-0-1uM-PCC-24h-KAA-15-01-22 reads	../tag-dirs/AND-CD4TCell-RNA-100uM-K99A-24h-KAA-15-01-22 reads	../tag-dirs/AND-CD4TCell-RNA-10uM-K99A-24h-KAA-15-01-22 reads	../tag-dirs/AND-CD4TCell-RNA-10uM-PCC-24h-KAA-15-01-22 reads	../tag-dirs/AND-CD4TCell-RNA-No-Peptide-24h-KAA-15-01-22 reads
NM_010296	chr10	127329882	127341579	-	3647.0	1	Gli1|AV235269|Zfp-5|Zfp5|-|10 D3|10 74.5 cM|protein-coding	53.000	156.000	331.000	69.000	68.000
NM_001011821	chr10	129704880	129705824	+	943.0	1	Olfr804|MOR110-7|-|10 D3|10|protein-coding	0.000	0.000	0.000	0.000	0.000
NR_038179	chr4	57359792	57364292	-	1980.0	1	1700042G15Rik|-|RP23-270A19.2|4 B3|4|ncRNA	0.000	0.000	0.000	0.000	0.000
NM_021451	chr18	66458604	66465558	+	2649.0	1	Pmaip1|Noxa|-|18 E1|18|protein-coding	529.000	533.000	382.000	616.000	543.000
NM_009178	chr9	35046579	35116810	-	2016.0	1	St3gal4|Siat4c|-|9|9 A5.3|protein-coding	1419.000	1546.000	1625.000	1800.000	865.000
NM_001085412	chr4	143719451	143729158	+	2104.0	1	Gm13078|OTTMUSG00000010322|RP23-451D4.8|4 E1|4|protein-coding	0.000	0.000	1.000	0.000	0.000
NR_015532	chr14	122229905	122233638	-	466.0	1	1700108J01Rik|-|-|14 E5|14|ncRNA	0.000	0.000	0.000	0.000	0.000
NM_026088	chr4	42969946	42974325	+	3722.0	1	1700022I11Rik|-|RP23-124L1.4|4 B1|4|protein-coding	6.000	6.000	1.000	0.000	0.000
NM_011569	chr11	72344717	72361882	-	1401.0	1	Tekt1|MT14|RP24-450M24.1|11 B4|11|protein-coding	0.000	0.000	0.000	0.000	0.000
NM_146872	chr9	38516034	38516965	+	928.0	1	Olfr908|MOR165-2|-|9 A5|9|protein-coding	0.000	0.000	0.000	0.000	0.000
NM_001195732	chr1	6359331	6394731	+	851.0	1	Fam150a|EG620393|-|1 A1|1|protein-coding	0.000	0.000	0.000	0.000	0.000
NM_001034876	chr4	117869260	117872470	-	1271.0	1	Ccdc24|Gm1028|-|4 D2.1|4|protein-coding	13.000	2.000	4.000	0.000	0.000
NM_010461	chr11	96281905	96285325	+	2641.0	1	Hoxb8|Hox-2.4|RP23-85A17.6|11 D|11 59.82 cM|protein-coding	3.000	0.000	0.000	0.000	0.000
NM_001128601	chr9	88688605	88719798	-	778.0	1	Gm2382|-|-|9 E3.1|9|protein-coding	61.000	103.000	118.000	86.000	109.000
NM_001048005	chr4	41505009	41517333	-	1105.0	1	1110017D15Rik|Cbe1|Smrp1|RP23-100C7.3|4|4 B1|protein-coding	0.000	0.000	0.000	1.000	0.000
NM_009085	chr17	46243920	46248045	-	1294.0	1	Polr1c|40kDa|AA409007|AA959927|AL024089|Polr1e|RPA40|Rpo1-1|-|17 C|17|protein-coding	2964.000	2931.000	2144.000	3332.000	863.000
NR_002928	chr8	109339800	109340908	-	1108.0	1	Gm1943|-|-|8 D3|8|pseudo	48.000	47.000	38.000	42.000	12.000
NM_008513	chr19	3584825	3686564	-	5147.0	1	Lrp5|BMND1|HBM|LR3|LRP7|OPPG|mKIAA4142|-|19|19 B|protein-coding	268.000	308.000	299.000	329.000	504.000
NM_009696	chr7	19696244	19699166	-	1245.0	1	Apoe|AI255918|-|7 A3|7 9.94 cM|protein-coding	1088.000	1663.000	2606.000	878.000	8287.000
NM_001104946	chrX	26200883	26231323	-	880.0	1	Gm2012|-|RP23-187P8.2|X A2|X|protein-coding	0.000	0.000	0.000	0.000	0.000
NM_007579	chr2	24603889	24763152	-	9605.0	1	Cacna1b|AW050276|AW060892|AW822256|Cav2.2|Cchn1a|alpha(1B)|RP23-264D16.5|2 A2|2 16.58 cM|protein-coding	3.000	0.000	6.000	4.000	2.000
NM_001160220	chr12	8674259	8752583	+	6275.0	1	Pum2|5730503J23Rik|Pumm2|mKIAA0235|-|12 A1.3|12|protein-coding	9746.000	11108.000	10609.000	11032.000	6616.000
NM_001162970	chr4	134068452	134092504	+	4739.0	1	Aim1l|-|RP23-314D24.4|4 D3|4|protein-coding	42.000	28.000	74.000	81.000	59.000
NR_102304	chr6	17198107	17205695	+	1606.0	1	D830026I12Rik|-|RP23-274E24.1|6|6|ncRNA	0.000	0.000	0.000	0.000	0.000
NM_181548	chrX	7924276	7928607	-	1073.0	1	Eras|HRAS2|HRasp|Ha-Ras2|ecat5|RP23-198C2.4|X A1.1|X|protein-coding	0.000	0.000	0.000	0.000	0.000
NM_027773	chr11	76202056	76208257	+	923.0	1	Fam57a|2310047D13Rik|4932415L08Rik|5430402E13Rik|5430420K21Rik|Wdt3|RP23-147P4.4|11 B5|11|protein-coding	54.000	58.000	41.000	97.000	36.000
NM_001270542	chr7	31712665	31713980	+	416.0	1	Scgb1b7|Abpa7|EG626305|Gm6662|-|7 B1|7|protein-coding	0.000	0.000	0.000	0.000	0.000
NM_026871	chr4	43654227	43656445	-	584.0	1	Hint2|1190005L05Rik|RP23-191F22.9|4 B1|4|protein-coding	99.000	125.000	141.000	158.000	78.000
NM_016801	chr5	135023572	135051099	+	2059.0	1	Stx1a|HPC-1|-|5 G2|5|protein-coding	167.000	97.000	139.000	169.000	65.000
NM_033610	chr13	54758860	54766440	-	1188.0	1	Sncb|AI838531|betaSYN|-|13 B1|13 29.28 cM|protein-coding	2.000	0.000	3.000	0.000	0.000
NM_019929	chr10	77606234	77618331	+	2487.0	1	Sumo3|2810014B19Rik|AA409334|AW121497|AW536077|D10Ertd345e|SMT3A|SUMO-3|Smt3B|Smt3h1|-|10 C1|10 39.72 cM|protein-coding	2526.000	2329.000	1961.000	2951.000	1326.000
NR_045482	chr6	87675593	87690847	-	1042.0	1	1810020O05Rik|-|RP23-4F16.4|6 D1|6|ncRNA	0.000	0.000	0.000	1.000	4.000
NM_001177502	chr6	124347594	124357086	-	529.0	1	1700013D24Rik|-|-|6 F2|6|protein-coding	0.000	0.000	0.000	0.000	0.000
NR_045441	chrX	129051524	129067146	+	581.0	1	4930558G05Rik|-|RP23-409H23.1|X|X|ncRNA	0.000	0.000	0.000	0.000	0.000
NR_037289	chr7	100882306	100882409	-	103.0	1	Mir3102|mmu-mir-3102|-|7|7 54.45 cM|ncRNA	0.000	0.000	0.000	0.000	0.000
NR_030547	chr2	122640803	122640881	+	78.0	1	Mir147|Mirn147|mmu-mir-147|-|2|2|ncRNA	127.000	711.000	941.000	157.000	78.000
NM_013565	chr11	95044482	95076714	-	4825.0	1	Itga3|AA407068|CD49C|GAPB3|RP23-112C19.6|11 D|11 59.01 cM|protein-coding	140.000	90.000	135.000	164.000	78.000
NM_021714	chr6	136813654	136828216	-	2708.0	1	Wbp11|2510026P17Rik|D6Wsu113e|Npwbp|SIPP1|-|6 G1|6 66.72 cM|protein-coding	5094.000	4665.000	4021.000	5494.000	2084.000
NM_207544	chr7	5883580	5884542	-	961.0	1	Vmn1r64|V1rd11|-|7 A1|7|protein-coding	0.000	0.000	1.000	0.000	0.000
NM_146883	chr9	37803889	37804936	+	1045.0	1	Olfr876|MOR161-1|-|9 A5|9|protein-coding	0.000	0.000	0.000	0.000	0.000
NM_001081667	chrX	157818435	157821060	+	2623.0	1	Klhl34|Gm388|RP23-93M14.2|X F4|X|protein-coding	0.000	0.000	0.000	1.000	0.000
NM_177268	chr2	11777753	11790323	+	2345.0	1	Ankrd16|2810455F06Rik|AI646698|D430029B21Rik|RP23-307N14.1|2 A1|2|protein-coding	286.000	352.000	413.000	434.000	460.000
NM_011704	chr10	23894688	23905343	+	2407.0	1	Vnn1|V-1|-|10|10 A1-B2|protein-coding	1.000	0.000	0.000	0.000	0.000
NR_040498	chr2	159947341	159981289	+	1120.0	1	4933416E03Rik|-|-|2|2|ncRNA	0.000	0.000	0.000	0.000	0.000
NM_146577	chr2	86162003	86162947	-	943.0	1	Olfr1043|MOR185-7|RP23-232A21.5|2 E1|2|protein-coding	0.000	0.000	0.000	0.000	0.000
NM_177475	chr10	76032612	76042969	+	4870.0	1	Zfp280b|D10Jhu82e|Suhw2|-|10 C1|10|protein-coding	1134.000	1645.000	1336.000	1652.000	720.000
NM_001033229	chr15	74834892	74841643	-	2387.0	1	Cyp11b1|AA389061|CPN1|Cyp11b|Cyp11b-1|FHI|-|15 D3|15 34.29 cM|protein-coding	0.000	0.000	0.000	0.000	0.000
NM_177919	chrX	136200951	136203851	-	1011.0	1	Tceal5|6430401A05Rik|RP23-132M9.2|X F1|X|protein-coding	0.000	0.000	0.000	0.000	0.000
NM_146219	chr8	119862305	119876989	+	2135.0	1	Klhl36|-|-|8 E1|8|protein-coding	170.000	189.000	255.000	175.000	505.000
NM_001290385	chrX	95048935	95166539	-	5508.0	1	Arhgef9|9630036L12Rik|A230067K14|mKIAA0424|RP23-230K20.3|X C3|X|protein-coding	11.000	18.000	14.000	14.000	6.000
NR_033588	chr8	45060702	45065418	-	2390.0	1	AY512931|-|-|8 B1.1|8|ncRNA	0.000	1.000	0.000	0.000	0.000
NM_001101647	chr1	90953108	90954012	+	258.0	1	Prlh|EG623503|-|1 D|1|protein-coding	0.000	0.000	0.000	0.000	0.000
NM_010511	chr10	19591958	19610225	+	2090.0	1	Ifngr1|CD119|IFN-gammaR|Ifgr|Ifngr|Nktar|-|10 A3|10 8.49 cM|protein-coding	2275.000	2906.000	4801.000	1409.000	9208.000
NM_001163732	chr4	74013603	74202214	+	2027.0	1	Frmd3|4.1O|9430066I12Rik|EPB41L4O|P410|RP24-280G18.1|4 C3|4|protein-coding	0.000	0.000	3.000	0.000	0.000
NM_001127685	chr12	111979323	111980751	-	756.0	1	Rd3l|A930011N13|-|12 F1|12|protein-coding	0.000	0.000	0.000	0.000	0.000
NM_203507	chr8	47533645	47552837	+	2943.0	1	Rwdd4a|BC016198|Gm1942|Rwdd4|-|8 B1.1|8|protein-coding	1710.000	1603.000	1339.000	2038.000	546.000
NM_019549	chr11	16971206	17008718	-	4105.0	1	Plek|2010300B13Rik|RP23-348N2.1|11 A2|11 9.41 cM|protein-coding	1642.000	1765.000	1577.000	1784.000	2839.000
NM_001111030	chr2	58267453	58357758	-	9014.0	1	Acvr1c|ACVRLK7|ALK7|Alk-7|C230097P10|RP23-100B18.1|2 C1.1|2|protein-coding	21.000	44.000	17.000	20.000	26.000
NM_029105	chr11	54370652	54426755	+	1382.0	1	4930404A10Rik|-|RP23-297J14.3|11 B1.3|11|protein-coding	0.000	0.000	0.000	0.000	1.000
NR_028547	chr2	130275515	130275573	+	58.0	1	Snord110|MBII-55|-|2|2|snoRNA	2.000	1.000	0.000	3.000	0.000
NM_019793	chr9	56135884	56161070	-	1720.0	1	Tspan3|1700055K04Rik|TM4-A|Tm4sf8|-|9|9 C|protein-coding	3325.000	5210.000	5461.000	3480.000	2781.000
NM_053071	chr15	35931976	35938246	-	497.0	1	Cox6c|-|-|15|15 B3.3|protein-coding	1355.000	1312.000	1189.000	1432.000	649.000
NM_027697	chr6	128375510	128385144	+	1087.0	1	4933413G19Rik|-|-|6 F3|6|protein-coding	0.000	2.000	4.000	6.000	0.000
NM_001097644	chr1	64691345	64725642	+	2913.0	1	Ccnyl1|9630037P07Rik|AW554339|-|1 C2|1|protein-coding	106.000	105.000	192.000	116.000	63.000
NM_001109991	chr10	77052179	77113705	-	5585.0	1	Col18a1|-|-|10 B5-C1|10 39.72 cM|protein-coding	51.000	27.000	24.000	59.000	52.000
NM_001080963	chr7	129257094	129391307	+	1079.0	1	Ppapdc1a|C030048B12Rik|Gm1090|-|7 F3|7|protein-coding	0.000	0.000	0.000	0.000	0.000
NR_024329	chr2	156388063	156392979	-	4916.0	1	2900097C17Rik|1810005K14Rik|4930563C06Rik|-|2 H1|2|ncRNA	1166.000	925.000	917.000	1404.000	566.000
NM_001271809	chrX	120290327	120910618	+	8627.0	1	Pcdh11x|PCDHX|PCDHX11|Pcdh11|RP23-185M16.1|X E2|X|protein-coding	2.000	0.000	3.000	1.000	7.000
NM_019427	chr4	57061726	57143156	-	2948.0	1	Epb4.1l4b|6430543G08Rik|AA589614|AU021054|BB007528|D4Ertd346e|Ehm2|Epb41l4b|Lulu2|RP23-318H16.1|4 B3|4 31.66 cM|protein-coding	20.000	7.000	13.000	18.000	30.000
NR_027448	chr2	25327450	25332571	-	1694.0	1	AA543186|-|-|2|2|ncRNA	19.000	12.000	0.000	9.000	1.000
NM_001166629	chr17	6306344	6317474	-	4938.0	1	Dynlt1a|-|-|17|17|protein-coding	41.000	57.000	38.000	81.000	103.000
NM_009797	chr3	104822785	104864505	-	3175.0	1	Capza1|CAPZ|CAZ1|Cappa1|-|3 F2.2|3 45.88 cM|protein-coding	1257.000	1432.000	1217.000	1553.000	751.000
NM_144813	chr9	64922861	64951607	-	5201.0	1	Slc24a1|-|-|9 C|9|protein-coding	10.000	18.000	11.000	7.000	17.000
NM_146214	chr8	109990436	109999804	+	2363.0	1	Tat|-|-|8 D3|8 57.38 cM|protein-coding	0.000	0.000	1.000	0.000	0.000
NR_045717	chr7	140837221	140845689	-	1073.0	1	C330022C24Rik|-|RP23-114A6.2|7 F4|7|ncRNA	0.000	0.000	0.000	0.000	0.000
NM_026322	chr14	64122621	64455903	-	1851.0	1	Msra|2310045J23Rik|6530413P12Rik|MSR-A|-|14 D1|14 33.36 cM|protein-coding	471.000	672.000	677.000	401.000	1240.000
NM_011103	chr14	30595354	30626208	-	2755.0	1	Prkcd|AI385711|D14Ertd420e|PKC[d]|PKCdelta|Pkcd|-|14 B|14 18.82 cM|protein-coding	2998.000	3834.000	3983.000	3181.000	5248.000
NM_007538	chr6	29376671	29380513	-	2403.0	1	Opn1sw|AW551857|Bcp|-|6 A3.3|6|protein-coding	0.000	0.000	0.000	2.000	0.000
NM_001111058	chr7	43527456	43533171	-	2562.0	1	Cd33|Siglec-3|gp67|-|7 B4|7 28.25 cM|protein-coding	553.000	1305.000	1575.000	309.000	3429.000
NM_021337	chr17	34839226	34850204	-	3933.0	1	Skiv2l|4930534J06Rik|AW214248|Ddx13|SKI|Ski2w|-|17 B1|17|protein-coding	1849.000	2175.000	2366.000	2567.000	2372.000
NR_105858	chr16	42303362	42303469	-	107.0	1	Mir6540|mmu-mir-6540|-|-|ncRNA	0.000	0.000	0.000	0.000	0.000
NM_146762	chr2	85769803	85770720	+	916.0	1	Olfr1013|MOR213-2|RP23-60G16.1|2 E1|2|protein-coding	0.000	0.000	0.000	0.000	0.000
NM_010642	chr7	44102292	44106579	+	896.0	1	Klk1b21|Klk21|mGk-21|-|7 B4|7 28.6 cM|protein-coding	0.000	0.000	0.000	0.000	0.000
NM_011782	chr16	85858157	85901125	-	8094.0	1	Adamts5|9530092O11Rik|ADAM-TS5|ADAMTS1|ADAMTS11|AI481094|ASMP-2|-|16 C3.3|16 48.34 cM|protein-coding	0.000	3.000	0.000	1.000	0.000
NM_001048219	chr7	26535065	26574146	+	3280.0	1	Nlrp9a|D7Ertd565e|Nalp-theta|Nalp9a|-|7 A3|7 15.08 cM|protein-coding	0.000	0.000	0.000	0.000	0.000
NR_033506	chr4	41889795	42233950	+	3550.0	1	Gm3893|-|-|4 A5|4|ncRNA	0.000	0.000	0.000	0.000	0.000
NM_029646	chr8	110741829	110805924	-	1849.0	1	Il34|2010004A03Rik|AI593503|-|8 E1|8|protein-coding	0.000	0.000	0.000	0.000	0.000
NM_001160319	chr4	139380659	139489532	+	15764.0	1	Ubr4|1810009A16Rik|A930005E13Rik|D930005K06Rik|Gm1032|Gm1666|N28143|RBAF600|Zubr1|mKIAA0462|p600|-|4 D3|4|protein-coding	13658.000	14474.000	15159.000	14868.000	9970.000
NM_007896	chr2	153741287	153773314	+	7318.0	1	Mapre1|5530600P05Rik|AI462499|AI504412|AW260097|BIM1p|D2Ertd459e|Eb1|RP23-244H7.2|2 H1|2 75.95 cM|protein-coding	4586.000	5538.000	4909.000	5899.000	2612.000
NM_001081044	chr2	152911352	152923065	+	2934.0	1	Mylk2|9830004H17Rik|BB138278|RP23-414F8.2|2 H1|2|protein-coding	3.000	0.000	0.000	5.000	0.000
NM_001289556	chr5	135747220	135778385	-	1476.0	1	Styxl1|1700011C14Rik|Dusp24|Mkstyx|-|5 G2|5|protein-coding	0.000	10.000	8.000	1.000	0.000
NM_001253691	chr11	3290457	3309083	+	3185.0	1	Patz1|8430401L15Rik|AI447519|Mazr|Patz|Zfp278|RP23-191E3.5|11 A1|11|protein-coding	783.000	787.000	921.000	1002.000	1297.000
NM_001080972	chr13	22244215	22245105	+	889.0	1	Vmn1r194|Gm11294|OTTMUSG00000000480|RP23-374M7.2|13 A3.1|13|protein-coding	0.000	0.000	0.000	0.000	0.000
NM_133241	chr15	88955884	88978553	-	2315.0	1	Mlc1|AW048630|BB074274|Kiaa0027-hp|LVM|MLC|VL|WKL1|mKIAA0027|-|15 E3|15|protein-coding	1.000	0.000	0.000	0.000	5.000
NM_001270793	chr12	87602665	87608850	+	1406.5	2	Gm2042|-|-|12 D2|12|protein-coding	0.000	0.000	0.000	0.000	0.000
NM_001170641	chr1	74125541	74148230	+	2322.0	1	Rufy4|F930048N03Rik|-|1 C3|1|protein-coding	7.000	15.000	21.000	0.000	42.000
NM_021551	chr14	54906727	54913132	-	2283.0	1	Slc22a17|1700094C23Rik|24p3R|AU041908|AW555662|BOIT|Boct|mBOCT|-|14 C3|14|protein-coding	1.000	0.000	11.000	9.000	19.000
NM_146465	chr17	37445480	37446517	+	1035.0	1	Olfr108|MOR156-5|-|17 B1|17|protein-coding	0.000	0.000	0.000	0.000	0.000
NM_007927	chrX	74254687	74257893	+	1593.0	1	Emd|AW550900|Sta|RP23-436K3.2|X A7.3|X 37.92 cM|protein-coding	2349.000	2866.000	2131.000	2939.000	1075.000
NM_029938	chr11	6427226	6444443	-	1629.0	1	H2afv|C530002L11Rik|H2a.z-2|H2av|RP23-74L9.1|11 A1|11|protein-coding	754.000	932.000	1200.000	761.000	1094.000
NM_027823	chr9	8994953	9239013	-	5379.0	1	Arhgap42|9030420J04Rik|BE136619|-|9 A1|9|protein-coding	2.000	1.000	2.000	1.000	0.000
NM_153547	chr14	31012433	31019131	-	1909.0	1	Gnl3|Ns|-|14 B|14 19.09 cM|protein-coding	5549.000	4200.000	2985.000	6163.000	741.000
NM_027926	chr6	30568376	30591747	+	2048.0	1	Cpa4|1110019K20Rik|AV009555|-|6 A3.3|6|protein-coding	0.000	0.000	5.000	0.000	0.000
NM_001110516	chr4	156246966	156255338	-	2597.0	1	Samd11|BC026991|mr-s|-|4 E2|4|protein-coding	1594.000	1427.000	1004.000	1854.000	393.000
NR_106073	chr17	27317035	27317095	-	60.0	1	Mir7214|mmu-mir-7214|-|-|ncRNA	0.000	0.000	0.000	0.000	0.000
NM_153386	chr3	58844028	58885212	-	2845.0	1	Clrn1|A130002D11Rik|USH3|Ush3a|-|3 D|3|protein-coding	0.000	0.000	0.000	0.000	0.000
NM_153082	chr12	4082574	4110612	+	4704.0	1	Dnajc27|AI639580|C330021A05Rik|Rabj|Rbj|-|12 A1.1|12|protein-coding	912.000	773.000	627.000	775.000	264.000
NM_007633	chr7	38097984	38107490	-	1942.0	1	Ccne1|AW538188|CycE1|-|7 B2|7 25.35 cM|protein-coding	222.000	266.000	152.000	360.000	167.000
NM_010325	chr8	95864137	95888365	-	2333.0	1	Got2|AL022787|FABP-pm|Got-2|mAspAT|-|8 D1|8 47.79 cM|protein-coding	1214.000	1266.000	928.000	1515.000	786.000
NR_028426	chr5	29735334	29735936	-	602.0	1	Gm5129|EG332993|ENSMUSG00000053121|-|5 B1|5|ncRNA	8.000	11.000	3.000	1.000	0.000
NM_001012266	chr9	19035125	19036060	+	934.0	1	Olfr835|MOR150-3|-|9 A2|9|protein-coding	0.000	0.000	0.000	0.000	0.000
NM_001163748	chr17	31386234	31476309	+	2040.0	1	Pde9a|PDE9A1|-|17 B1|17|protein-coding	0.000	0.000	1.000	0.000	6.000
NM_001277512	chr4	73650910	73657292	+	1232.0	1	LOC100502896|-|-|-|protein-coding	0.000	0.000	0.000	0.000	0.000
NR_033736	chr1	153404186	153414233	-	2823.0	1	E330020D12Rik|EG626058|F430003O07Rik|Gm6648|-|1 G3|1|ncRNA	10.000	17.000	46.000	28.000	61.000
NM_008003	chr7	144896532	144900951	+	1802.0	1	Fgf15|FGF19|-|7 F5|7|protein-coding	0.000	0.000	0.000	0.000	0.000
NM_008625	chr2	14229414	14332023	+	5286.0	1	Mrc1|AW259686|CD206|MR|-|2 A2|2 10.46 cM|protein-coding	3.000	37.000	63.000	1.000	151.000
NM_173870	chr1	37439340	37541016	-	7233.0	1	Mgat4a|9530018I07Rik|GnT-IVa|glcNAc-T-IVa|-|1 B|1|protein-coding	767.000	830.000	824.000	839.000	799.000
NM_146791	chr2	89617168	89618245	-	1075.0	1	Olfr1248|MOR23110|RP23-150I5.7|2 E1|2|protein-coding	0.000	0.000	0.000	0.000	0.000
NR_106021	chr7	45012426	45012487	-	61.0	1	Mir7054|mmu-mir-7054|-|-|ncRNA	0.000	0.000	2.000	0.000	0.000
NM_001001809	chr1	173203358	173204299	+	940.0	1	Olfr218|MOR267-3|Olfr1405-ps1|Olfr218-ps1|-|1 H3|1|protein-coding	0.000	0.000	0.000	0.000	0.000
NR_105798	chr3	140028249	140028370	+	121.0	1	Mirlet7j|mmu-let-7j|-|-|ncRNA	0.000	0.000	0.000	0.000	0.000
NM_027897	chr7	35334237	35392287	+	3422.0	1	Rhpn2|1300002E07Rik|AA536890|C85860|D7Ertd784e|-|7 B1-B2|7 21.36 cM|protein-coding	5.000	0.000	5.000	8.000	31.000
NM_017399	chr6	71199888	71205023	+	486.0	1	Fabp1|Fabpl|L-FABP|-|6 C1|6 32.14 cM|protein-coding	0.000	0.000	0.000	0.000	0.000
NM_007496	chr8	108714644	108961636	+	16427.0	1	Zfhx3|A230102L03Rik|Atbf1|WBP9|mKIAA4228|-|8|8 E1|protein-coding	48.000	51.000	128.000	68.000	320.000
NM_010338	chr6	25668523	25689980	-	3201.0	1	Gpr37|AI848630|Pael-R|-|6 A3.1|6 11.65 cM|protein-coding	0.000	0.000	0.000	0.000	0.000
NM_028410	chr7	98703363	98718061	+	3455.0	1	Prkrir|2900052B10Rik|Dap4|Rpkrir|-|7 F1|7|protein-coding	3240.000	3402.000	2624.000	3639.000	1406.000
NR_106123	chr10	22729372	22729432	-	60.0	1	Mir7663|mmu-mir-7663|-|-|ncRNA	0.000	0.000	0.000	0.000	0.000
NM_001102458	chr15	38487430	38519266	-	5013.0	1	Azin1|1700085L02Rik|AI414949|Oazi|Oazin|-|15|15 C|protein-coding	4073.000	4458.000	3339.000	5178.000	1865.000
NM_029232	chr2	113285732	113297190	+	1223.0	1	Tmco5b|4930563P21Rik|RP23-288M21.1|2 E4|2|protein-coding	0.000	0.000	0.000	0.000	0.000
NM_001077353	chr1	21240585	21265575	+	1460.0	1	Gsta3|Gst2-3|-|1 A4|1 6.5 cM|protein-coding	0.000	9.000	8.000	0.000	26.000
NM_013623	chr4	63356162	63359511	+	765.0	1	Orm3|Agp-3|Orm-3|-|4 C1|4 33.96 cM|protein-coding	36.000	43.000	63.000	18.000	5.000
NM_175512	chr2	69380462	69403086	+	2810.0	1	Dhrs9|C730025I08Rik|Rdh15|RP24-111M20.1|2 C2|2|protein-coding	34.000	158.000	247.000	15.000	551.000
NM_130866	chr7	102740721	102759471	-	3490.0	1	Olfr78|4633402A21Rik|MOL2.3|MOR18-2|PSGR|RA1c|-|7 E3|7|protein-coding	0.000	0.000	0.000	0.000	0.000
NM_008577	chr19	8706882	8713897	-	2561.0	1	Slc3a2|4F2|4F2HC|AI314110|Cd98|Ly-10|Ly-m10|Ly10|Mdu1|Mgp-2hc|NACAE|-|19 A|19 5.44 cM|protein-coding	13921.000	13608.000	10090.000	14415.000	4458.000
NM_054100	chr16	88758847	88759789	+	940.0	1	2310034C09Rik|-|-|16 C3.3|16|protein-coding	1.000	0.000	0.000	0.000	0.000
NR_040285	chrX	102252651	102257689	+	1755.0	1	Gm14858|OTTMUSG00000018301|-|X D|X|ncRNA	0.000	0.000	0.000	0.000	0.000
NM_146168	chr6	57752264	57825125	-	2879.0	1	Vopp1|AW146242|Ecop|-|6 B3|6|protein-coding	748.000	909.000	932.000	927.000	837.000
NM_146677	chr10	130162362	130163324	-	961.0	1	Olfr825|MOR210-1|-|10 D3|10|protein-coding	0.000	0.000	0.000	0.000	0.000
NM_001081493	chr13	99898483	99900683	-	831.0	1	Cartpt|Cart|-|13|13 D1|protein-coding	0.000	0.000	0.000	0.000	0.000
NR_030423	chr5	24592114	24592211	+	97.0	1	Mir671|Mirn671|mmu-mir-671|-|5|5|ncRNA	15.000	7.000	14.000	15.000	7.000
NM_176841	chr11	29374172	29510808	+	8828.0	1	Ccdc88a|A430106J12Rik|AI848406|Ape|C130096N06Rik|C330012F17Rik|D130005J21Rik|Girdin|Giv|Grdn|Hkrp1|RP23-92B18.2|11 A3.3|11|protein-coding	395.000	559.000	474.000	489.000	690.000
NM_033602	chr14	48120869	48260883	+	5841.0	1	Peli2|AW047589|BB129927|-|14 C1|14 24.6 cM|protein-coding	71.000	177.000	234.000	47.000	523.000
NM_029541	chrX	136033367	136034946	+	1577.0	1	Arxes1|6530401D17Rik|Spc22/23|Spcs3|-|X F1|X|protein-coding	0.000	0.000	0.000	0.000	0.000
NM_027018	chr10	112060189	112078510	+	889.0	1	Glipr1l1|1700011E04Rik|-|10 D2|10|protein-coding	0.000	0.000	0.000	0.000	0.000
NM_009047	chr2	152627008	152635191	+	1596.0	1	Rem1|E030011C07Rik|Rem|RP23-35I8.9|2|2 H2|protein-coding	7.000	7.000	6.000	0.000	0.000
NM_017369	chrX	72257432	72274721	-	2780.0	1	Gabre|-|RP23-13H12.1|X A7.3|X|protein-coding	0.000	1.000	0.000	0.000	0.000
NM_001159631	chr2	38511876	38587490	+	3163.0	1	Nek6|1300007C09Rik|RP23-42H18.3|2 B|2 24.41 cM|protein-coding	531.000	541.000	303.000	616.000	615.000
NR_015551	chr12	3235791	3250374	+	1066.0	1	Rab10os|1700012B15Rik|1810036A22Rik|RP23-317B21.1|12 A1.1|12|ncRNA	568.000	429.000	446.000	600.000	341.000
NM_177469	chr7	139834174	139878088	+	4748.0	1	Gpr123|2900059M17Rik|D7Ertd680e|-|7 F4|7 84.89 cM|protein-coding	0.000	0.000	0.000	0.000	0.000
NM_001291094	chr14	5438070	5455448	-	1647.0	2	Gm3383|ENSMUSG00000079376|-|14 A1|14|protein-coding	0.000	0.000	0.000	0.000	0.000
NM_172630	chr18	67225530	67245830	-	1994.0	1	Mppe1|A530095G11|-|18 E1|18|protein-coding	382.000	455.000	501.000	399.000	906.000
NR_040523	chr6	39063879	39067586	-	898.0	1	1700025N23Rik|-|RP23-346B17.3|6 B1|6|ncRNA	4.000	0.000	3.000	1.000	0.000
NM_001122780	chr7	75848338	75874130	+	3369.0	1	Klhl25|2810402K13Rik|BC027373|Enc-1|-|7 D2|7|protein-coding	546.000	781.000	866.000	592.000	788.000
